love|爱
leucopyrite|低砷铁矿,斜方砷铁矿
lithotomical|lithotomy的变形
lowings|(lowing 的复数) n.牛鸣
lacs|[医][=light-activated cell sorter]光激活细胞分离器
loudspeakers|扩音器, 扬声器, 喇叭( loudspeaker的复数形式 )
lungers|(lunger 的复数) n. 肺病患者
lambasts|不断地狠打某人, 鞭打； 严厉斥责某人( lambast的第三人称单数 )
litigiously|litigious的变形
liquified|液化；溶解（等于liquefy）
leally|leal的变形
lemography|[医] 疫病论, 疫病论文集
lockmaking|制锁
laxity|松弛, 不检点
lenard|雷纳德(①姓氏 ②Philipp, 1862-1947, 德国物理学家, 曾获 1905年诺贝尔物理 学奖)
lefts|左, 左面（left的复数形式）
lades|装载（货物）, 装（船）, （用勺子）舀出( lade的第三人称单数 )
linn|瀑布, 溪谷, 崖
lowermost|最低的, 最底下的
linac|[化] 直线加速器
liverleaf|[植]獐耳细辛
laramie|拉勒米（城市名, 位于美国怀俄明州东南部）
limbate|有边的
lituus|连锁螺线
leprosaria|麻疯病院( leprosarium的名词复数 )
linkboy|(古时)持火炬的人
leyden|莱顿(荷兰都市)
longlines|(longline 的复数) n. 延绳钓
lexical|字典的, 词汇的
limbos|(limbo 的复数) n. 地狱边缘, 监狱, 忘却
lemonwood|柠檬木
lete|[人名] 莱特
lymphoma|淋巴瘤, 淋巴组织瘤, 淋巴腺瘤
lanterns|灯笼( lantern的复数形式 ); 灯塔
labiality|[语]唇音性
luckless|不幸的, 坏运气的
leniently|温和地；宽大地
lurch|惨败, 倾斜, 挫折, 举步蹒跚, 徘徊
levied|征（兵）( levy的过去式和过去分词 ); 索取; 发动（战争）; 征税
lac|紫胶, 十万, 许多
larderer|[古语]食品贮藏员, 管理贮藏食品的人
lathering|痛打, 怒骂
lithesome|柔软的, 轻快的
lumpiness|块度, 团块结构
limped|一瘸一拐地走( limp的过去式和过去分词 ); 困难地航行
lusting|贪求（lust的现在分词形式）
lolloping|懒散地闲荡( lollop的现在分词 )
lam|打, 鞭笞, 逃脱
lithoclasty|[医] 碎石术
locket|金属装饰小盒, (挂在项链下的保藏纪念品的贵重)金属小盒
loamed|（尤指适合植物生长的）壤土, 沃土( loam的过去式和过去分词 )
lintwhite|[动] 红雀,朱胸朱顶雀
lipotyphla|无盲肠类
livetin|卵黄蛋白, 蛋黄球朊
literatus|文学界, 学者
lazaretto|传染病医院, 检疫所
lisping|[医] 牙语
lish|腹腔镜筋膜内子宫切除术（laparoscopic intrafascial supracervical hysterectomy）
lingle|[人名] 林格尔; [地名] [美国] 林格尔
liberals|自由主义者( liberal的复数形式 ); 宽容大度的人; 支持（社会、政治或宗教）变革的人; （旧时）英国自由党成员
leef|[人名] 利夫
latecomers|迟到者( latecomer的复数形式 )
lysenkoism|李森科学说
lancination|刺,刀割般的剧痛
lowdown|内幕, 真相
liquidambar|[植] 胶皮糖香树, 胶皮糖香液
lebkuchen|[单复同]<德>n.蜂蜜果脯饼(圣诞节期间的传统食品)[字面意义：loaf cake]
lutescent|稍带黄色的
lithological|岩性的, 岩石的
luffa|[植] (=loofa) 丝瓜
laplander|拉普兰人
loculose|分室的, 分为室的
lowes|洛斯(姓氏)
lipotrophy|[医] 脂肪增多
lumberjack|伐木工人, 板材上垛装置
lebes|碗形金属皿器
liquefactive|引起液化的, 液化(作用)的
licencer|发许可证/执照者
lith|pref. 石；结石
lagoonal|写湖的
laxly|松驰地, 缓慢地
lashkar|(=lascar)东印度的水手, 勤务兵
laine|莱恩（姓氏）
lidding|给…盖盖子（lid的现在分词形式）
loudly|高声地, 大声地, 吵闹地
linener|亚麻布(或纱、线)；亚麻织物；[常用复数]亚麻制品(如服装、床上用品等)
linecasting|铸条；条铸
limonium|[网络] 补血草属；补血草属植物；补血草类
lymphotaxis|[医] 淋巴细胞趋向性
longhead|头颅长的人
longline|延绳钓
leatherhead|呆头, 更夫
lobotomizing|为…施行脑叶切开术，使迟钝( lobotomize的现在分词 )
luteinizing|(luteinize 的现在分词) v.使成为黄体部份
lineable|成直线排列的
lifters|(lifter 的复数) n. 举起的人, 贼, 升降机
laders|(lader 的复数)  [人名] 拉德
levanter|累范特风, 躲债者
liras|（意大利和土耳其的货币单位）里拉( lira的复数形式 )
laurencia|[人名] 劳伦西娅
latens|（使）变迟( laten的第三人称单数 )
leguleian|非正式律师
larkiness|爱耍闹
luniform|月状的
lances|鱼叉( lance的名词复数 ); 骑士、骑兵等的长矛
lampas|<法> 彩花细锦缎, [动] (马的)硬口盖炎
lullaby|摇篮曲, 催眠曲, 轻柔的音乐
lavenders|(lavender 的复数) n. 熏衣草, 淡紫色
loggish|adj. log的变形
lipoxidase|[化] 脂氧合酶; 脂肪氧合酶
lampposts|(lamppost 的复数) n. 街灯柱
lunes|pl. 精神病发作
loxodrome|斜航线,恒向线
lacmus|(=litmus)石蕊
lager|贮陈啤酒
ladling|[机] 用瓢装液
lettice|[女子名] 莱蒂斯来源于拉丁语，含义是“欣喜”(gladness) 昵称Lettie,Letty
lapstone|(木匠干活时)放在膝上的垫石(或垫铁)
liturgists|(liturgist 的复数) n. 礼拜仪式的权威
laminator|层合机
luminousness|透光率
luminaire|[电] 照明器具
laplacian|[计] 拉普拉斯算符, 调和算子
longshot|〈非正式〉高风险的赌注；可能性极小的事；【摄】远景
lacemaking|饰带(或花边)制造(术), 鞋带制造(术)
lymphomata|淋巴瘤, 淋巴组织瘤, 淋巴腺瘤
lymantria|[医]毒蛾（属）
lipogram|避讳某字之文
labiomental|[医] 唇颏的
loasa|[网络] 洛萨
leonine|狮子的, 狮子般的
lippie|<澳口>口红,唇膏
lifeline|救生索, 生命线
lingualis|[医] 舌的, 舌肌
lehr|[机] 退火炉
latrines|（尤指营地）公共厕所( latrine的复数形式 )
lative|[语]方向格
lampron|[人名] 兰普伦
lipography|字母的脱漏
leucadendron|银叶树属
lamaism|喇嘛教
lattermath|[农]再生草,再萌草
lickerishly|lickerish的变形
limbers|[船]污水道, 通水孔
lathered|（指肥皂）形成泡沫( lather的过去式和过去分词 ); 用皂沫覆盖; <口>狠狠地打
laky|深红色的, 湖泊的
liking|爱好, 嗜好
livingly|充满活力地, 生动地,逼真地
lumbered|& vi. 砍伐（lumber的过去式与过去分词形式）
lacunaris|(=lacunosis)多孔的
lysidine|赖西丁, 2-甲基间二氮杂环戊烯-[2]
leath|[人名] 利思
loiasis|[医]罗阿丝虫病
luxuriation|luxuriate的变形
laborsome|费力的, 吃力的
landfill|垃圾堆；垃圾填埋地
lithotype|利索型照相排字机, 煤岩类型
lexicologist|词汇学家
liodermia|[医] 滑泽皮
loins|耻骨区, 生殖器官, 腰与腿之间的部分
loquitur|<拉>开始说话(舞台指示用语,常接在演名后)
lola|洛拉（女子名）
lentiginose|(=lentiginous)雀斑的, 有斑点的
labite|拉巴石矿
lengthiest|长的, 漫长的, 啰嗦的( lengthy的最高级 )
loveable|可爱的, 惹人爱的
lithiasis|结石病
liqueur|利口酒
leiotrichi|[复]n.直(头)发人种
leptus|[医] 恙虫(旧名)
ledgy|突出物很多的, 有暗礁的
luncheonette|便餐厅, 便餐
laciniated|有边的；穗状的；成锯齿状的
lipsalve|护唇油膏, 谀词
lymphangioma|[医]淋巴管瘤
loopful|[医] 铂环量
ligating|结扎, 绑( ligate的现在分词 )
libidos|本能冲动, 性欲( libido的复数形式 )
larvate|遮掩的
lagrangian|[化] 拉格朗日; 拉格朗日量
lidar|激光雷达
layboy|自动折纸机
laurvikite|歪碱正长岩
lucille|露西尔（女子名）
lek|列克(阿尔巴尼亚货币单位)
loquat|枇杷
logy|迟缓的, 呆呆的
longe|练马长绳
labeller|贴标签机；贴标机
laguncularia|[网络] 红树属；拉贡木属；红树林
legations|公使馆全体人员( legation的复数形式 )
lour|皱眉, 变阴沉
litigants|诉讼当事人( litigant的复数形式 )
littlest|小的, 不大的；(表示否定)(数量)微量的；不多的
lapidator|[网络] 磨刀器
lubricator|润滑剂, 润滑器, 加润滑剂的人
linnet|朱顶雀
lorandite|红铊矿
lamellately|lamellate的变形
lard|猪油
legionnaires|美国退伍军人协会会员；军团的士兵
langset|[网络] 语言
lossy|[计] 有损耗的, 有损失的
laniard|系索
labelled|贴上标签的
lunitidal|月潮的
larigot|六倍音
libera|(天主教)葬礼应答圣咏(指葬礼上为死者做弥撒后所唱的应答圣咏)
lifer|无期徒刑者, 职业军人
lenis|发音较不费力的辅音
labeler|[机] 贴标签机
lithotrite|[医]碎石钳
lawter|[人名] 劳特
limbless|无肢的, 无枝叉的, 无翼的
levies|（部队）征兵( levy的名词复数 ); 募捐; 被征募的军队
loathly|不情愿地, 勉强地
llanos|大草原( llano的名词复数 )
lithoxyl|石化木
lapland|拉普兰
lapidifies|（使）化成石头, （使）石化
lancet|刺血针, 小枪, 尖顶窗
ligular|[植]叶舌的
latening|（使）变迟( laten的现在分词 )
larksome|好嬉戏的, 嬉戏的
lynch|私刑, 私罚
lianoid|[植]藤本的
loadstone|天然磁石, 有吸引力之物, 吸引人的东西
leatherneck|海军陆战队员
lactific|产奶的；产乳汁的
lucent|透明的, 光亮的；美国朗讯科技公司（原AT&T实验室）
lockian|洛克的；洛克学派的
libyans|利比亚人；利比亚语（Libyan的复数形式）
latvians|拉脱维亚人；拉脱维亚语（Latvian的复数形式）
lubricous|光滑的, 难捉摸的
lymphomatous|[医] 淋巴瘤的
lesche|[建]一种希腊式建筑, 其中包含有圆柱门廊的有顶庭院, 墙上有著名画家所作的壁画
liverish|像肝的, 肝病的, 坏脾气的
limnological|湖泊学的,湖沼学的
luminescing|发冷光, 变明亮( luminesce的现在分词 )
libber|拥护解放者
linguists|通晓数国语言的人( linguist的复数形式 ); 语言学家
lancelet|文昌鱼
lissom|柔软的, 轻捷的, 优美的, 轻快的, 敏捷的
logogram|标记, 简写, 速记用略字
lefties|左撇子, 左翼分子( lefty的复数形式 )
landwash|高潮线
leviratical|levirate的变形
lepidine|勒皮啶, 4-甲基喹啉
legalistic|尊重法律的
luxated|使骨脱节, 使脱臼( luxate的过去式和过去分词 )
lucanid|锹甲
lappets|(lappet 的第三人称 -s形式) n. 垂片, 垂饰, 垂布
laevo|(=levortatory) 左旋的
lysolecithin|[生化]溶血卵磷脂
lycaenidae|灰蝶科
lossless|无损的; 无损耗; 无耗
lymphadenia|[医] 淋巴组织增生
lungs|肺( lung的复数形式 ); 肺脏
lasque|形态较差(或多纹理)的扁平钻石
laundrymen|洗衣工（人）( laundryman的名词复数 )
laciniate|有穗边的
libelee|被诽谤者, 被控告者
layette|[医] 新生儿衣被
limeys|<美俚><贬>英国佬, 英国海军, 英国人( limey的复数形式 )
liquefaction|液化, 溶解, 液化作用
latiplantar|宽趾的
leadman|工头, 工长
lissomely|lissom,lissome的变形
lucius|卢修斯（男子名）
lucifugous|畏光的, 怕光的
lightplane|轻型飞机
lippings|(lipping 的复数) n. 唇形
lawmonger|讼棍,恶讼师
loofahs|丝瓜( loofah的复数形式 )
lemel|金属屑
lexicology|词汇学
lithogenous|[医] 结石形成的, 成结石的
loping|[化] 脉动(泵送石油产品时)
lyres|（古希腊的）七弦竖琴
laterals|(lateral 的复数) n. 侧部, 支线, 边音
lux|勒克斯
ladylove|情人, 情妇
lathing|板条
luba|(pl. Luba, Lubas)卢巴人(刚果南部农民)
limnobium|沼萍属
livonian|立沃尼亚语；立沃尼亚人
liegeman|臣下, 忠实的部下
landlouper|流浪者, 冒险者
lingulate|舌状的
lupinin|羽扇豆苷
laryngitic|喉炎的
lipotrophic|[医] 脂肪增多的
laminable|可辗薄的, 可切成薄片的
landmarks|陆标( landmark的复数形式 ); 目标; （标志重要阶段的）里程碑 ~ (in sth); 有历史意义的建筑物（或遗址）
lophiidae|[网络] 鮟鱇科；鲩鲸科
lacerant|令人痛苦的,折磨人的
longitudinal|经度的, 经线的, 纵的
leuco|[化] 隐色体
lynxes|猞猁；山猫
lophophora|[医] 魔根属
locals|当地人；区域变量
lillianite|[矿]硫铋铅矿
lactenin|乳烃素
lymantriid|毒蛾
landplane|陆上飞机
lockyer|成把的；成簇的
lancelike|长矛状的；标枪似的；矛尖状的；【植物学】披针形的
liparite|[机] 流纹岩
lherzolite|二辉橄榄岩
lymphotomy|[医] 淋巴系统解剖学
leasable|可租借的
lattermost|最后的, 排在最后的
lewdly|淫荡地
lychee|荔枝
lall|[语]把/r/音读成/l/音
lusk|[人名] 勒斯克
lazyback|(交通工具内的)靠背
lipoceratous|尸蜡(样)的
ladylikeness|ladylike的变形
laundryman|洗衣男工
libertinage|(=libertine)放荡, 自由观点
ledum|[网络] 喇叭茶属；细叶杜香；杜香属
lifers|<俚>无期徒刑犯, 职业军人( lifer的复数形式 )
limpkin|秧鹤
loftily|高尚地, 傲慢地
loutish|粗野的, 无礼的
laicization|使还俗, 让外行担任
lumped|总集的；集中的；成块的
longleaf|长叶[松]
logway|筏道
literately|literate的变形
locos|(loco 的复数) n. 疯草病, 疯子, 火车头
lakin|[人名] [英格兰人姓氏] 莱金 Lawrence的昵称; [地名] [缅甸] 拉肯; [地名] [美国] 莱金
leitmotif|主乐调, 乐旨
locales|现场；场所（locale的复数）
ladik|拉迪克地毯(土耳其村镇Ladik等地织造的一种地毯)
lolium|[网络] 黑麦草属；毒麦属
longwise|纵长地
lambliasis|[医] 兰[伯]氏鞭毛虫病
leiothrix|[动]相思鸟
lacks|缺乏, 不足, 没有( lack的名词复数 )
leafcup|杯叶草
levanting|躲债；逃亡；躲避
lamming|鞭打, 潜逃( lam的现在分词 )
lumbering|伐木, 伐木业
leafhoppers|(leafhopper 的复数) n.[昆]叶蝉
litigated|提出诉讼( litigate的过去式和过去分词 )
larix|[医] 落叶松属
legalities|法律上的义务
lucinidae|满月蛤科
lavolta|回, 次
lupinus|[医] 羽扇豆属
lorcha|西式中国三桅帆船
littermate|同窝出生仔畜
leukemid|[医] 白血病疹
larrikins|(larrikin 的复数) n. 恶棍
lacerated|撕裂的, 割碎的,受伤的
loonier|疯狂的( loony的比较级 ); 怪诞的; 疯子; 狂人
lighttight|防光的, 不透光的
lipoidaemia|脂血(症)
lifesaving|救命的, 救生用的
laumontite|[化] 浊沸石
linearize|使线性化
larynxes|喉( larynx的复数形式 )
ligurian|利古里亚人, 意大利土语
larvated|[医]遮掩的
lophodont|[动]脊牙型的,脊齿型的
lexica|lexicon的复数
limax|[医]蛞蝓属
leadworks|(leadwork 的复数) n. 铅制品
landgravine|伯爵领主夫人, 女伯爵领主
litholysis|[医] 结石溶解
larus|鸥属
lateralis|[医]侧体，旁体
lowan|<澳>=mallee-fowl
ladleful|满勺
linctus|咳嗽药水
lambeau|Lambeau Field;  Green Bay;  Wisconsin Lambeau 菲尔德; 威斯康星河的绿色海湾
leucotaxine|皮肤肽
lamboys|(15-16世纪从腰至膝的)甲胄裙
landscaping|景观美化
lowbrow|教养浅薄的
latigo|马鞍上的皮带
longan|龙眼
locoman|铁路工人,火车司机
lazurite|[机] 天青石
lovelier|lovely（可爱的）的比较级形式
lota|(=lotah)印度圆水壶, 铜制小水壶(常为球形)
larcenist|偷窃犯, 贼
liney|细的
lightkeeper|灯塔的看守人
lungyi|(=lungi)腰布, 头巾
lackeyed|男仆；侍从；马屁精
liquidated|清算( liquidate的过去式和过去分词 ); 清除（某人）; 清偿; 变卖
lytta|(犬等的舌下)纵行蠕虫状纽带, 蚯蚓体
lessor|出租人
lappet|垂片, 垂饰, 垂布
liszt|李斯特(Franz, 1811-1886, 匈牙利钢琴家、作曲家)
lachrymation|流泪
locating|定位；定位查找
lymphatic|淋巴的, 淋巴性的
lucullite|卢卡尔石(一种产于埃及的浓黑色大理石)
leagued|联盟( league的过去式和过去分词 ); 等级; （运动）俱乐部的联合会; 里格（长度单位, 约等于 3 英里）
linearise|<主英>=linearize
louvar|[鱼]鲯鲭
libation|献酒, 奠酒, 饮酒
lobbing|[法] 游说拉票
lithographed|[印刷]石印；平版画(指石版或金属版画)；石版印刷品, 平版印刷品
lumpsucker|[动]圆鳍鱼料
lobber|挑高球选手
leucoplast|白色体
loners|喜孤独者, 不合群者( loner的复数形式 )
lawlessly|非法地
lankiest|过分瘦长, 瘦长得难看( lanky的最高级 )
lurry|[人名] 卢里
labradorite|闪光拉长石, 富拉玄武岩
lepomis|[医]太阳鱼
leafiness|多叶, 叶茂盛
leucothoe|[医]木藜芦属
lbw|low body weight 低体重; low birth weight 出生低体重; leg before wicket 击球员违犯规则用腿截球（板球）; low-speed black-and-white (photography) 低速度黑白片（照像片）
lauryl|alcohol[化]月桂醇,十二(烷)醇
lateen|大三角帆的
lampoon|讽刺文
levigate|把...磨细, 澄清, 琢磨
licheniasis|苔癣病, 苔癣形成
lops|砍伐( lop的第三人称单数 ); 剪（枝）; 削减; （从…）砍掉
lifelessness|枯燥无味）；无生命（死
languisher|衰弱、憔悴的人
lysates|(lysate 的复数) [化] 溶胞产物; 溶菌产物
leprosery|麻疯病院
liberalizer|liberalize的变形
laloneurosis|[医] 神经性言语障碍
lyttae|纵行蠕虫状纽带；狂犬病（等于hydrophobia） (lytta的变形)
latinization|译成拉丁语, 使成拉丁语文风, 罗马天主教化
levant|躲债
liquifying|液化；溶解（等于liquefy）
liquescency|[机] 液化性
laury|[人名] 劳里
lactagogue|(=galactagogue)催乳的
lungy|[医] 患肺结核病的
legendarily|传奇性地, 传奇似地
liming|[化] 石灰澄清法
lullingly|催人入眠地
licht|[苏]light的异体
laicized|凡人化, 摆脱宗教色彩( laicize的过去式和过去分词 )
luxuriancy|茂盛, 丰富, 丰饶, 华丽, 精美, 奢华
loxotomy|[医] 斜切断术
lapstreak|舷侧重叠搭造的船
linget|兰热
lumbosacral|[医]腰骶的
liveability|(家禽,牲畜的)存活率, (住宅,环境的)适于居住性
layaway|保留供将来客户付清货款的商品
libellulidae|蜻科
lapwing|鸟头麦鸡
lustiest|精力充沛的；健壮的 (lusty的变形)
longspur|[动] 铁爪鸟
latices|latex的复数
liverwurst|肝泥香肠
leopoldite|[矿]钾盐
leaderette|简短社论, 编者按
liquidation|偿还, 偿付, 清算
legatary|遗产承受人, 受遗赠人
laird|地主, 领主
lipolysis|脂解(作用)
lawmen|执法者；警官；警察
logothete|(拜占庭帝国的)行政官员
lignitic|褐煤的, 含褐煤的
leatherlike|leather的变形
ledgers|分类账( ledger的复数形式 )
losers|受损失者, 失败者( loser的复数形式 ); 屡屡失败的人（尤指评价较低者）
lett|列托人, 列托语
lovey|宝贝；亲爱的（对爱人的昵称）
lithocarpus|石柯属
laughed|笑( laugh的过去式和过去分词 ); 发笑; 嘲笑; （特别表示因成功而）处于有利地位
laborless|labor的变形；不费劲的, 不花力气的
landrace|(原产于丹麦的腌肉型)兰德瑞斯猪,长白猪
laxest|不严格的( lax的最高级 ); 马虎的; 松懈的; <医>（肠）宽松的
laddish|男孩的,稚气的
lactic|乳的, 乳汁的, 由乳汁取得的
lubrications|(lubrication 的复数) n. 润滑, 注油, 润滑作用
lumbar|腰的, 腰部的
lucarne|屋顶窗
lawyerly|(=laywerlike) 如律师的, 适合于律师的
loach|泥鳅
levelling|水准测量, 整平, 测平
lipogenetic|[医] 脂肪生成的
lube|润滑油
locomotivity|移动力, 运动力
lentoid|透镜状的
