earth|地球
epicystotomy|[医] 耻骨上膀胱切开术
evidentness|明显, 显然
epigyne|(蜘蛛)雌孔板
extrication|救出, 解脱, 游离
ergotaminine|[化] 麦角胺宁; 麦角异胺
ethnologists|(ethnologist 的复数) n. 民族学者, 人种学者
ectocarpales|水云目
eyeliner|眼线膏
empyesis|脓疱
epitaxial|[电] 晶膜
egressing|出口, 外出
electrotest|电子(手)表测试仪
excipient|[药]赋形剂
excerpta|摘要, 节录
equilibriums|平衡, 均势（equilibrium的复数形式）
electorates|全体选民( electorate的复数形式 )
ethicize|使伦理化, 认为...合乎道德, 使有道德
endognathion|[医] 内颌(切牙骨内部)
encyc|encyclopaedia 百科全书; encyclopaedical 百科全书的; encyclopaedism 百科全书的知识; encyclopaedize 百科全书化
evincive|证明性的, 显示的
enanthesis|[医] 内病性皮疹
ethanediol|[化] 乙二醇
empirism|经验论
extortioners|(extortioner 的复数) n. 勒索者, 敲诈者
entrains|使乘火车( entrain的第三人称单数 ); 拖; 产生
excitative|激发的, 励磁的, 有兴奋作用的, 有刺激作用的
ejection|驱逐, 喷出, 排出物
eosinoblast|[医] 成嗜曙红细胞
extremist|[经] 偏激份子
exodontia|拔牙术
enlarged|扩大( enlarge的过去式和过去分词 ); 扩展; 扩充; 放大
equalizers|追平比分的得分, 追平的进球( equalizer的复数形式 ); 使众人平等之物
extenuatory|使减轻的, 酌情的
epimorphosis|[生理](割处)再生,表变态
epifocal|[地]震中的
ependyma|[解]室管膜
errantly|errant的变形
egoism|自我主义, 利己主义
efik|埃菲克族, 埃菲克人[语]
emulator|竞争者
eskimos|爱斯基摩人( Eskimo的名词复数 )
earthrise|地出(从月球上看地球,地球从月球的地平线上升起)
espoused|（决定）支持, 拥护（目标、主张等）( espouse的过去式和过去分词 )
enthral|迷住, 奴役, 使做奴隶, 吸引住
episteme|知识
elegy|悲歌, 哀歌, 挽歌
endostyle|[动]内柱
extensible|可展开的, 可延长的, 可扩张的
erratics|(erratic 的复数) n. 古怪的人, 漂泊无定的人
examinees|(examinee 的复数) n. 受试人, 应试者
ergasia|精神活动
ectocinerea|脑灰质
edda|(古冰岛两文学集之一)：1230年问世的古冰岛散文集(或)1200年问世的古冰岛诗集
externalism|外在性, 形式主义, 现象论
epizeuxis|[修]紧接反复
entomologic|昆虫学的
elecampane|[植]土木香
endothelial|内皮的
embryotome|[医] 碎胎刀
esterifies|（使）酯化( esterify的第三人称单数 )
elevates|举起( elevate的第三人称单数 ); 提高; 提升; 鼓舞
elle|世界时装之苑（时尚类期刊）；依尼（服装品牌名）
eosophobia|黎明恐怖
eunomian|& adj.优诺米派成员(的)
episcopize|担任为主教, 使改信圣公会
eniac|电子数字积分计算机, ENIAC计算机（Electronic Numerical Integrator And Calculator）
endarterial|[医] 动脉内的
eguttulate|无斑点的
evict|逐出, 赶出, 驱逐
endeared|使某人（自己）受某人喜欢( endear的过去式和过去分词 ); 令…喜欢某人/自己
ethidene|乙叉, 亚乙基
enfoldment|折叠
eavesdrops|偷听（别人的谈话）( eavesdrop的名词复数 )
empt|事件处理规划小组（Events Management Planning Team）
embololalia|[医] 插语症
emplastrum|硬膏剂, 贴膏剂
endocrinal|内分泌腺的
evelina|[女子名] 埃维莉娜 Evelyn的变体
esophagal|【解剖学】食管的
emprise|冒险,行动,侠义行动, 壮举
examiners|主考者( examiner的复数形式 )
errant|周游的, 离开正道的, 不定的
exaggerator|夸张者, 言过其实者
emperess|皇后
endogonidium|[医] 细胞内分生孢子
epiblast|外胚层, 上胚层
encyst|把...包在囊内
eponychium|[生]甲上皮,[解]指甲上皮
essentiality|根本性, 真髓, 本质
ergometer|测力计
erupted|爆发( erupt的过去式和过去分词 ); 喷发; 突然发生; 出疹
evened|使平坦（even的过去式与过去分词形式）
effeminacy|柔弱, 女人气
exophthalmos|突眼症, 眼球突出症
eclipses|（日、月）食( eclipse的名词复数 ); 消失, 黯然失色
eurygnathism|[医] 阔颌状态
enaction|设定, 制定
egested|排泄( egest的过去式和过去分词 )
estacade|围桩, 防栅
epipterygoid|上翼状骨
erythrophage|噬红细胞
exuviated|脱壳；蜕皮
escalloping|海扇贝或其贝壳, 浅锅( escallop的现在分词 )
explorers|探索者, 探测者；探险家；集合对象（explorer的复数形式）
elaps|[医] 珊瑚毒蛇属
equinal|[古语]=equine
effacer|efface的变形
explant|移植
einstein|爱因斯坦
enumerations|(enumeration 的复数) n. 计算, 列举, 细目
executable|可执行的, 可以作成的, 可实行的
echoer|echo的变形
elkhound|猎鹿犬
eschar|焦痂
excusatory|道歉的, 辩解的
entrails|pl. 内脏, 肠, (物体)内部
euglenales|裸藻目
expiratory|吐气的, 呼气的
emotioned|☉强烈的感情, 激情；激动
enfeoffment|领地授与(证),封地
encrusting|用一层硬壳覆盖, 包裹( encrust的现在分词 ); （用贵重物品在）表面装饰; 结壳, 形成硬壳
episcopalism|主教制主义, 主教制
excelsior|不断向上的, 精益求精的
embroiders|（在织物上）绣花( embroider的第三人称单数 ); 刺绣; 对…加以渲染（或修饰）; 给…添枝加叶
elastin|弹性蛋白
epicist|史诗作者, 叙事诗人
exotica|新奇事物, 异族事物
espousal|拥护, 订婚, 婚礼
encystation|[生]成囊,胞囊形成
enriches|使富有( enrich的第三人称单数 ); 使富裕; 充实; 使丰富
enstatitic|enstatite的变形
edibility|适食性, 可食性
enacted|制定（法律）, 通过（法案）( enact的过去式和过去分词 )
enthrall|迷惑, 奴役, 迷住
echelette|[物]小阶梯光栅
enantiomorph|[化]对映结构体
endangers|危及, 使遭受危险( endanger的第三人称单数 )
ennuyee|& n. <法>倦怠的（女人）
ephelis|[医]雀斑
excogitation|想出, 方案, 计策, 计划, 设法, 设计
ejectors|(ejector 的复数) n. 驱逐者, 排出器, 放出器
eolith|原始石器
earthnut|花生, 块根
estrogen|雌激素
ennuye|& n. <法>倦怠的（男人）
epiphylaxis|[医] 加强预防作用
endameba|内阿米巴属[原生动物]
eirenicon|和平提议
emplaned|乘飞机, 装上飞机, 使乘飞机( emplane的过去式和过去分词 )
erythropenia|[医]红细胞减少
easer|[刷]油墨添加剂
egests|排泄( egest的第三人称单数 )
endorsee|承受背书票据者, 被背书人
esothyropexy|[医] 甲状腺内面固定术
eurytopic|[生]广适性的
extenuation|酌情减轻, 减轻
ensouling|赋予灵魂( ensoul的现在分词 )
epineurium|[解]神经外膜, 神经外衣
estreating|摘抄
expiated|<正>为（所犯罪过）接受惩罚, 赎（罪）( expiate的过去式和过去分词 )
exsiccation|干燥, 干燥作用, 除湿作用, 干燥法
enki|恩基（水神和智慧神）
expressio|[医]面部表情，面容
eugenics|优生学
efference|离心；输出
entailments|(entailment 的复数) [法] 限定继承, 世袭财产
epitoke|后生有性部分, 有性节
eliminators|(eliminator 的复数) n. 排除者, 消除器
enviousness|envious的变形
effable|可表达的
expound|详细说明, 解释
epiphytism|[生态]附着生活
escheating|重还, 归还, 承受转归领主的土地( escheat的现在分词 )
euryale|[希腊神话]欧律阿勒(三个蛇发女妖之一)
exenteritis|肠腹膜炎, 肠浆膜炎
echinococcus|[动]棘球绦虫
emulant|竞争者,对手
eurydice|欧律狄刻（希腊神话中的一个形象）
expectancies|(expectancy 的复数) n. 期待, 期望的事物, 嘱望, 希望, 期望, 预期
enc|工程指挥, 技术控制（Engineering Command）
excalation|[医] 部分缺失(正常连续部分的缺失,如脊椎)
engendering|产生（某形势或状况）, 造成, 引起( engender的现在分词 )
embrocates|涂擦药液( embrocate的第三人称单数 )
equuleus|[the Equuleus][天]小马(星)座
eked|（靠节省用量）使…的供应持久( eke的过去式和过去分词 ); 节约使用; 竭力维持生计; 勉强度日
ectocoelic|[动]外腔的
egosyntonic|[医] 自我协调的
esp|超感官知觉, 超感觉力
elodea|伊乐藻属植物
explicans|术语或陈述的意义
enamellers|(enameller 的复数) n. 搪瓷工人
elephas|象属
excipulum|囊盘被
executions|实行( execution的复数形式 ); （尤指遗嘱的）执行; 演奏; 依法处决
etypical|【生物学】变异的
entoglossal|[医] 舌内的
epicondylar|上髁的
eyot|河(湖)中的小岛
exscind|切除, 切断
excavating|挖掘（excavate的现在分词）
effund|倒；斟；使流出；使倾注
enchain|束缚, 以铁链绑住
eyedness|偏眼性
emarginate|顶端微凹的
evaluates|评价( evaluate的第三人称单数 ); 求…的值（或数）; 对…评价; [数学、逻辑学]求…的数值
enforest|把(牧场或耕地)变为狩猎场(或森林)
eyeing|vbl. 注视
enkindling|<文> 使（火焰）燃起( enkindle的现在分词 ); 刺激; 激发; 煽起（感情、热情等）
enumerative|计算的, 列举的, 计数上的
evolutions|(evolution 的复数) n. 进化, 发展, 进展, (气体)放出, 开方
expiates|<正>为（所犯罪过）接受惩罚, 赎（罪）( expiate的第三人称单数 )
encountering|遇到( encounter的现在分词 ); 遭遇; 偶然碰到; 与（人、部队）冲突
extradited|引渡( extradite的过去式和过去分词 )
effulged|照耀；使闪闪发亮
elmy|多榆树的
educations|教育( education的复数形式 ); 教育学; 教育机构; 有教益的经历
elemi|榄香脂(热带产树脂)
eldest|最年长的, 排行中第一的
explicably|explicable的变形
elude|逃避, 规避, 把...难倒
emarginated|(尖端或边缘)有缺口的, 有凹口的；【植物学】(叶、花瓣等)顶端有凹缘的, 微缺的
emulative|竞争性的, 不服输的, 好胜的
embower|以树叶遮盖, 隐藏在树林中
exchanging|交换；兑换；交流（exchange的ing形式）
elastomer|[化] 高弹体; 弹性体
emmanuel|以马内利（耶稣基督的别称）；伊曼纽尔（男子名, 等于Immanuel）
efficience|效率
embarcadero|(尤指美国西部城镇的) 内河码头
exteriorly|在外部, 从外表上看
excerpted|摘录, 引用
exterminate|扑灭, 消灭, 根绝
earthliness|尘世, 凡俗
enquirer|寻问者；追究者
equivalved|【动物学】
eftsoons|不久; 即刻, 随即; 经常, 常常, 屡; 又, 再, 亦
effeminise|[网络] 高效
erotophobia|爱情恐怖, 性爱恐怖
epigenous|[植](真菌)上面生的,生长于叶面的
evincement|evince的变形
ectomorph|瘦型体质者
epicostal|[医] 肋[骨]上的
encrypts|加密, 将…译成密码( encrypt的第三人称单数 ); 把…加密（或编码）, 将…译成密码
environing|包围, 环绕, （敌意地或保护性的）围住( environ的现在分词 )
exocardial|[医] 心外的
encarnalize|使具肉体, 使世俗化, 使具肉欲
excrement|排泄, 大便
ethambutol|[药]乙胺丁醇(一种抗结核药)
enigmas|难于理解的问题、人、物、情况等, 奥秘( enigma的名词复数 )
eyrir|奥拉(冰岛的一种硬币)
enderon|[医]外被深层：皮肤或粘膜的深层
earmark|耳上记号, 特征, 记号, 标记
equus|[动]马属(包括马、驴、斑马等)
elocutionist|雄辩家, 演说家
emphasizing|[电] 强调
emmarble|以大理石装饰, 刻成大理石像
eructing|打嗝, 喷出, 喷( eruct的现在分词 )
embolization|[医]栓塞(现象)
esq|环境征候问卷（Environmental Symptoms Questionnaire）；先生（esquire, 信内尊称）；贝索（箱包品牌名）；瑞士名表品牌；方差
edict|布告, 法令
extravert|外向性格的人
eternized|使永恒, 使不朽( eternize的过去式和过去分词 )
eristalis|蜂蝇
erodibility|侵蚀度
espundia|鼻咽粘膜利什曼病
epithalamus|[解]丘脑上部, 上丘脑
expediently|方便地, 便利地, 得当地
ecrustaceous|无壳质的
exordia|绪言, （事物的）发端; （讲话论文等）开端, 绪言, 绪论( exordium的名词复数 )
extractor|抽出器, 拔取的人, 抽出者
encamps|扎营；露营
epistrophe|尾词重复
eunomy|秩序良好
esplees|土地所得
errite|褐硅锰矿
endarch|[植]内始式的
ethereous|醚的
epapillate|无乳突的
emended|校订, 修改( emend的过去式和过去分词 )
expiscatory|expiscate的变形
esprit|（法）精神, 才智；机敏
enounced|宣言( enounce的过去式和过去分词 ); 声明; 说出; 发音清晰地读出
endorachis|[医] 硬脊膜
earmarked|指定…作为特定用途( earmark的过去式和过去分词 )
effetely|腐朽地
edemas|<美>水肿, 浮肿, 瘤腺体( edema的名词复数 )
edibleness|食用价值
extorter|extort的变形
ethynes|[化] 炔烃
excerpter|摘录者, 选录者, 节录者；引述者
ependymitis|脑室管膜炎
empodium|[动]爪间突
eosphorite|[矿]磷铝锰矿
endogen|内长植物, 单子叶植物
emplastic|[医] 粘胶状的, 便秘药, 致便秘药
ecchymoses|出血斑, 瘀癍( ecchymosis的名词复数 )
ectotrophic|外生的
eminences|卓越( eminence的名词复数 ); 著名; 高地; 山丘
exocardiac|【解剖学】异位心
encephalitis|脑炎
eurasiatic|欧亚的, 欧亚人的
excurse|跑掉, 远足, 离题, 短程旅行
effortless|容易的, 不费力气的
erick|埃里克（人名, 等于eric）
enopla|有针类
emasculator|去势器, 阉割员（指从事牲畜阉割工作的人员）
embosoms|把…藏于胸中( embosom的第三人称单数 )；围绕；环绕；珍爱
echinopsine|蓝刺头碱
exogastritis|胃腹[胃外]膜炎
earphones|耳机; 耳机, 听筒( earphone的复数形式 )
eriodictyon|圣草(产于北美)
extemporary|即席的, 权宜之计的, 临时的, 善于即席讲话的, 不用讲稿的, 无准备的, 当场的
enculturate|使适应某种文化
enslaved|使成为奴隶( enslave的过去式和过去分词 ); 奴役; <正>使受控制; 征服
erectly|直立地
engrossment|正式缮写的文件,专注
epizoa|体表寄生虫
entitlement|权利
egomaniac|极端利己主义者
earwigged|earwig的变形
ethanedial|[化] 乙二醛
enwind|缠绕
eventuated|结果, 归结( eventuate的过去式和过去分词 )
eighties|[计] 八十年代
executors|遗嘱执行人( executor的复数形式 ); 遗嘱执行人的职务
enlargements|扩大, 放大, 已扩大或放大之物( enlargement的复数形式 )
exportations|出口( exportation的名词复数 )
evolvent|渐开线, 切展线
elflike|顽皮的, 淘气的
elfinwood|高山矮曲林; 高山矮曲林
esophagotome|[医] 食管刀
exemplarity|exemplary的变形
edo|埃多族（居尼日利亚南部）；埃多人；埃多语
encages|关在笼中, 把…关起来, 禁闭( encage的第三人称单数 )
eumycetes|[医] 真菌纲
endocolpitis|[医] 阴道粘膜炎
exponentials|(exponential 的复数) a. 指数的
extirpates|消灭, 灭绝( extirpate的第三人称单数 ); 根除
endocytic|[生](细胞)内吞作用的
estated|有财产的, 有地产的, 有产业的
euripidean|欧里庇得斯的, 欧里庇得斯悲剧的
endosarc|内质
estafette|骑马的信差
etruscology|伊特鲁里亚学
ejaculate|突然说出, 射出
emetic|催吐剂
effecting|使发生（effect的现在分词形式）
esquire|先生, 绅士
eradicated|画着根的
eventful|变故多的, 多事的, 重要的
elytrum|翅鞘, 翅基
effused|涌出, 流出, 泻出( effuse的过去式和过去分词 )
eurylaimi|[鸟] 阔嘴鸟亚目
equipage|装备
empiric|经验主义者, 江湖医生
epitenon|[医] 腱鞘
erinose|树木尖刺病
estray|离开原居住地的人, 走失的家畜
enfin|<法>终于, 最后
enostosis|[医]内生骨疣
englobe|包入球中, 变成球状
eastabout|向东地
euproctis|黄毒蛾属
enchaining|束缚, 以铁链绑住( enchain的现在分词 )
eopaleozoic|始古生代的
exsector|[医] 切除刀
ectosteal|[医] 骨外[面]的
endoscope|内窥镜
electrified|使电气化( electrify的过去式和过去分词 ); 使兴奋
endamages|使损坏（endamage的第三人称单数形式）
eudaemon|善良的精灵,守护神
emigrated|移居国外( emigrate的过去式和过去分词 )
eyesores|难看的东西( eyesore的复数形式 )
endites|(endite 的复数) vt.<古> =indite
erg|尔格
enemata|[医] 灌肠法, 灌肠剂
encroaching|渐渐渗入的
elon|埃伦（可溶性显影剂粉末）
eyewear|[医]护目镜
effs|弄糟
eveline|伊芙琳(女子名)
epicuticular|上表皮的
elopements|潜逃, 私奔( elopement的复数形式 )
encoded|编码的
ertebolle|(斯堪的那维亚半岛)新石器时代文化的
etypic|由某种形态转变的
escalators|自动扶梯( escalator的复数形式 )
eggshells|蛋壳, 易碎的东西( eggshell的复数形式 )
ecocidal|造成生态灭绝的或与生态灭绝有关的
eschynite|易解石
entomion|乳突(角)
evaporators|(evaporator 的复数) n. 蒸发器
evangel|福音(书), 佳音
edictal|布告的, 法令的
epilating|给…拔毛, 使脱毛( epilate的现在分词 )
etym|etymological 词源学的; etymologist 词源学者; etymology 词源（学）
eleventhly|在第十一号
eustachian|[医] 咽鼓管
expansive|扩张性的, 使扩大的, 广阔的
embracer|拥抱者,信奉者,接受者,企图以非法手段笼络法庭或陪审团的人
elissa|[女子名] 伊莉萨 Elizabeth的变体
esophageal|食管
eellike|似鳗的, 行动似鳗的
ergo|所以, 因此
equid|马科动物(包括马,驴等)
elks|麋鹿( elk的复数形式 )
entoptic|[医]眼内的,内视的
elated|兴高采烈的
effaced|擦掉( efface的过去式和过去分词 ); 抹去; 超越; 使黯然失色
etiolating|使变青白, 使变苍白( etiolate的现在分词 )
errs|犯错误, 做错事( err的第三人称单数 )
exodontics|[医]拔牙学, 拔齿学
encoring|再来一个！（听众要求重演一次的呼叫）( encore的现在分词 ); 再演（唱等）（的呼喊）
executant|实行者, 执行者, 演奏者
exacerbation|恶化, 增剧, 激怒
endogastric|位于腹中的
epithelioid|[生]上皮状的, 上皮样的
examen|考试, 批判性的研究, 良心反省
epicedian|epicedium的变形
everblooming|连续开花的
engulfment|[医]吞食, 病毒固定
equalities|同等, 平等( equality的名词复数 )
exculpation|使无罪
escapists|逃避现实者
emanative|发出的, 发散的, 发射的
erelong|不久
encompasses|围绕( encompass的第三人称单数 ); 包围; 包含; 包括
estoppage|禁止翻供, 阻止, 堵塞
erosible|可侵蚀的,易蚀的
epibolic|[生]外包的
eunectes|[网络] 水蚺属；绿森蚺；安纳康达
evincing|表明, 标示( evince的现在分词 )
estops|塞信( estop的第三人称单数 )；遮住；禁止反言
edging|边缘, 边饰
ewry|[人名] 尤里
epiphonema|【修辞学】；(文章结尾处的)画龙点睛之笔
extroversion|外翻, 外倾
emancipatory|解放的, (为了)解放的
eleaticism|埃里亚派
earful|惊人(或重要)新闻的透露, (说话、闲话等的)大量, 过多, 斥责
epimeride|[化] 差向异构体
equerry|掌马官, 侍从武官
erythrophyll|叶红素
economise|vt. 节约, 避免浪费, 节省
encephalon|脑, 脑髓
endostosis|[医]软骨骨化
endoprocta|内肛亚纲
ensignship|少尉的官职（职务）
encyclic|传阅的, 广泛传送的
euphemize|委婉地说, 用婉转的话说
embalm|以药物防腐, 铭记于心, 使不朽
extrovertish|外向者的, 如外向者的
epizoology|动物流行病学, 兽疫学
eventuate|结果为, 终于发生
elegiac|哀歌, 挽歌
endomorphic|具有胖型体质的
envenoms|毒害( envenom的第三人称单数 )
epizootic|动物流行病的
experiencer|经验者；感受者
excretes|排除( excrete的第三人称单数 ); 排泄; 分泌; 排出
ebonite|硬橡胶
exfoliating|片状剥落( exfoliate的现在分词 ); 鳞片样脱落; 使片状脱落; 使鳞片脱落
escutcheoned|escutcheon的变形
eimeria|[医] 艾美球虫属
exaltation|提升, 提高, 得意洋洋
ectotoxin|[化] 外毒素
ectozoic|外寄生虫的,体表寄生虫的
edeodynia|[医] 生殖器痛
entoprocta|内肛动物
extricated|使摆脱困难, 脱身( extricate的过去式和过去分词 )
ephemeron|蜉蝣
esthetics|美学
euchromatic|常染色质的
exonerate|免除, 证明无罪
elector|有选举权的人, 选举人
enterodynia|肠痛
effloresce|开花, 风化
eyeful|满眼, 满眶, 眼之容量
embays|使入湾, 围绕, 成港湾状（embay的第三人称单数形式）
excoriable|应受谴责的, 可非难的
ectogenetic|体外发生
epidemics|流行病；时疫；蔓延（epidemic的复数）
equicaloric|(能产生)等卡(热)的
eupractic|(促)协同动作正常的
ecotone|[生]群落交错区
expos|(expo 的复数) [经] 展览会, 市集, 义卖
exigency|紧急, 急迫, 紧急事件
elitists|优秀人才, 杰出者( elitist的复数形式 )
emblemed|象征；徽章；符号
euphonia|[医] 声音正常
euphonious|音响好的, 悦耳的, 声音和谐的
enplaning|搭乘飞机( enplane的现在分词 )
ektexine|外壁, 外表层
eyestone|眼石(一种除去眼中异物的小贝壳)
episcopates|(episcopate 的复数) n. 主教之职, 主教区, 主教
energetics|能量学
einsteinian|爱因斯坦的, 爱因斯坦理论的
ectental|[医] 外[及]内胚层的
earthling|世人, 俗人, 俗物
entrenches|用壕沟围绕或保护…( entrench的第三人称单数 ); 牢固地确立…
edificial|edifice的变形
embolisms|加闰日, 栓塞, 栓子( embolism的复数形式 )
effaceable|能擦掉的, 会被忘却的, 可抹去的
evasiveness|逃避, 推诿；模棱两可
elhi|小学及中学的, 中小学的
excoriate|剥皮, 擦破皮肤, 严厉的责难
expectedness|预期性
extratubal|[医] 管外的
equability|平静, 无变动
eldred|埃尔德雷德(m.)
elephantiac|象皮肿患者
essencing|实体, 本体；抽象的存在体；统一体；本质；实质；最重要的特性；要素
epitaphic|epitaph的变形
esd|[计] 外部符号字典
erasable|可消除的, 可抹去的
emphatically|强调地, 着重地
endogamic|同族结婚的
ericaceae|[医] 杜鹃花科
enucleation|[医] 剜出术, 摘出术
ealdormen|(ealdorman 的复数) n.[英史](盎格鲁-撒克逊时期的)郡长
expalpate|(=expalpatus)无须的
eisenberg|[人名] 艾森伯格; [地名] [德国] 艾森贝格
ety|etymological 词源学的; etymologist 词源学者; etymology 词源（学）
eutychian|优迪克主义的
eppy|[医]环硼肾上腺素制剂的商品名
eventognathi|【脊椎动物】真内颚目
equivalents|相等的东西( equivalent的复数形式 ); 对应词
empresa|[地名] [玻利维亚] 恩普雷萨
extents|(extent 的复数) n. 范围, 程度, 区域
entertains|款待, 招待( entertain的第三人称单数 ); 使欢乐; 使娱乐; 抱有
eumenides|[复]n.[希神] [罗神] 欧墨尼得斯( 即 Erinyes 或Furies)
embowelled|<废>把…放入碗内（或深处）, 围住( embowel的过去式和过去分词 )
encumbers|<正>妨碍, 阻碍, 拖累( encumber的第三人称单数 )
ectype|复制品, 副本
expt|expected 预期的; expect 预计; experiment 试验; expert 专家
editorialize|发表社论, 插入主观评论
enfranchise|给予自治权, 给予选举权, 解放
expatiatory|详述的, 冗长的
enplane|搭乘飞机
ethereal|轻的, 飘渺的, 天上的
ezekiel|[宗]以西结（希伯来先知, 旧约圣经以西结书之作者）；伊齐基尔（姓氏）
echinopanax|[医] 刺金刚纂属
ensepulchre|<主英>埋葬
earcap|耳套
entablature|柱顶线盘, 柱上楣构
echolalic|（模仿发元音阶段）幼儿学语的
enrapture|使狂喜
exordiums|（讲话论文等）开端, 绪言, 绪论( exordium的名词复数 )
emeriti|荣誉退休者（尤指男人）（emeritus）的变形
evacuations|撤空( evacuation的复数形式 ); 撤离; 撤退; 疏散
entomofauna|昆虫志, 某一地区的昆虫
emotionalism|感情主义, 易动感情
episcopate|主教之职, 主教区, 主教
epoptic|萤光的
earflaps|(earflap 的复数) n. (御寒用的)耳罩
emplaning|乘飞机, 装上飞机, 使乘飞机( emplane的现在分词 )
evicting|（依法从房屋里或土地上）驱逐, 赶出( evict的现在分词 )
endpoints|(endpoint 的复数) n. 端点；末端, 终结点
escaping|溢出的；换码
exterminable|exterminate的变形
exculpated|开脱, 使无罪( exculpate的过去式和过去分词 )
endgame|最后阶段；尾声
execrative|诅咒的, 憎恶的
espied|看到( espy的过去式和过去分词 )
embadomonas|[医] 内滴虫属
elegize|以挽歌哀悼
exasperated|愤怒的, 恼火的
equivoque|双关语, 文字游戏, 模棱两可的话
ecesis|定居
entitles|使有资格, 使有权( entitle的第三人称单数 ); 给…题名
entoil|使入圈套, 陷害
echelonment|阶梯状; 梯次配置; 梯状配置
ergon|[物]尔刚(用热表示的功的单位, 光子能量单位)
enteron|消化道
ergonomist|工效学者, 人类工程学者
endosome|内涵体
elevated|提高的
ectomorphy|瘦型体质
entrusting|委托, 托付( entrust的现在分词 )
euphonic|声音和谐的, 悦耳的
emule|电骡子；电驴（一种P2P协议的互联网下载工具）
effluviums|臭气( effluvium的名词复数 )；恶臭；放出；无声放电
emmenia|[生理]月经
epicentral|震中的
entorganism|内寄生物
edificatory|启迪的, 教诲的, 教导的
encysted|被囊的, 具硬壳的
ecarte|<法>纸牌的一种玩法
enameloma|釉质瘤
enterolobium|[网络] 象耳豆属；番龟树属；耳豆木属
ecballium|[医] 喷瓜属
eunuchs|太监, 宦官( eunuch的复数形式 )
engarland|给...戴上花环, 以花环装饰
extender|[计] 扩展器, 延长器, 扩充部件
eburnated|似象牙般坚硬结实的
excogitate|想出, 研究出, 设计, 发明
ensorcels|迷惑, 蛊惑( ensorcel的第三人称单数 )
enlock|把…锁藏起来, 把…锁起保存好；锁上, 锁；把…关起来, 关闭
eustachium|咽鼓管
expungement|expunge（擦去，拭去）的变形
emulsifies|使乳化( emulsify的第三人称单数 )
electrifying|令人振奋的；惊人的
encipher|译成密码
extenuating|使减轻的, 情有可原的
equipages|装备马车, 化装品( equipage的名词复数 )
elastance|[化] 倒电容(等于1/c)
enterozoa|肠腔动物
explorable|[计][修]可勘探
exemplarily|作为模范地, 可为鉴戒地
eudaemonism|幸福说, 快乐说
exquisitely|精巧地, 敏锐地
epitoxoid|[医]弱亲和类毒素
exculpates|开脱, 使无罪( exculpate的第三人称单数 )
escalatory|使增多的, 使提高的
enthralls|(enthrall 的第三人称 -s形式) vt. 迷惑, 奴役, 迷住
epagoge|[逻]归纳论证
ephemerides|星历表, 历书, 短命的东西( ephemeris的名词复数 )
etherifying|醚化
enlivening|使（某人或某物）更活跃或更愉快( enliven的现在分词 )
echini|echinus的复数
endorsor|背书人
estranger|estrange的变形
esophagocele|食管突出
excruciate|施酷刑, 拷问, 使苦恼, 折磨
ecumenical|一般的, 普遍的, 全基督教的, 泛基督教主义的
euchorda|真嵴索动物亚门
elders|（某些基督教会中的）长老( elder的复数形式 ); 长辈; 比我年长的人; 接骨木
emphase|加强
elevators|电梯( elevator的复数形式 ); 升降机（美）; 谷仓; 粮仓
earpiece|耳机, 护耳片, 眼镜脚, 头戴式耳机
erythrophore|[动]红色素细胞
ethylenes|乙烯属烃
existential|有关存在的
erne|白尾海雕
exhibitive|起显示作用的, 表示的
endearments|表示爱慕的话语, 亲热的表示( endearment的复数形式 )
evaporite|[地]蒸发岩,蒸发盐
epipubic|epipubis的变形
enameled|涂瓷釉于, 给…上瓷漆, 给…上彩饰( enamel的过去式和过去分词 )
ergosterol|[生化]麦角固醇
eparchial|eparchy的变形
ellipsoid|椭圆体
eustatic|海面升降的, 海面变化的
escorted|护送, 护卫( escort的过去式和过去分词 )
euciliate|& adj.[动]真纤毛亚纲的纤毛原生动物(的)
evaders|(evader 的复数) n.逃避者,逃避物
epimedium|淫羊藿
etherism|[医] 醚瘾
etymons|字的原形, 词源, 字根( etymon的名词复数 )
enwombing|使藏于子宫内, 使隐藏( enwomb的现在分词 )
eudemonistic|eudemonism的变形
eightieth|num. 第八十, 八十分之一
evacuator|撤退的人, 排除用具
eirenic|和平主义的, 和平的
eulytite|[化] 闪铋矿; 硅铋矿; 硅铋石
enrollee|被征入伍者, 入会者, 入学者
eardrops|耳药水
extradite|引渡, 获取(逃犯等)的引渡
embolectomy|[医]栓子切除术
enteromere|[医] 肠节
entoils|使入圈套, 陷害( entoil的第三人称单数 )
equalized|（使某事物）相等( equalize的过去式和过去分词 )
eliminates|排除( eliminate的第三人称单数 ); 消除; 除掉; <口>干掉
entocnemial|[医] 胫骨内侧的
enantiomeric|对映体的
egresses|外出；出口
emptiest|空的( empty的最高级 ); 空闲的; 没有; 言语或行动空洞的
elenctic|间接反驳的
emblazed|点燃, 颂扬, 照亮( emblaze的过去式和过去分词 )
elephantoid|[医] 象皮病样的
eutheria|[医] 真兽亚纲
exosmic|[化]外渗的, 渗入的
eruptions|喷发, 爆发( eruption的复数形式 )
eyebolt|有眼螺栓, 吊环螺栓
exulted|狂喜, 欢跃( exult的过去式和过去分词 )
erotism|性爱倾向, 性的兴奋
engraftment|[医]移植物移入
epigastrium|上腹部
etcher|蚀刻工
elaeagnaceae|[医] 胡颓子科
eubacteria|真细菌
emmeniopathy|[医]月经病
