apple|苹果
apishness|apish的变形
absolves|宣告…无罪, 赦免…的罪行, 宽恕…的罪行( absolve的第三人称单数 ); 不受责难, 免除责任 [义务] ,开脱（罪责）
antirachitic|[医]治疗佝偻症的
aswooned|[通常作表语], adv. 在晕厥中(的), 晕倒(的)
adyta|内殿, 内院；密室 (adytum的变形)
anthologised|(anthologise 的过去分词) vt.vi. (把...)收入选集, 编纂选集
aneurysmatic|[医] 动脉瘤的
athetotic|手足徐动症的, 指痉病的
ach|[计] 自动化票证交换所
asphyxiation|窒息
ahem|interj. 呃哼
auxograph|生长记录器, 体积变化记录器, 植物生长自记计
arousals|(arousal 的复数) n. 奋发, 激励
anhydration|[医] 脱水[作用], 去水[作用]
applauder|applaud的变形
alegar|麦醋, 酸麦芽酒
amylidene|[化] 1,1-亚戊基
antidinic|[医] 防止眩晕的
allosaur|[古生]异龙
altostratus|高层云
androgynus|[医] 两性体, 雌雄同体, 女化男子(男性假两性体)
apocentric|离中心的, 离中央的
actinenchyma|星状组织, 放射状组织
adela|阿德拉（女子名）
afterpains|产后痛
allelic|[遗传学]等位基因的
aquafer|(=aquifer)水
auriculas|[植] 耳状报春花；[解剖] 耳廓
abies|[机] 冷杉属
accelerator|加速剂, 加速器, 油门
aquamarine|海蓝宝石, 浅绿色
alginate|藻酸盐
anoetic|[医] 智力缺失的, 无意识的
anthodium|集合花, 小头状花序
acetylenyl|乙炔基
aficionados|(aficionado 的复数) n. 狂热爱好者, 迷
alienated|疏远的；被疏远的
adolf|阿道夫(亦作Adolph) (m.)
agons|斗争, 有奖竞赛( agon的名词复数 )
arthron|[医] 关节
arsenfast|[医] 抗砷的
anacanthini|[植] 无棘类
atramentous|黑色的, 墨水般黑的
antony|安东尼（男子名）
avizandum|[律](苏格兰法)(法官在判案前的 ) 个人思考
aport|在左舷
albedos|（星体）反照率( albedo的名词复数 )
accessional|附加的, 另外的
amenorrhea|经闭, 无月经
ampliative|扩大的, 扩展的
abadia|[地名] [西班牙] 阿瓦迪亚
acromastitis|乳头炎
amylene|[化]戊烯
aether|醚, 以太, 太空
arith|数学
allying|同盟国；伙伴；同盟者；助手
apocrypha|作者（或真实性、权威性）可疑的著作；旁经
adolesce|进入青春期
atelomitic|非终末的, 无尾的
anointed|基督, 救世主
aminating|[机] 氨化的, 氨化(作用)
aphronia|[医] 辨解不能
alvar|(生态学用语)矮化植被
assurgency|assurgent的变形
aeneid|埃涅伊特(古罗马史诗)
aheap|堆积地
alodium|[律]保有绝对所有权的土地
aporosa|无莹珊瑚部, 银柴属
apologizer|辩护者
appreciatory|欣赏力的, 感激的
ambled|（马）缓行；从容漫步
antilles|安的列斯群岛
abracadabra|咒语, 胡言乱语
accoutered|装备；供以军用品, 供以服装
agelessly|ageless的变形
arginines|(arginine 的复数) [化] 精氨酸
ashler|[机] 琢石, 方石
artinskian|阿尔丁斯克阶
ammonite|菊石
alstonite|[化] 碳酸钙钡矿
acutest|(acute 的最高级) a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
anecdotally|anecdotal的变形
achiote|[植]胭脂树,胭脂树的种子
alleviating|缓解
antepast|[古语]开胃饮料(或小吃)
acker|涡流, 海啸, 水的波纹
amphicarpaea|[网络] 两型豆属；野毛扁豆属；野扁毛豆
axenic|[争]无异种生物混杂的, 无外来污染的,无菌的
antsy|热锅上的蚂蚁般的,坐立不安的
aquamarines|绿玉, 碧绿色( aquamarine的复数形式 )
absorbance|吸光率
amygdalin|[生化]苦杏苷, 杏苷
axiomatize|[计] 公理化
ainu|阿伊努人, 阿伊努语
adglutinate|[机] 烧结, 胶结物, 凝集
adsorbates|(adsorbate 的第三人称 -s形式) n. 被吸附物
autoist|开汽车的人
aquarian|宝瓶座时段(约1月21日至2月19日)生的人
abstrusity|难解, 深奥
antinomic|自相矛盾的
aquilino|(Aquilino)人名；(西、葡)阿基利诺；(意、英)阿奎利诺
avidly|贪心地；热心地
anhelous|[医] 气促的
aucubas|(aucuba 的复数) n.[植]桃叶珊瑚
apanages|(apanage 的复数) n. 封地, 属地
avowable|可明言的, 可承认的
aralkyl|芳烷基
alienates|使疏远( alienate的第三人称单数 ); 使不友好; 转让; 让渡（财产等）
appeasers|(appeaser 的复数) n. 劝解人
amar|艾玛尔（人名）
acetoxyl|[化] 乙酸基; 乙酰氧基
atwixt|[古语]在(两者)之间, 在…中间(= between)
amelia|[医] 无肢[畸形], 缺肢[畸形]
anima|生命, 灵魂
archaizes|使具古风, 用古体, 仿古( archaize的第三人称单数 )
ablegate|天主教教宗为某特殊任务而派遣外地之特使,罗马教皇特使
ainhum|[医] 阿洪病(自发性断趾病)
anitrogenous|[医] 非氮性的
agkistrodon|[医] 蝮蛇属
acrobatism|杂技
acrylics|丙烯酸树脂
aphtha|口疮
amercement|罚款, 罚金
accelerates|（使）加快, （使）增速( accelerate的第三人称单数 ); 促使…早日发生, 促进; [教育学]使（学生）跳级; 提早学完（课程等）
almanacs|历书( almanac的复数形式 ); 年历; 黄历; 年鉴
amygdale|[矿] 杏仁孔
aneuria|[医] 神经力不足
antithermic|[医] 退热的, 解热的; 退热剂, 解热剂
aminobenzine|[网络] 氨基苯
actinide|[化]锕类
ashing|灰化
approached|接近
androcratic|adj. androcracy的变形
athenians|雅典人
acidulate|使酸化, 使尖刻
alcali|(=alkali)碱, 强碱
amyosthenia|[医] 肌无力
arenaria|鹅不食属
aponeurotome|腱膜刀
analemmas|（在地球仪上表示全年太阳的赤纬和时差的）地球仪8字曲线( analemma的名词复数 )
addnl|[医][=additional]加, 添加的
ambidexter|两手同利的, 两方面皆能的, 搞两面派的
aerugo|铜绿色, 蓝绿色
annamese|安南的, 安南人的, 安南语的
amanuenses|抄写员；文书助理 (amanuensis的变形)
averages|平均水平( average的名词复数 ); （速度等的）平均率; 平均估价
apogalacteum|(=apogalactica)远银心点
amomum|豆蔻属
aggregating|[机] 聚集的, 聚集(作用)
assertor|断言者, 维护者
antheraea|[网络] 柞蚕属；天蚕蛾属；目天蚕蛾属
adjuration|恳请, 祈求
alterative|引起改变的, 变质的
aggrades|使河床升高( aggrade的第三人称单数 )
academize|使...成为刻板传统的
adumbrating|约略显示, 勾画出…的轮廓( adumbrate的现在分词 )
autoerotic|自体性行为的,手淫的, [心]自我淫荡的
attractor|引人注意的人
affirmatives|肯定词( affirmative的复数形式 ); 肯定语; 肯定表达法; <逻辑>肯定命题
ague|疟疾, 打冷颤
aforehand|事先的, 预先的
antipyic|[医] 防止化脓的
ariette|[意大利语] 【音乐】；短曲
antum|[网络] 安图姆；阿图姆
amma|[医][=American-Mexican Medical Association]美国-墨西哥医学协会
acromphalus|脐膨出; 脐心
abbots|男修道院院长( abbot的复数形式 ); 隐修院院长; 大寺院男住持; 男修道院院长的职务
ament|柔荑花序, 智力缺陷者
arteriolar|小动脉的
atheistic|无神论的, 无神论者的
allegro|急速地
alkanet|朱草(其根可制染料),由朱草根部提制之红色染料
aerotow|空中拖曳
additament|增加物
alick|亚历克（男子名）
adjudication|判决, 裁定, 宣告
ansar|二甲胂酸
assayed|化验；试验
aerobe|需氧菌
amygdalae|amygdala的复数形
atole|玉米粥
aggregates|<正>数( aggregate的名词复数 ); 总计; 骨料; 集料（可成混凝土或修路等用的）
aretes|(arete 的复数) n.险峭的山脊
aponeurotomy|腱膜切开术
adulatory|谄媚的, 过分称赞的
axoneuron|[医] 中枢神经细胞
adduction|引证, 内收
amtrak|美国铁路公司（American track）
asbestoidal|似石棉的
alonzo|阿朗佐（人名）
apicolysis|[医] 肺尖萎陷术
audiovisual|视听的, 视听教学的
atheneums|雅典庙宇；图书馆；文艺协会
anythings|任何事
articulary|[网络] 表彰
advancements|（级别的）晋升( advancement的复数形式 ); 前进; 进展; 促进
alcedinidae|翠鸟科
aeschylus|埃斯库罗斯（希腊的诗人及悲剧作家）
attunes|使协调( attune的第三人称单数 ); <音>调音
antephialtic|[医] 抗梦魇的, 抗夜惊的
assigns|分配( assign的第三人称单数 ); 指派; 指定; （作为说明或原因）提出
amadi|(Amadi)人名；(阿拉伯)阿马迪
antemetic|[化] 止吐剂
archdukedom|大公, 皇太子 (archduke的变形)
agalmatolite|寿山石(冻石), 滑石
aspectual|[语](动词)体的
amoebous|[网络] 变形虫
analogizing|以类推法表明或解释( analogize的现在分词 ); 类推
admonish|警告, 劝告, 训诫, 告诫
actuator|开动者, 激励者, 致动器
agonies|苦恼；极大的痛苦；临死的挣扎
anomic|[法] 社会的反常状态, 社会道德的颓废
adjustors|(adjustor 的复数) n. 调整者, 调停者, 调节器
anaesthesia|麻木, 麻醉
alkalizes|使成碱性, （使）碱化, （使） 成碱性( alkalize的第三人称单数 )
aimers|(aimer 的复数) n. 瞄准手
avicennia|海榄雌属
aureomycin|金霉素
anemonella|[网络] 银莲花
abactor|马贼, 牛贼
avalanched|雪崩
adoptionism|[宗]相信耶稣是上帝义子的学说, 嗣子说
arrowlike|adj. arrow的变形
adipocerous|adipocere的变形
ablest|能够…的( able的最高级 ); 得以…的; 有才干的; 有本事的
agropyron|冰草属
ailuropoda|大猫熊属, 大猫熊, 大熊猫 (=giant panda)
acaridan|[动]螨
agreer|相同看法的人
attagirl|int. 好啊, 好棒
antitumoral|adj. 【药物】抗癌的，抗肿瘤的
animadvert|批判, 责备
anaerobium|[微]厌氧菌,厌气微生物
asteroids|小行星（asteroid的复数）
astrolog|星相学
adion|(=adsorbedion)(被)吸附离子
anilide|[化] N-酰苯胺; N-某酰苯胺
alluding|暗指, 转弯抹角地说到；略为提及, 顺便提到
acinaciform|[植]弯刀状的
androgenetic|产生雄性征的
admissible|可进入的, 可容许的
archeol|archeology 考古学
apteral|无翅的, 无翼的, 无侧柱的
aldolase|[生化]醛缩酶
abit|巴西纺织工业同业公会（Brazilian Textile and Apparel Industry Association）；升技电脑公司（世界知名主板市场厂商）
admix|使混合
animato|活跃的, 有精神而快速的
amphiboles|(amphibole 的复数) n. 闪石
acetanilid|止痛(退热)剂
adobo|阿斗波(拉美、菲律宾等地的一种菜肴, 源自西班牙)
ascensional|上升的
arapaima|[鱼]巨滑舌鱼(南美食用大型淡水鱼)
adonis|阿多尼斯(希腊神话人物), 美少年, 花花公子
apprizing|尊重( apprize的现在分词 ); 敬重; 评价; 鉴定
aggressively|(贬)侵略, 侵犯, 寻衅, (褒)敢作敢为, 有进取心, (武器)攻击性, 过分, 放肆
aldus|奥尔德斯（男子名）
alphabetiser|alphabetise的变形
aeroscepsis|(=aeroscepsy)测空特异功能
apprehender|apprehend的变形
anchorites|(anchorite 的复数) n. 隐居修道者, 隐士
ankylotome|[医] 舌系带刀
alfalfa|苜蓿, 紫苜蓿
absinthiin|[化] 苦艾素
alkyds|(alkyd 的复数) n. 醇酸树脂
adrenin|(=adrenine)肾上腺素
atoner|atone的变形
anomalously|反常地
ambilevous|[医] 两手不利的
apodeictical|[主英国英语] ＝ apodictic
affirmative|肯定的, 赞成的, 积极的
assignees|(assignee 的复数) n. 受让人, 受托者, 代理人
admeasure|分配给, 给予
allelopathy|(生态学用语)植化相克
agdistis|[网络] 金羽蛾属；双性神阿格狄斯提斯；神阿格狄斯提斯
ascigerous|[植]具子囊的
argyle|(织品中的)多色菱形花纹, 多色菱形图案的袜子
achkan|爱客坎（南亚男子的开衫长款上衣）
antihuman|反人类的
allured|诱引, 吸引( allure的过去式和过去分词 )
adherents|支持者, 拥护者( adherent的复数形式 ); 党羽; 徒子徒孙
archegonia|archegonium的复数
autolyse|[机] 自(己)溶(解)
ascidians|海鞘（ascidian的复数形式）；海鞘类
astonished|吃惊的
allantoid|[动]尿囊的,尿囊样的
arboretum|树木园, 植物园
approvably|approvable的变形
arylide|芳基化物
abandoner|遗弃者, 委付者
attagal|好阿;好棒;要得
annualized|[税收] 按年计算的（利率等）, 年度化
assemblers|装配工( assembler的复数形式 ); 汇编程序; 低级编码; 汇编语言
antefix|装饰屋瓦,末端装饰
areolas|网眼状空隙( areola的名词复数 )
apostil|旁注
aditus|入口, 口
abridgements|(abridgement 的复数) n. 节本, 节略, (权利/自由的)剥夺
attorning|转让, 让与
angiotasis|血管张力
antwerp|安特卫普(比利时港口)
aviculturist|养鸟人, 卖鸟者
amortisseur|阻尼器
autogenesis|无生源说
amyotrophic|[医] 肌萎缩的
axoidean|(=axoid)枢椎的
amoretto|小爱神
affrontedly|被侮辱地；被冒犯地
aff|[计] 故障自动查寻
amimia|[医] 表情不能, 无表情, 拟态缺失
assailing|攻击( assail的现在分词 ); 困扰; 质问; 毅然应对
alkalimetry|[化]碱测定法, 碱量滴定法
anisuria|[医] 尿量不等
antianxiety|抗焦虑的,防止(或消除)精神不安的
agios|贴水；[会计] 扣头；折扣；贴水率；汇兑行情（等于agiotage）
argynnis|[网络] 豹蛱蝶属；短颚果蝠；热带豹蛱蝶
autolyze|自溶, 自体溶解
adlet|<美俗>小广告
arangoes|阿朗戈(人名)
antimonic|[化]锑的, 含锑的
appellant|上诉人
anselm|安塞姆（男子名, 等于Ansel）
allegorized|使寓言化；以比喻的方式解释
amplified|放大；详述（amplify的过去分词）
ammonoids|(ammonoid 的复数) n.菊石(已灭绝的头足动物)
anticor|[医] 轭疮(马)
armours|盔甲；装甲；护面
aha|interj. 啊哈
anorthitite|钙长岩
azoformamide|[化] 偶氮甲酰胺; 偶氮二甲酰胺
androecium|雄蕊
antegrade|[医] 前进的, 顺行的
amnestic|记忆缺失, 健忘(症)
anthropotomy|人体解剖(学)
adrenalize|刺激,使兴奋,使激动
arquerite|[化] 银汞齐
articulata|有绞纲；关节动物
accusatival|宾格的
ascolichen|[植]子囊衣,囊菌地衣
aerocurve|[空]曲翼飞机, 曲翼
averrhoa|[网络] 杨桃属；阳桃属；五敛子属
arriver|到达者
adiaphorism|[宗]不置可否论,广教主义
admirably|极好地, 美好地
apnea|呼吸暂停, 窒息
acleidian|无锁骨的
addressable|可寻址的
adust|烤干的, 阴沉的, 烧焦的
athapascan|(自阿拉斯加、加拿大至墨西哥一带的)阿萨巴斯卡语组；阿萨巴斯卡语组诸语言之一
asperuloside|[化] 车叶草苷
acrolith|石首石肢木身雕像
auspex|鸟卜者
avestan|阿维斯陀语( 古波斯琐罗亚斯德教经典《阿维斯陀》所用的一种古代波斯语)
admedian|[医] 近正中[面]的
atropin|[药]阿托品(含颠茄碱)
aliened|外国人, 外侨
axons|(axon 的复数) n. 轴突
aphasiology|失语症学
amassable|amass的变形
apophysate|具支持胞的
alc|[计] 汇编语言编码
ascenders|(ascender 的复数) [计] 上行字母, 字母高出部分
attornment|[经] 对一种法律关系的承认
apathetic|缺乏感情的, 无动于衷的, 缺乏兴趣的
aal|[计] 绝对汇编语言
analyser|[机] 分析器, 检偏振器
aubepine|(=anisaldehyde)茴香醛, 对甲氧基苯甲醛
anam|安南
amerind|美洲印第安人的
apositia|厌食症
androcracy|男性对社会的控制, 男性中心社会
aortolith|[医] 主动脉石
anatomised|(anatomise 的过去分词) v.解剖, 解析
aln|[计] 属性层号
auteurism|(=auteur throry)导演主创论(认为导演是影片主要创造力的理论)
asporulate|[医] 不产生孢子的
avengeful|avenge的变形
acridone|吖啶酮
armpits|腋窝（armpit的复数形式）
anglophile|亲英者
apothesine|阿普西辛(成药, 一种局部麻醉药)
amyloidal|淀粉质的, 含淀粉的(=amyloid)
artmobile|<美>流动艺术展览车
allopatry|异域分布
anguilla|安圭拉岛(位于西印度群岛)
abuilding|在建造中的
anchylose|(=ankylose)使(关节)强硬,使(骨)长合,(因骨粘合而)变僵硬
alcogel|[化] 醇凝胶
acciaccatura|<意>[音]短倚音
adp|[计] 相关数据处理, 自动数据绘图机, 自动数据处理, 自动诊断程序
apocalypse|启示, 天启
autophagy|[生](细胞的)自我吞噬(作用)
ampullaria|[医] 壶螺属
alnage|毛织品检验；毛织品检验费
agatha|阿加莎（女子名）
astian|[地质]阿斯蒂阶
antichrists|(antichrist 的复数) n. 反对基督者
aylesbury|爱斯勃雷鸭
ager|[化] 熟化器
acuesthesia|[医] 听觉
aaronite|亚伦的后裔；利未人
antefebrile|[医] 发热前的
aortitis|[医] 主动脉炎
assoilzie|[苏格兰英语]；赦免；宽恕, 饶恕
asperula|[网络] 车叶草属；薰香草属
addictively|成瘾地
abesse|[法] 不出庭, 缺席, 不在
admiralties|海军部；海事法庭；海军上将的职位
aerophilous|气生的
addicting|有瘾的人；入迷的人
accordantly|一致地, 相符地, 调和地
anemias|贫血；贫血症
aeronautic|航空的
aground|搁浅地, 地面上
angiocarp|果实有壳的植物; 被果; 被子实体
academical|大学制服
antitropic|[医] 相似对称的
arouses|引起( arouse的第三人称单数 ); 唤醒; 激起性欲; 使行动起来
amylum|淀粉
apopemptic|告别的, 临别的
approvals|赞许( approval的复数形式 ); 批准; 赞成; [复数][商业]包退换商品
aperitive|开胃药, 轻泻剂
amyris|[医] 阿米香树属
appreciators|(appreciator 的复数) n. 欣赏者, 鉴赏者
admitting|承认（admit的ing形式）
axile|轴的, 轴上的
achluophobia|[医] 暗处恐怖
anomura|[无脊椎] 歪尾派
agomensin|[医] 阿果民辛(卵泡素制剂)
adventured|冒险；冒险精神；投机活动
anthophagous|以花为食的, 食花的
anastigmat|消像散透镜
alkalinise|, vi. [主英国英语]= alkalinize
almightiness|全能
ame|[计] 误差平均值
anthracene|蒽
alkermes|[医] 冬青虫
avouch|断言, 主张, 保证, 承认
amove|【法律】开除；把…免职；辞退；把…强行遣送
aleutite|易辉安山岩, 闪辉长斑岩
attaint|剥夺财产和公民权, 侵袭, 玷污
azobacter|[化] 固氮菌类
apogamic|[植]无配子生殖的
adorableness|adorable的变形
adultery|通奸
abattis|鹿砦, 铁丝网
amtrac|水陆两用车
allocatable|可分配的
aiding|帮助
albin|阿尔宾（男子名）
aurore|朝霞色的
anagnost|[网络] 绝食
acceptingly|accepting的变形
anemopathy|[医] [气体]吸入疗法
apheretic|词首字母（或音节）脱落的
ahu|空气处理机（Air Handling Unit）
antibiosis|抗生
anguis|(Anguis)人名；(西)安吉斯
atwitch|抽动的
axenically|无病菌地, 无外来污染地
astrictive|使收缩的, 止血的, 收敛的
amygdaloidal|杏仁岩 (=amygdaloid)
antiphonally|轮流吟唱地
atomizers|[农机] 喷雾器；香水喷瓶
amids|Advanced Multispectral Image Descriptor System 高级多光谱图像描述器系统；Area Manpower Instructional Development System 地区人力指导开发系统
ammonization|[化] 氨化作用
abt|大约（about）
anomy|无目的性, 杂乱
angioblastic|[医] 成血管细胞的
anba|神父
anociation|[医] 创伤性休克防止法
aumbry|壁橱
approves|赞成, 同意( approve的第三人称单数 ); 批准; 认可; 核准
azolitmin|石蕊精, 石蕊素
acuminated|锐利的, 尖形的, 使尖锐( acuminate的过去分词 )
agnostical|[网络] 不可知论
acyl|[化]酰基
admonitory|警告的, 劝告的, 训诫的
acyanopsia|[医] 蓝色盲
apyrous|[化工] 耐火的；不易燃的
affectivity|情感作用
ammono|氨的, 含氨的
acutes|(acute 的复数) a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
aplacental|(低等哺乳动物)无胎盘的(如袋鼠)
arthroclasia|(强硬)关节活动术
adversus|[法] 相, 反, 反对
agorae|集会, 市场( agora的名词复数 )；市场, 大广场
ablactate|使断奶
algodonite|微晶砷铜矿
acana|阿卡纳(乔木)
allotheism|异神崇拜
alleluias|(alleluia 的复数) int. 哈利路亚
averaging|[计] 求平均值
assiduities|勤勉( assiduity的名词复数 ); 刻苦; （对另一人的）不断关照; 殷勤
ancylostomum|[医] 钩口[线虫]属
arest|be的第一、二、三人称复数和第二人称单数, 现在陈述语气[见be]
ascomycetous|[植]子囊菌类的
abhors|憎恶( abhor的第三人称单数 ); （厌恶地）回避; 拒绝; 淘汰
annexal|[医] 附件的
antinomian|〈宗〉(基)
asperses|毁坏（名誉）, 中伤, 诽谤（asperse的第三人称单数形式）
alined|排列；排成直线
antennaria|围角片
australoid|澳大利亚土著居民的
acusection|[医] 电针切开术
acridyl|(=acridinyl)吖啶基
areometric|[医] 液体比重测定法的
acidophilous|[医] 嗜酸的
atramental|[医] 墨水色的, 黑墨色的
acalculia|[医]计算力缺失
australorp|[鸟]澳洲黑(原产澳洲的一种卵用黑鸡)
abducens|[解](=abducens nerve)外展神经, 外展肌肉
adverseness|不利, 有害, 相反, 逆, 敌对, 逆向
antipathist|反感；厌恶；憎恶；不相容 (antipathy的变形)
avoids|避开, 避免, 预防( avoid的第三人称单数 ); [法律]宣布（判决、抗辩等）无效; 使无效; 废止, 撤销
adhering|附着, 粘附性的；粘附的
antislip|防滑转
amulets|护身符( amulet的复数形式 )
aquiparous|[医] 生水的
aldermanic|市议员的, 市府参事的, 市长助理的
amain|全力地, 全速地, 急速地, 突然
agranulocyte|[解]无颗粒白细胞
accustoming|使习惯于
anovesical|[医] 肛门膀胱的
amido|氨基
abject|绝望无助的, 可怜的, 糟透的, 卑鄙的, 自卑的
aposporogony|抑制孢子生殖
animations|生气( animation的复数形式 ); 兴奋; 动画片; （指电影、录像、电脑游戏的）动画制作
alane|(Alane)人名；(英)阿兰
alcapton|(=alkapton)尿黑酸
avenaceous|[机] 燕麦的
aphrolite|泡沫岩, 块熔岩
ains|抗炎性非甾醇类（anti-inflammatory nonsteroidal）
attorned|转让, 让与
acarpelous|[植](花)无心皮的
abbes|(abbe 的第三人称 -s形式) n. 男修道院院长, 神父
atticism|古雅典希腊语语法, 文雅的言辞, 对雅典的憧憬
anamniota|[医] 无羊膜动物类
atherosperma|[医] 麝香芒子树属(蒙尼米亚科)
ascared|adj. [常用作表语][美国方言]畏惧的，害怕的；吓坏的，受惊吓的
arithmetics|(arithmetic 的复数) n. 算术, 算术知识
aggregately|合计, 一共
automatous|机器人(似)的, 自动的, 机械的
anaschistic|[医] 纵裂的
armloads|(armload 的复数) n. 一抱之量
abnegate|放弃, 舍弃, 克制(欲望)
acetract|醋浸剂, 醋酸抽出物
amphora|[医] 瓶状体(植)
agonized|(感到/表示)极度痛苦的
abner|艾伯纳（男子名）
alephzero|阿列夫零
aggravations|(aggravation 的复数) n. 恶化, 加重, 恼怒
acclimated|服水土；适应新环境
apepsia|消化不良
ascribes|把…归于, 认为…是由于( ascribe的第三人称单数 ); 认为…具有
adnexal|附件的, 附属器的
anthotaxis|花序列
albi|阿尔比（法国一城市名）
antagonizes|使成为敌人( antagonize的第三人称单数 ); 引起…敌对[对抗]; 对…起反作用; 中和
arthropyosis|关节化脓
ahungered|<古>饥饿的
anaglyptics|浮雕装饰术
auricled|有耳的, 有耳状部的
alexandrina|亚历山德里娜（人名）
arche|建筑工程师（Architectural Engineer）
ahmadi|(Ahmadi)人名；(阿拉伯)艾哈迈迪
addisonian|阿狄森氏病的, 关于阿狄森 氏病的, 患阿狄森氏病的
allegrettos|(allegretto 的复数) adv. 稍快地
acceded|加入；同意；就任
anematosis|[医] 全身性贫血
agon|有奖竞赛, 戏剧中的人物冲突
areolar|晕, 小区, 细隙
agouties|刺豚鼠, 刺豚鼠皮毛上的深浅环纹( agouti的名词复数 )
argufy|争论, 说服
astrodome|天体观测窗, 天文航行舱
antistrumous|[医] 抗瘰疬的
antitoxins|抗毒素( antitoxin的复数形式 )
autogravure|照相版雕刻法
asceticism|禁欲主义, 苦行生涯
angelet|小天使
apeman|猿人
andorite|[化] 硫锑铅银矿
aberdonian|(苏格兰港市)阿伯丁人
africana|非洲文献，非洲艺术品（与非洲各民族的历史或文化有关的书籍、文件、艺术品等材料）
agonistic|竞赛的, 论争的
alchemists|炼金术士( alchemist的复数形式 )
anta|壁角柱；壁端柱
agones|以前地
amortises|(amortise 的第三人称 -s形式) v.摊还
anelasticity|滞弹性
acraturesis|[医] 排尿无力
accessarily|accessary的变形
advocated|提倡, 主张, 拥护
acetimetry|乙酸测定(法)
aidance|协助, 帮助
arundo|[网络] 芦竹属
aethalium|(pl. aethalia) 粘菌(孢子体), 块状复孢囊
arrogating|冒称；霸占；没来由地将…归属于
attesting|[法] 证明, 证实, 作证
acromegaly|肢端肥大症
alkalize|使成碱性
aborticide|堕胎, 堕胎药
anatoly|(Anatoly)人名；(乌克、俄)阿纳托利
anacrotism|[医] 升线一波脉[现象]
appropriates|适当的, 恰当的( appropriate的名词复数 ); （不适当地）擅用; 拨出（款项等）; 把…据为己有
arthrotrauma|[医] 关节外伤
abstruseness|难解, 深奥
adamance|坚硬； 坚强, 固执
antimeristem|[医] 抗分生霉素(制剂名)
anaphalis|[网络] 香青属；籁箫属；旋叶香青
accreditable|accredit的变形
anticatalase|[生化]抗过氧化氢酶, 抗催化酶
armbands|臂带( armband的复数形式 ); 臂章; <英>救生臂环; 充气臂圈
audits|审计, 查账( audit的名词复数 )
alcahest|(=alkahest)万能溶剂
actuate|开动, 驱使, 激励
agisted|(agist 的过去分词) v.[律]替人饲养牛马以收取代价
annidalin|[化] 碘化百里香酚
aseptically|无菌地
amitotic|[医] 无丝分裂的
amusedly|愉快地, 被逗乐地
agonist|主动肌, 促效药, 显效药, 主缩肌
automatism|自动, 自动作用, 无意识的行为
aeschynite|易解石
acclamatory|欢呼的, 喝彩的
acharya|(Acharya)人名；(印、巴基、尼)阿查里雅
atabrine|阿的平
appliqued|在...上缝上饰物, 贴花（applique的过去式和过去分词）
algate|始终如此
apperception|认识, 理解, 统觉
antimeson|反介子
angiotrophic|[医] 血管营养的
aphony|[医]失声, 无声
altarwise|在祭坛的位置
assibilate|使成咝擦音, 使齿音化
antilemic|[医] 抗鼠疫的, 抗疫病的
argylls|多色菱形花纹（等于argyle）
arabesques|阿拉伯式花饰( arabesque的复数形式 ); 错综图饰; 阿拉伯图案; 阿拉贝斯克芭蕾舞姿（独脚站立, 手前伸, 另一脚一手向后伸）
apozem|[医] 煎剂
anight|[古语]夜晚, 晚上
amacrine|[医] 无长突的(神经细胞), 无长突细胞
aberrantly|反常地, 异常地
aubrey|奥布里(m.)
auriscopy|耳镜使用法
autocall|自动调用
aphonia|失音
akimbo|两手叉腰的
abjunction|孢子切落
arcadian|阿卡迪亚的；田园牧歌式的, 田园的
arraignment|提讯, 传讯, 责难
accompanies|陪伴( accompany的第三人称单数 ); 陪同; 伴随…同时发生; 伴奏
azygomatous|[动]无合弧的, 无颧弓的
afficionado|<西班牙>狂热爱好者, 迷
argyrite|[化] 辉银矿
absorpt|被…吸收的
anteverted|[医] 前倾的
activable|[化]能被活化的
aedoeagus|[动]阳茎(端)
apothem|边心距
agistment|代人放牧, 代养牲畜
adjectival|形容词的
acedia|倦怠, 漠然
argyrose|(=argyrite)辉银矿
abl|[计] 结构框图语言
annelids|(annelid 的复数) n. 环节动物
athyroidism|[医] 甲状腺机能缺失
amassment|积蓄, 聚积
ahi|[医][=american health institute]美国卫生学会
amasser|amass的变形
abdominally|以腹部地
aotearoa|奥特亚罗瓦（新几内亚岛东南方的岛屿）；长白云之乡
aseismatic|耐震的, 抗震的
assertors|主张者, 维护者( assertor的名词复数 )
amateurish|业余的, 外行的, 不熟练的
annexed|[法] 附加的, 附属的
autognosis|自我认知, 自(己)诊(断)
aspirating|除尘；抽气；吸气
aristos|贵族 (aristo的变形)
aerobiosis|需氧生活
antisymmetry|反对称性
aggrandize|增加, 夸大
achenial|achene的变形
acuminate|尖的, 渐尖的
advertence|注意, 留意
adjugate|[数]伴随, 共轭
acrocyst|端囊
antiserums|[免疫] 抗血清
amoebidae|[医] 阿米巴科, 变形科
ariose|如歌的, 旋律的
alkylic|基属的, 性的
aparthrosis|(=diarthrosis)动关节
auroras|晨曦( aurora的名词复数 ); 曙光; 朝霞; 北极光
acetanilide|退热冰
accentuating|加重
antirenter|antirent的变形
amyosthenic|[医] 肌无力的
asonia|[医] 听音不能
atmo|comb.form 表示“大气”,“蒸气”：atmosphere,atmometer
apnoea|呼吸暂停, 窒息
ambiences|(ambience 的复数) n. 周围环境, 气氛
