fire|火
floribunda|[植]花束月季
flotilla|小舰队, 小型船队
flogger|[体]结算分
fragmentate|(使)裂成碎片
factious|好搞派系的, 好结党营私的
flighting|flight（飞行）的现在分词
fickle|变幻无常的, 浮燥的, 薄情的
fedora|男式浅顶软呢帽
frittata|菜肉馅煎蛋饼
fructokinase|[化] 果糖激酶
feloniously|兇恶地;重罪地
fenchyl|葑基
fribble|浪费时间的人, 无聊行为
fluidize|使流体化
forestaysail|挂在前支索上的三角帆
forebears|祖先, 祖宗( forebear的复数形式 )
finickiness|finicky的变形
firedrake|喷火龙
freedwoman|女自由民
fon|丰人, 丰语（西非洲达荷美, 多哥及象牙海岸）
flannelly|法兰绒似的
flooded|洪水浸没的；浸没的, 淹没的；灌溉；充斥
finlander|芬兰人
ferules|教鞭, 戒尺( ferule的名词复数 )
fungibility|可替代性
foaming|[计] 泡沫的
fortin|[人名] 福廷
fingerroot|[网络] 根
flavorful|充满...味道的, 可口的
fueled|加燃料（fuel的过去分词）
farinose|粉末状的, 生淀粉的, 产粉的
firesides|炉边( fireside的复数形式 )
feodal|(=feudal)封建的, 领地的
formants|特盏率；共振峰（formant的复数）
formamide|甲酰胺
flashforward|预叙
fettles|（英）修补
fasinite|橄云霞辉岩
firebrands|火把( firebrand的复数形式 ); 燃烧的木柴; 放火者; 煽动叛乱者
fastings|(fasting 的复数) a. 禁食的
franked|（在信件上）盖邮资已付印记, 盖免付邮资印记( frank的过去式和过去分词 )
frenchwoman|法国女人
forerunners|先驱( forerunner的复数形式 ); 开路人; 先兆; 前兆
frankfurter|法兰克福香肠
fcp|final common pathway 最终功用路径; foolscap 滑稽帽, 圆锥形的纸帽
feistier|(feisty 的比较级) a. 激动的, 活跃的, 好争吵的, 坐立不安的
freeport|[经] 自由港
fleadock|[植]菊科蜂斗菜属
fezzes|土耳其毡帽( fez的复数形式 )
feoffees|(feoffee 的复数) n. 受采邑者, 封地受领人
fragmenting|[计] 分割
fum|[医][=5-fluorouracil and methotrexate]5-氟脲嘧啶和氨甲喋啶
flowery|多花的, 绚丽的, 华丽的
filariidae|[医] 丝虫科
fluctuating|波动（fluctuate的ing形式）
flashguns|闪光操纵器( flashgun的复数形式 )
footfall|脚声, 踏步, 脚步
fibroblast|成纤维细胞
fisheye|鱼眼石, 怀疑的注视
flinch|畏缩, 退缩, 畏首畏尾
flowerage|(总称)花, 开花
fanlight|扇形窗
fixedly|固定, 不变, 不动
fibromyitis|[医] 纤维性肌炎
furtive|秘密的, 隐密的, 偷偷摸摸的
flics|(flic 的复数) n.<法口>警察
forenoon|午前, 上午
fusing|[计] 熔断, 熔化, 定影
fulgurating|闪光的, 刺入的
forestine|[地名] [美国] 福里斯廷
fraternizes|结交, 交友, （尤指）亲敌( fraternize的第三人称单数 )
fouter|无价值的东西
fanged|有尖牙的, 有毒牙的, 有牙根的
ferrary|(Ferrary)人名；(法)费拉里
freesias|小苍兰属植物( freesia的复数形式 )
flatness|平坦, 平滑
fiscus|[法] 国库
frotton|磨棒
finecomb|仔细搜查
forkfuls|(forkful 的复数) n.一叉的量
furze|荆豆花
forbear|忍耐, 克制, 容忍
finalizes|完成（finalize的第三人称单数形式）
fanatically|狂热地, 盲信地
flintstone|燧石, 打火石
floorless|无地板的
factualistic|求实精神的, 尊重事实的
fleckless|无斑点的, 无缺点的
fellable|适于砍倒的, 可击倒的
fugitively|fugitive的变形
fusain|炭画笔, 炭笔画
freedoms|（指权利或状态）自由自在( freedom的复数形式 ); 自由权; 没有…的情况; 不受…影响的状态
flagstone|石板
ferrymen|摆渡者, 渡船夫( ferryman的名词复数 )
flon|(Flon)人名；(法)弗隆
foundational|基础的, 基本的
firefly|萤火虫
forerake|前斜倾度
flinty|燧石的, 含燧石的, 坚硬的, 冷酷的
floc|絮状物, 棉丛
fadelessly|不褪色地;不衰弱地
formfitting|紧贴合身的
floriculture|种花, 栽培花卉
figitidae|环腹峰科
fogyism|守旧, 保守思想(或行为)
fluellite|[化] 氟铝石
fissuriform|缝状的
flunky|奉承者, 男仆, 厨师
foreclosed|取消（抵押品）赎回权( foreclose的过去式和过去分词 ); 取消（抵押人的）赎回抵押品的权利; 排除; 阻止
funereally|funereal的变形
filthiness|污秽；肮脏, 不洁
frilly|有饰边的, 多饰边的
florins|弗罗林, 一种货币( florin的复数形式 )
frequentable|频繁的；时常发生的；惯常的 (frequent的变形)
fizzed|（液体, 通常指饮料）起泡, 发嘶嘶声( fizz的过去式和过去分词 )
flabbier|肌肉松垂的, 肥胖的( flabby的比较级 )
fellating|(fellate 的现在分词) v.吮吸(…的)阴茎,(与…)口交
fount|泉, 源泉, 墨水缸, 一副铅字
floppily|下垂地;懒散地
foredate|倒填(契约)的日期
fenner|芬纳（英国公司）
frenzied|狂热的, 狂乱的, 激怒的
flittering|飞来飞去, 匆忙来往( flitter的现在分词 )
folles|(folle 的复数) n. (Folle)人名；(西)福列；(德、法)福勒
faciend|被乘数
fattrels|丝带梢, 丝带片
faquir|托钵僧,行者
floreat|<拉>vi.祝它繁荣昌盛,祝他(或她)事业兴旺
fibroserous|[医] 纤维浆液性的
fertileness|肥沃, 富饶, 多产
fress|大吃的
fasts|澳大利亚科技协会联盟
fishtails|摇摆尾翼而减缓飞行速度( fishtail的第三人称单数 )
fats|育肥待上市的家畜；（食用的）动植物油（fat的复数）
finedraw|拉细丝, 细缝
fracted|破裂的, 断裂的
fritillaria|[植]贝母
fimbriating|[生物] 有毛缘的；有须毛为缘的
flawed|有缺陷的；有裂纹的；有瑕疵的
ferroalloy|[化]铁合金
footrests|(footrest 的复数) n. 搁脚物
festering|（伤口/破口）化脓( fester的现在分词 ); 溃烂; （不快的思想或情感）更加苦恼; 愈益恶化
fiendlike|魔鬼似的
feeblest|虚弱的( feeble的最高级 ); 无效的; 缺乏决心的; 无力的
furbishing|改进, 擦亮, 更新( furbish的现在分词 )
fowling|捕鸟, 打鸟
facedown|<美>直接对抗, 摊牌
funnies|连环图画, 报上登载连环图画的版面; 滑稽的( funny的名词复数 ); 可疑的; 疯疯癫癫的; 稀奇的
friendliest|友好的（friendly的最高级）
foretooth|[解]前齿, 门牙
flaunt|炫耀, 飘扬
flaked|睡去的；精疲力竭的；失去知觉的
foody|[人名] 富迪
fusser|fuss的变形
fouler|恶劣的( foul的比较级 ); 邪恶的; 难闻的; 下流的
flophouses|(flophouse 的复数) 廉价的低级住所或旅馆, [俗]监狱
feminise|使女性化, 女性化, 使带女子气
filaments|（电灯泡的）灯丝( filament的复数形式 ); 丝极; 细丝; 丝状物
footwork|脚的动作, 脚力, 现场采访活动
fibroneuroma|[医] 纤维神经瘤
fumigants|(fumigant 的复数) n. 薰剂
flaccidity|软弱, 没气力
fatiguing|使人劳累的
foggage|<主苏格兰> =fog&{2}
fondly|溺爱地, 怜爱地, 情柔地
fielding|守备
filtre|<法>n.(滤咖啡的)滤器, (用滤器的)滤过咖啡
flenses|剥取脂肪, 剥皮( flense的第三人称单数 )
freer|给予自由的人或事物
follies|罪恶；时事讽刺剧（folly的复数形式）
forefend|防止, 避免
flashboard|闸板
filming|摄影；拍摄；薄膜形成
frauds|欺诈( fraud的复数形式 ); 骗子; 伪劣品; 冒牌货
filigrees|(filigree 的复数) n. 金银细丝工艺, 精致华丽而不很坚固的物品, 金丝的细工饰品
flattens|变平, 使（某物）变平( flatten的第三人称单数 ); 彻底打败某人, 使丢脸; 停止增长（或上升）; （把身体或身体部位）紧贴…
ferritin|[化] 铁蛋白
flandan|弗兰丹女帽
foundrous|易使人摔倒的, 泥泞的
filibusters|掠夺兵( filibuster的名词复数 ); 暴兵; <美>（用冗长的发言）阻挠议事的议员; 会议妨碍行为
folksinging|民歌演唱
flickers|电影制片业
fluorocarbon|[建] 碳氟化合物
frauleins|(fraulein 的复数) n. （德）小姐；未婚女子
flosses|丝棉( floss的名词复数 ); 乱丝; 绣花丝线; 绒毛
festal|节日的, 祭日的, 欢乐的
flots|重叠牙边
fasibitikite|负异花岗岩
febricide|退烧剂
fuggy|闷气的, 闷热的
fuzzball|马勃科菌
fisc|国库
fantasm|幻觉
forthrightly|直率地；言行坦诚地
formanilide|N-甲酰苯胺
feebler|虚弱的( feeble的比较级 ); 无效的; 缺乏决心的; 无力的
fibrillae|[医] 原纤维, 纤丝
filmsetting|照相排字; 薄膜排印
fruiterers|(fruiterer 的复数) n. 水果商, 运水果船
fashioning|[化] 精加工
florulent|[医]花的
finders|[计]维修排障手册
fathership|父亲的身分, 最老成员的身分, 父性
fallacious|使人误解的, 谬误的, 不合理的, 骗人的
fatigueless|不知疲劳的
fripper|旧衣商, 买卖旧衣者
foresaw|foresee的过去式
felstone|(=felsite)[矿]霏细岩
flagships|（舰队的）旗舰( flagship的复数形式 )
fluoridize|用氟化物处理
fidelio|费德里奥（贝多芬的序曲名）
frizette|发缨
freddy|弗雷迪（男子名）
forwearied|极疲倦的, 筋疲力尽的
flagrante|——见  in flagrante
fiddled|伪造( fiddle的过去式和过去分词 ); 篡改; 骗取; 修理或稍作改动
flatterer|阿谀者, 谄媚者
forgathering|聚会, 偶然遇见, 结交( forgather的现在分词 )
forearms|前臂( forearm的名词复数 )
finback|长须鲸
foolproof|十分简单的, 十分安全的
fisted|有拳头的, 握成拳头的
fairest|最美的（fair最高级）
foliate|生叶
falsifiers|(falsifier 的复数) n. 伪造者, 撒谎的人, 伪证的人
filipuncture|[医] 线刺法(治动脉瘤)
foiling|叶形饰
frontlash|<美>(抵消或中和政治上不利反应的)逆反应
frowned|皱眉( frown的过去式和过去分词 )
funder|投资者
filiated|使加入；收作养子
fretfulness|烦躁不安
fifed|吹横笛( fife的过去式和过去分词 )
freestyler|[体]自由泳运动员
fruticous|灌木状的
fluoresces|发荧光( fluoresce的第三人称单数 )
febrific|产热的, 发烧的
flashiest|俗丽的, 浮华的, 虚饰的( flashy的最高级 )
frae|<苏> (=from)从, 自
fraps|Farm Record Analysis Pilot Scheme 农场纪录分析试验计划
fascistize|使法西斯化,使信仰法西斯主义
farmhands|(farmhand 的复数) n. 农场工人
forebreast|前胸
forma|福马（环境科技公司名）
fae|fetal alcohol effect 胎儿酒精效应; figural after-effect 形象化后效应; fine alignment equipment 微补偿仪器; forward air express 转寄运包裹
funkiness|[美国俚语]；好；极好；绝妙；时髦
fibrinoid|纤维蛋白样的
fortitude|刚毅, 坚毅, 不屈不挠
forgers|铁匠；伪造者
fruitade|浓缩果汁
fooleries|愚蠢的行为( foolery的名词复数 )
fribbler|无聊的人；浪费时间的人；无聊行为 (fribble的变形)
frisk|乱跳, 欢闹, 活跃
feminisation|雌化
fenestellid|窗格苔藓虫
fetwa|判决
filmstrip|幻灯影片
fungaceous|真菌状的, 似真菌的
forestaller|垄断者
firebomb|火焰炸弹(燃烧弹和凝固汽油弹的总称)
footled|<非正>闲混( footle的过去式和过去分词 )
fielded|[棒球、板球等]担任外场员, 担任守队队员（field的过去式与过去分词形式）
funked|发霉的
fledgeless|羽毛未丰的
foresheet|前桅帆角索
finking|破坏罢工的人, 告发人, 密告人
faveolus|小凹, 肺泡
freckle|雀斑, 斑点
fearlessness|无畏, 勇敢
faro|法罗牌戏
fondest|溺爱的
foreshowing|预示, 预告, 预兆( foreshow的现在分词 )
freehandedly|freehanded的变形
falsettist|假嗓子歌手
freaking|（用以加强语气）该死的, 使人憎厌的, 糟透的
fluvial|河流的
faunus|[罗神]福纳斯(畜牧农林神)
fiddles|小提琴( fiddle的名词复数 ); 欺诈; （需要运用手指功夫的）细巧活动; 当第二把手
flooey|乱套的, 不正常的, 不行的
formulating|[机] 形成, 公式表示
ferocity|凶猛, 残忍, 狂暴的行为
focalizing|调节…的焦距( focalize的现在分词 ); 使集中在焦点上; 聚焦; 调焦距
fantasticate|使变得奇形怪状, 使变得荒唐
flexibleness|[机] 可挠性
faena|[西](斗牛的)连续劈刺(斗牛士在击杀牛前炫示技能的劈刺动作)
fascists|法西斯主义的支持者( fascist的复数形式 )
farmeress|农人之妻, 农场女工
faden|[人名] 法登
filipinos|菲律宾人（Filipino的复数）
fatwa|(伊斯兰教)法学家的裁决
feints|佯攻( feint的名词复数 )
foodlessness|食物；养料 (food的变形)
fibromatous|[医] 纤维瘤的
flocs|(floc 的复数) n.絮状物, 棉丛
foamier|泡沫的；起泡沫的；全是泡沫的 (foamy的变形)
ferreters|(ferreter 的复数)  [体]捕猎者
fascicled|成束的, 簇生的
foresting|森林, 林区
foliation|生叶, 发叶
felis|猫属; [人名] 费利斯
frippery|便宜而俗艳的服装, 无用的东西
fluorination|氟化作用
fascinates|使着迷, 使极感兴趣( fascinate的第三人称单数 ); 慑住…使动弹不得
fother|海上堵漏, 铅的重量单位(一个现代单位, 等于 19.5 英担)
freightliner|集装箱货运列车
foxed|变了色的, 有褐斑的, 变酸了的
frieze|饰带, 带状物, 起绒粗呢
faroff|遥远的
feinting|佯攻, 声东击西( feint的现在分词 )
fulvescent|变红肉桂褐色的, 变黄褐色的, 变微红黄色的
formeret|[建]附在墙上的拱棱[拱肋]
foreknow|预知, 预见
feudalism|封建主义, 封建制度
fleets|舰队( fleet的名词复数 ); 车队; 捕鱼船队; （同一机构或统一调度的）机群
flotage|漂浮, 浮力, 漂浮物
furiously|狂暴地；猛烈地
fondues|溶化奶油, 干酪( fondue的复数形式 )
fluorotic|[网络] 氟化
flinchingly|flinch（退缩）的副词形式
flagellated|[生物]生有鞭毛的, 生有匍匐茎的
fireboat|救火船
filtrate|过滤
fluting|吹笛子, 笛声, 刻凹槽
flounce|(衣裙上的)荷边装饰, 挣扎, 挣脱
floria|[人名] 弗洛里亚
fanning|铺开, 展开；形成气流
forkful|一叉的量
foraminule|小孔, 小胚孔
flouter|嘲笑；轻视；愚弄 (flout的变形)
feasters|(feaster 的复数)  欢宴者
frailly|脆弱地, 不坚实地
filliped|刺激；弹指
fewest|[计] 最少的
faker|骗子, (卖滑头货的)摊贩
frostbitten|受霜害的, 生冻疮的
foveolae|[医]（单foveola）小凹, 小凹的
fonder|喜欢的；多情的；渴望的（fond的比较级）
floccule|絮状物
footstone|基石
firebreaks|防火道( firebreak的复数形式 )
fimbrial|fimbria的变形
feminineness|feminine的变形
flashflood|na. 暴洪
footboards|(footboard 的复数) n. 踏脚板, 放脚台, 竖板
freeholders|(freeholder 的复数) [法] 世袭地产保有人, 自由保有不动产权者
foolishly|愚笨地, 无聊地
fopped|(fop 的过去时) n. 自高自大的人, 花花公子
frivoler|frivol的变形
flavoprotein|[化]黄素蛋白
festinately|festinate的变形
frijoles|(frijole 的复数) n.[植]菜豆
flatulence|肠胃气胀, 空虚, 自负, 浮夸
floatboard|蹼板, 轮翼, 承水板
faddists|(faddist 的复数) n. 趋于时尚者
funnier|滑稽的
fiefdom|封地, 采邑（等于fief）
fakir|托钵僧, 苦行者
fractures|（指状态）骨折( fracture的名词复数 ); 断裂; （指事实）骨折
farinha|木薯粉
friezes|（柱顶过梁和挑檐间的）雕带, （墙顶的）饰带( frieze的复数形式 )
foiled|有叶形装饰的
facette|[医] 小平面, 小面
fiducial|基准的, 根据信仰的, 信托的
fifteens|十五( fifteen的复数形式 ); 十五的; 十五岁
floridness|鲜丽；脸色好
flo|弗洛（女子名）
flaying|痛打( flay的现在分词 ); 把…打得皮开肉绽; 剥（通常指动物）的皮; 严厉批评
foreshadows|预示, 是…的先兆( foreshadow的第三人称单数 )
foretaste|预尝, 先试
flowing|流动的, 如流的, 平滑的
fertilizes|施肥( fertilize的名词复数 )
festination|[医](指某些精神病的症状)慌张步伐
foumart|臭貂
flaxman|弗拉克斯曼(①姓氏 ②John, 1755-1826, 英国雕刻家、素描画家)
fossicking|(fossick 的现在分词) vi. 淘金, 翻寻, 采掘
furioso|演奏得很有力的
fianna|芬尼安运动员；爱尔兰勇士
flavoring|调味料
fakers|(faker 的复数) n. 骗子, (卖滑头货的)摊贩
ferryage|摆渡;渡船业;渡费
finessing|手腕, 手段, 技巧( finesse的现在分词 )
faggoting|抽纱法
fibrilliform|小纤维状的
flambe|<法>在火上烧过的食物
funereal|送葬的, 适合葬礼的, 悲哀的
frogmen|蛙人, 潜水员( frogman的复数形式 )
feazing|折磨；困扰
forepole|打桩以防泥土崩落
francophile|亲法者
finnan|熏鳕鱼
forcing|强迫, 培育, 夺取, 施加压力
fulminic|爆炸的
flybelt|受采采蝇侵扰的(非洲)地区,舌蝇带
finality|终结, 定局, 终结性言行
funniment|滑稽动作, 笑谈
fingertips|指尖( fingertip的复数形式 ); 手头有某物随时可供应用
fibrose|形成纤维性组织
frisette|发缨
fifo|先进先出
fezzan|费赞[利比亚西南部一地区]
fructus|[医] 果实
fibrinogenic|纤维蛋白原的, 纤维蛋白原状的
forgathers|聚会, 偶然遇见, 结交( forgather的第三人称单数 )
fornicates|私通( fornicate的第三人称单数 )
fines|细骨料；粉末；罚款（fine的复数）
firearms|火器, 枪炮；轻武器（firearm的复数）
fuliginous|煤烟的, 烟垢的, 煤烟色的
fishberry|[医] 印防己
feats|功绩, 伟业, 技艺( feat的复数形式 )
faujasite|八面沸石
floaty|能浮起的, 吃水浅的
fleering|狞笑( fleer的现在分词 ); 讥笑; （做鬼脸表示轻蔑）嘲弄; 嘲笑
faradmeter|[电] 法拉计
filibranchia|丝鳃目
firestone|燧石, 耐火石
futilitarian|认为人的努力是徒然的
foreshows|预示, 预告, 预兆( foreshow的第三人称单数 )
fawner|乞怜者, 奉承者
flowerless|无花的
felwort|侧蕊属
faille|罗缎
fettuccine|意大利宽面条, 扁平细面条； （用意大利宽面条烹制的）白脱奶油面
fetid|恶臭的
frumpy|心地不良的, 不见世面的
furrow|犁沟, 车辙, 皱纹
foreplay|性交前的爱抚, 前奏, 前戏
facelifts|(facelift 的复数) n. 除去面部皱纹的整容手术
frats|fraternities 互助会，兄弟会
fenestella|小窗, 小窗洞
finochio|甘茴香（可食用）
forecastle|前甲板下面的水手舱, 船头船楼, 前甲板
futhark|北欧古字母
fiend|魔鬼, 邪神, 能手, 成癖者
fergusite|假白榴等色岩
fluorated|氟酸盐
factotums|杂工, 打杂的人( factotum的名词复数 )
fruitlessly|不结果实的, 徒劳的, 无益的, 无效的, 无结果的
formations|队形；形态；形成（formation的复数形式）
fugally|fugal的变形
fissural|[医] 裂的
forepaw|前掌, 前爪
favoured|受到优待的, 优惠的, 受优惠的, 有天赋的
floosy|毛茸茸的
farmable|可耕种的
flysch|[地]复理层,厚砂页岩夹层
footpads|(footpad 的复数) n. 拦路强盗
flitch|腌熏猪肋肉, (大比目鱼)肉块, 背板, 料板
flotations|（公开发行股票）开办新公司( flotation的复数形式 )
frontlessly|没有前部地, 没有正面地
flowered|花开着的, 用花装饰的
financiered|欺骗；从事欺骗性金融活动
frostweed|岩蔷薇
futurology|未来学
ferrety|雪貂似的, 爱窥探的, 搜索者般的
fitter|裁剪和试样的服装工人/裁缝, 装配工, 钳工
foreship|船的前部
flirted|调情, 打情骂俏( flirt的过去式和过去分词 )
fugard|[人名] 富加德
fulgor|灿烂, 光亮
flapped|（使）上下左右移动( flap的过去式和过去分词 ); 轻拍; 焦急, 焦虑; 振（翅）
flabbiness|软弱, 无气力
flail|连枷
facilitative|使便利的
fragments|碎片( fragment的名词复数 ); 片段; （将文件内容）分段; （文艺作品等）未完成的部分
forbye|接近, 其他
foliole|小叶
fricative|由摩擦产生的, 摩擦音的
fittedness|fitted的变形
fingertip|指尖, 指套
finials|(finial 的复数) n. 尖顶饰, 顶尖
fascicles|(fascicle 的复数) n. 小束, (神经)束, (书籍的)分册, 一簇
feigns|假装, 伪装( feign的第三人称单数 ); 捏造（借口、理由等）
filamentary|细丝的, 单纤维的, 似丝的
furthermost|最远方的, 最远的
fishbone|鱼骨
finitude|界限, 限制
filefish|豚鱼
flypast|空中分列, 低空编队飞行
featherpated|愚蠢的, 轻浮的
figbird|[鸟]裸眼鹂(嗜食无花果等果实的澳洲黄鹂)
farced|笑剧( farce的过去式和过去分词 ); 闹剧; 笑剧剧目; 作假的可笑场面
fletton|[亦作f-](英国)弗莱顿砖(原以英国Fletton地区的黏土作为原料)
fustigate|用棍棒打, 抨击
feudalists|(feudalist 的复数) n. 封建主义者
fittest|胜任的；适当的（fit的最高级）
facially|从脸部
fibbing|撒小谎( fib的现在分词 )
frenum|系带
fauvist|野兽派的,野兽派风格的
froise|大厚烙饼
formulator|配方设计师
fest|集会；节日
filmer|菲尔默（人名）
fermentology|发酵(工艺)学
fieriness|猛烈, 火性子
fecula|淀粉, 虫粪
filmstrips|(filmstrip 的复数) n. 幻灯影片
fass|Fine Alignment Sub-System 优良校校正分支系统; field-amplified sample stacking 扩大区域的样本堆集; foot and ankle severity scale 足和踝严重度量表; frequency agile signal simulator 捷变频信号模拟器
faulting|[地]断层作用；[地]断层错动；[电]故障
fluctuations|起伏现象；变动；波动（fluctuation的复数）
fascism|法西斯主义, 极端国家主义
feasted|享受；款待, 宴请
footstock|[机]尾架,尾座,顶针座
fragmented|成碎片的；片断的
fatherless|无父的
fells|砍倒, 打倒( fell的第三人称单数 ); 有叶的, 覆有叶的( foliate的过去式和过去分词 ); 来临; 成为
flummox|使狼狈, 使失措, 使混乱, 挫败
fornent|adj.  在 ... 对面(靠近)
fetlow|(兽医)蹄冠炎
fullmouthed|(牛等)牙长齐的, (狗)大声吠叫的, 声音响亮的
fusillades|一齐射击, 快速连续射击, （批评等）连续猛烈的迸发( fusillade的名词复数 )
feedstock|原料
forasmuch|鉴于..., 所以
froth|泡, 泡沫, 琐物
fabricator|制作者, 假造者, 杜撰者
fanon|披肩, 臂巾
forswears|发誓抛弃( forswear的第三人称单数 ); 坚决放弃; 发伪誓; 作伪证
flimflammery|胡说, 胡扯；欺骗；荒唐 (flimflam的变形)
flameout|燃烧中断, 毁坏, 熄火
fetching|动人的, 引人的, 迷人的
floristry|花卉栽培技术
frogmouth|蛙嘴夜鹰
ferryman|渡船工人
fulminate|使爆发, 以严词谴责
flowingness|flowing的变形
flumped|砰的摔下, 砰的倒下( flump的过去式和过去分词 )
flatbread|大饼, 扁面包
foppishness|foppish的变形
folkland|国民有地, 国有地
freebooting|强盗行为, 掠夺
fumaria|紫堇
faired|流线型的
flavourless|无味的, 乏味的, 无风趣的
fornications|(fornication 的复数) n. 通奸, 乱伦
fretwork|回纹装饰, 浮凸雕工
functor|起功能作用的东西, 函子, 功能词
fuelled|（以…）作为燃料的
fora|pl. 论坛, 讨论会, 座谈会, 广播专题讲话节目, 电视专题讲话节目, 法庭
farmhouse|农舍
fixations|<心>固着, 固恋( fixation的复数形式 )
fussy|易怒的, 爱挑剔的, 难取悦的, 易烦恼的
facete|滑稽的, 很有情趣的
floatstone|浮石
foreshortens|按照透视法缩短（描绘对象）( foreshorten的第三人称单数 )
flyleaves|衬页, 章节后的空白( flyleaf的复数形式 )
fasting|禁食的
fone|词语快捷键
fecit|(某某)画, (某某)作
forecarriage|前导轮架
feinted|佯攻, 声东击西( feint的过去式和过去分词 )
footeite|铜氯矾
foochow|福州(中国福建省的省会)
fistulatome|[医] 瘘管刀
fano|[人名] 法诺; [地名] [意大利] 法诺
frustrates|使不成功( frustrate的第三人称单数 ); 挫败; 使受挫折; 令人沮丧
fourchite|钛辉沸煌岩
forgery|伪造, 伪造罪, 伪造物
flores|[医] 花; 升华制剂
fillies|小雌马, 小母马（通常未满四岁）；活泼的小姑娘
facias|(facia 的复数) n. （英）仪表板；招牌（等于fascia）
formulaic|(根据)公式的,用俗套话堆砌成的,刻板的
footloose|自由自在的, 能做所要做的, 不受束缚的
farted|<讳>放屁( fart的过去式和过去分词 )
ferrimagnet|[电] 亚铁磁性材料
foundling|弃儿, 拾来的孩儿
fences|栅栏( fence的名词复数 ); （障碍赛马中的）障碍物; 买卖赃物者; 击剑（术）
foxer|为皮鞋或胶鞋换新鞋面的工人
fennec|[动]一种非洲产的大耳小狐
frizzles|使卷缩, 使（卷曲）, 炸得吱吱响( frizzle的第三人称单数 )
frigolabile|[医] 不耐寒的, 易受寒冷影响的
fairfieldite|磷钙锰石
fluxion|流动, 不断的变化
footsteps|步距；脚步（footstep的复数形式）
footstools|脚凳( footstool的复数形式 )
fecundity|多产, 丰饶, 肥沃, 繁殖力
furoin|糠偶姻, 联糠醛
footglove|女套袜, 内套鞋, 内长袜
frt|fruit 水果; freight 货物; fortnight 两周; free return trajectory 自由返回轨道
fluosilicate|[机] 氟硅酸盐
frenzies|狂乱( frenzy的名词复数 ); 极度的激动
fishiest|鱼的；可疑的；似鱼的；呆滞的 (fishy的变形)
fluoroscopy|荧光镜的使用, 荧光镜检查
fleshment|<废>由于开端顺利而引起的兴奋, 由于初步成功而产生的兴奋
forcemeat|五香碎肉
fluxibility|熔性[度]
flocculus|小絮状物, 一丛柔毛, 小谱斑
fleshliness|肉体性, 肉欲性, 肉欲
furthers|促进( further的第三人称单数 ); 对…给予援助; 赞助; 增进
fairings|(fairing 的复数) n. 集市上卖的礼物, 减阻装置, 整流罩, 整流片, 集市上卖的纪念品
fulmars|(fulmar 的复数) n.[动]管鼻藿
fluoridation|[医] 氟化
findable|可发现的, 可找到的
featurette|短故事片, 短艺术片
foreleech|前帆缘
fellated|(fellate 的过去分词) v.吮吸(…的)阴茎,(与…)口交
fevering|引起发热（fever的现在分词形式）
frescos|壁画( fresco的名词复数 ); 温壁画技法, 湿壁画
farthing|法寻(1/4便士), 不值钱的东西
floccus|绒毛丛, 絮状云, 絮状物
foretell|预言, 预告, 预示
foreboot|前行李箱
foreroom|起居室, 客厅
fustic|黄木(美洲产), 黄木染料
flapper|拍击者, 惊鸟器, 苍蝇拍, 拍击物, (英)未入社交界的少女
fungibles|代替的；可取代的
furlongs|弗隆, 浪（相当于0。2公里）( furlong的复数形式 )
fabianist|费边主义者
fraternity|友爱, 互助会, 大学生联谊会
finkel|[人名] 芬克尔
frigidaria|保持低温房间
filers|锉磨工人；文件编档员；文件装钉员
filtered|滤过的
fostering|哺育；养育（foster的现在分词）
fluxed|熔化（flux的过去式与过去分词形式）
felonious|凶恶的, 极恶的, 重罪的
fulminant|突然闪亮的, 轰响的, 爆炸的
frescoes|壁画( fresco的名词复数 ); 温壁画技法, 湿壁画
felsite|致密长石
flayflint|吝啬鬼, 敲诈者
footslogger|步兵, 长途步行者
fetterbush|[植]绊脚灌木(产于美国)
fauve|野兽派画家; (Fauve)人名；(法)福夫
fissura|[医] 裂, 裂隙, 裂纹
fibrinemia|[医] 纤维蛋白血症
folkmote|[法] 平民集会
findability|[网络] 可寻性；可查找性；寻获度
fyce|<美> 小狗, 无用的人, 坏脾气的人
foxhole|散兵坑
furfurol|(=furfural)糠醛
fidel|卡斯特罗（男子名）
flota|<西>n.船队,舰队
fungoid|真菌状的
fortresses|堡垒, 要塞( fortress的名词复数 )
fifteenthly|第15;1/15地
freedman|自由民, 被解放的奴隶
flamingoes|红鹳, 火烈鸟（羽毛粉红、长颈的大涉禽）( flamingo的名词复数 )
fierasfer|潜鱼
freeloaded|吃白食；不劳而获；一种离线浏览主页的工具软件
fratricide|兄弟杀害的行为, 杀害兄弟者
firmer|圆凿或凿子的；坚固的
fimbriate|有毛缘的, 有须毛为缘的
fibrinose|[医] 纤维蛋白ж
felids|(felid 的复数) n. 猫科动物, 猫
fraxinus|[医]？属
fueler|供油船
forficate|分叉的
ferrate|高铁酸盐
flowingly|流动地
foamless|无泡沫的
flecks|斑点, 小点( fleck的名词复数 ); 癍
farmhouses|农舍, 农场的主要住房( farmhouse的复数形式 )
foundress|女创立者
fascia|带, 招牌
feod|采邑, 封地
fulminating|爆炸发光的, 暴发性的, 疾病暴发性的, 呵斥的, 起爆的
fanjet|涡轮发动机
forbids|禁止( forbid的第三人称单数 ); 妨碍; 阻碍; 阻止
furlough|休假, 放假, 暂时解雇
fiddlehead|提琴头状船首
finless|无鳍的
fieldmouse|na. 野鼠
