hello|你好
hunches|预感, 直觉( hunch的名词复数 )
hysterology|子宫学
homologizer|homologize的变形
hypermorph|超等位基因, 超效等位基因
hijacker|强盗, 劫盗, 劫持犯
heartening|鼓舞人心的, 令人振奋的
hipline|臀围,(女裙的)臀围部分
hiccupping|嗝( hiccup的现在分词 ); 连续地打嗝; 暂时性的小问题; 短暂的停顿
hardhanded|手粗硬的, 手段强硬的, 强制的
hypoblast|下胚层, 内胚层
hypochylia|[医] 胃液[分泌]过少
hawkish|像鹰的, 鹰派的, 强硬派的
hymenia|子实层, 子囊层( hymenium的名词复数 )
hagfishes|(hagfish 的复数) n. 盲鳗
hemimorphite|[矿]异极矿
hermits|（尤指早期基督教的）隐居修道士, 隐士, 遁世者( hermit的复数形式 )
heritages|(heritage 的复数) n. 遗产, 祖先遗留物, 继承物
haar|[气]哈雾
handybilly|轻便消防泵
horseheads|[地名] [美国] 霍斯黑兹
hippobosca|[医] 虱蝇属
herniotomy|[医]疝切开手术
haymow|干草堆, 干草棚
hydnoraceae|[网络] 菌花科；腐臭草科；希得脑捷科
huma|修玛（姓名）；呼玛（位于黑龙江省北部）
heathenry|信仰异教,[总称]异教徒
hypsophobia|居高恐怖
hooted|（使）作汽笛声响, 作汽车喇叭声( hoot的过去式和过去分词 )
hermodactyl|[医] 花叶秋水仙[根]
hooverize|<口>vt.节约(粮食等)
hepatotomy|[医]肝切开术
heterography|违反规则之拼法
haves|富人；富国
hoofed|有蹄的, 装蹄的, 蹄形状的
hereford|赫里福德食用牛
harelips|(harelip 的复数) n. 兔唇
hortite|方解辉长混染岩
hamminess|hammy的变形
hoodedness|hooded的变形
harmonia|[希神]哈耳摩尼亚
hypostypsis|轻度收敛
hookshop|妓院
hijra|逃亡;  （印度的）中性人
handcrafts|手工, 手艺( handcraft的名词复数 )
harping|反复述说, 唠唠叨叨地反复讲
heralding|预示( herald的现在分词 ); 宣布（好或重要）
histotropic|向组织的
howitzer|榴弹炮
hypothenuse|斜边,弦
hallmarked|给（金、银）打上纯度印记( hallmark的过去式和过去分词 )
herbicidally|herbicide的变形
harbourage|停泊处, 躲藏处
hipparch|(古希腊的)骑兵指挥官
hydrochloric|氯化氢的, 盐酸的
hova|[地名] [瑞典] 霍瓦
hisses|嘶嘶声( hiss的名词复数 )
halfback|(足球)前卫
hearteningly|heartening的变形
heatronic|高频介质加热的
hysteresis|滞后, 磁滞现象
highbred|纯种的, 出身高贵, 有教养的
havocking|严重破坏（havoc的现在分词形式）
herby|长满草的, 草的, 似草的
healths|健康（状况）( health的名词复数 )；医疗；保健
hydrants|给水栓, 消防龙头( hydrant的复数形式 )
homolog|相当或相同的事物, 相同器官, 同族体
heng|恒; 珩
holophrasis|[语]单词句表达(以一个字显示整句意思)
haustoria|（寄生植物的）吸根( haustorium的名词复数 ); 吸器
haptotropism|[生]向触性
hierarchial|adj. 体系的
hatpin|帽针
heathen|异教徒, 异族人, 粗野的人
hemocoel|[医] 血腔(昆虫)
haab|哈布
hawed|（使）向左转, 支吾( haw的过去式和过去分词 )
humilis|[气](云)淡的
halacha|哈拉卡（犹太教律法中补充圣经法的部分）
hovers|鸟( hover的第三人称单数 ); 靠近（某事物）; （人）徘徊; 犹豫
hexachloride|[化]六氯化合物
hospices|（宗教团体开办的）旅客招待所( hospice的复数形式 ); （晚期病人的）安养院
haploscopic|[医] 视轴测定的
hasan|(Hasan)人名；(芬、阿拉伯、罗、土、波黑、阿尔巴)哈桑
homunculi|pl. 矮人, 侏儒
histogenic|[生]组织发生的
heinous|可憎的, 令人发指的
hiccupped|嗝( hiccup的过去式和过去分词 ); 连续地打嗝; 暂时性的小问题; 短暂的停顿
hydrotheca|螅鞘
histiocytic|[生]组织细胞的
hyphenize|用连字号(-)连接
hierarchism|圣职阶级制度, 僧侣政治
hesperian|西方的, 西方国家的
historify|记载历史
headmasters|私立学校的男校长( headmaster的复数形式 )
hoydenism|hoyden的变形
hydroida|螅形目; 螅形目
histamine|组胺
humiture|温湿度
haranguing|高谈阔论( harangue的现在分词 )
huddler|huddle的变形
heterogamety|配子异型
huffy|怒冲冲的
hemozoon|血原虫
hydrodamalis|[网络] 无齿海牛属
hemiataxia|[医] 偏身共济失调
hainan|海南(位于中国南端)
hummed|发出嗡嗡声, 哼唱( hum的过去式和过去分词 ); 忙碌, 活跃
homodermic|[医]源自同胚层的
hypermnesic|[医] 记忆增强的
hardhearted|无情的, 心肠硬的, 冷酷的
hyracothere|始马
hydropical|水肿的
hilum|核, 粒心, 脐
hastes|急忙, 匆忙( haste的第三人称单数 )
haughtonite|富铁黑云母
harvesting|收割；收获（harvest的ing形式）
heptamerous|分七部分的, 分七瓣的
hulloo|int. 喂, 哈罗
humorousness|滑稽; 幽默
hylozoism|万物有生论
homoiousia|相似而本质上或实质上不相同
haroseth|赫罗塞思(犹太教逾越节晚餐时吃的用苹果泥、坚果仁等拌制的糊状食品)
homogamy|同配生殖, 雌雄同熟
haled|海勒德（人名）
hypolydian|[音]副利第亚调的
heliacal|太阳的, 靠近太阳的
hereon|关于此, 在此, 从此
hemimelus|半肢畸胎
halotrichite|[化] 铁明矾
hyperthermy|[医] 高温, 热
heptachlor|[化] 七氯
hushes|安静, 寂静( hush的名词复数 )
holystoned|用磨石磨, （木）甲板( holystone的过去式和过去分词 )
homonym|同音异义字, 同名异物
hatchelled|麻梳, 麻栉( hatchel的过去式和过去分词 )
hatching|阴影, 影线
hemamoeba|血变形虫目
heresy|异端, 异教
heteromorpha|(昆虫)异形类
handicappers|(handicapper 的复数) n.主管 handicap 的裁判人员
horsebean|马蚕豆
highfaluting|骄傲的
heisted|强夺, 拦劫, 抢劫( heist的过去式和过去分词 )
hamulate|弯曲的, 顶端弯折的
haircuts|微裂痕；理发；粘丝（haircut的复数）
heaume|大头盔
hydantoin|[化]乙内酰脲
hobnobbed|对酌, 共饮, （亲切）交谈( hobnob的过去式和过去分词 )
homocline|[地质]均斜
hexoestrol|[化] 己烷雌酚
heralded|预示( herald的过去式和过去分词 ); 宣布（好或重要）
hafnyl|铪氧基
hadji|到麦加朝圣过的伊斯兰教徒
homoeomeric|属于或关于要素粒子的
hyperessence|(如花的)浓烈的香味
historied|有历史的, 史上所载的
heterodoxy|非正统, 异端, 异说
hedgerows|灌木树篱
homotaxic|排列相似的, 不同时代化石之排列相似的
hephaestus|[希神]赫菲斯托斯
hakea|哈克木属植物
hyperalgetic|[医] 痛觉过敏的
humphrey|汉弗莱（男子名）
halidome|圣地, 圣物
homonymity|同形同音现象
huntsmen|猎人( huntsman的名词复数 ); 管猎犬的人
hols|假期, 休假
halftrack|半履带车
hyoid|舌骨的
hexapod|昆虫, 六足节肢动物
hyphenism|归化美国的公民之精神或风范
handsaw|手锯
hazan|(=hazzan)(犹太人教堂)合唱指挥, 领唱者
hydrol|二聚水分子
hydrome|导水组织
handcuff|给...戴上手铐
hilted|（刀剑、匕首等的）柄( hilt的过去式和过去分词 ); 全力（ 支持某人等）; 彻底; 到最大程度
halomorphic|(土壤)盐成的
halteridium|[医] 变形血原虫属
hypercritic|苛刻的批评家
hoggerel|<英>小羊
hippolytus|[希神]希波吕托斯(Theseus之子)
hardscrabble|[美]贫脊的, 非常穷困的
hudsonian|哈得孙期
hubby|丈夫
hornworm|[动]天蛾幼虫
holoside|[化] 纯苷(类); 全苷(类)(配基是另一种糖者)
hambone|扮黑人说黑人方言的杂耍演员
hysterodynia|子宫痛
hellcats|热情似火
huaca|古秘鲁的一种神物
housings|住房( housing的复数形式 ); 房屋; 外壳; 外罩
higdon|[人名] 希格登
heartrending|令人心碎的, 悲惨的
hemialgia|[医]单侧痛
herblet|小草本
halted|（使）停下来( halt的过去式和过去分词 )
highnesses|(highness 的复数) n. 高, 高尚, 殿下
hadephobia|[医] 地狱恐怖
herdic|<美>赫狄克式马车(一种两旁有座位,车门在后的两轮或四轮马车)
haversian|( 英国解剖学家) 哈弗斯的, 哈弗斯发现的
heliotroper|【植物】天芥菜属(Heliotropium) 植物；【植物】
halftime|中场休息
humboldtite|[矿]硅硼钙石, 草酸铁矿
hemospermia|[医] 血性精液
hirsutulous|毛发稀疏的
hyperthermia|[化] 过热
heinousness|可憎;极恶
histrion|江湖骗子；虚伪者；次演员
hammers|锤( hammer的名词复数 ); 链球; （拍卖时用的）木槌; 音槌
happed|偶然发生( hap的过去式和过去分词 )
hognose|(刀具等)切削刃磨圆的
hallman|门侍
hypermnesia|记忆增强
henrietta|汉丽埃塔（女子名）
hopbind|[植]忽布的缠绕茎
holosiderite|全陨铁
hunkerism|hunker的变形
hymeneal|婚姻的
hashimite|哈桑王族的成员(阿拉伯家族之一)
homesickness|乡愁
hypolimnion|[地](湖的 )下层滞水带,均温层
homeopathic|[医] 顺势医疗的
holomorphy|全形
havens|港口, 安全地方( haven的复数形式 )
huntaway|[动]牧羊犬
hypochaeris|[网络] 猫耳菊属；猫儿菊属
homothety|类似, 同位
hypsiloid|Y字型的
hemibasidii|半担子菌亚纲
hypercrinia|[医] 内分泌过多, 内分泌机能亢进
histocyte|组织细胞
highwayman|路劫, 拦路强盗
hodgkin|霍奇金（英国生理学家、生物物理学家, 曾获1963年诺贝尔生理学-医学奖）；霍奇金（英国女化学家, 曾获1964年诺贝尔化学奖）
houseboat|居住船, 游艇
haemolysin|[机] 溶血素
headstand|倒立
hummel|无芒的, 无角的
hemingway|海明威(①姓氏 ②Ernest, 1899-1961, 美国小说家, 曾获1954年诺贝尔文学奖)
homesites|(homesite 的复数) n.住宅根据地, 家
hunkpapa|[网络] 洪克帕帕人；拉科塔族胡克帕哈；坐牛则出身於胡克帕哈
huffishness|[网络] 恶心
hobbler|跛行之人或动物, (=hobbling pilot)无照领港员
hypnosis|催眠状态, 催眠术
horribly|可怕地, 非常地
hercogamous|不能自花受精的
hollandaise|(= hollandaise sauce)蛋黄奶油酸辣酱, 荷兰式的
homonymous|同音异义的, 同名的, 意义模棱两可的
homologated|确认
hylotheist|, adj. hylotheism的变形
hematologist|血液学家
halomorphism|盐生形态
hektograph|(=hectograph)(印刷)胶版誊写法
haplomitosis|半有丝分裂, 单倍有丝分裂, 核粒纽丝分裂
holophyte|自养植物
haptical|触觉的
heartbroken|心碎的
hureaulite|红磷锰矿
hotcha|狂热的爵士音乐
hershey|好时公司；赫尔歇（人名）
honesties|诚实( honesty的名词复数 )；正直；老实说；其实
hoops|箍( hoop的名词复数 ); （篮球）篮圈; （旧时儿童玩的）大环子; （两端埋在地里的）小铁弓
hemafibrite|[化] 红纤维石(水羟砷锰石)
hypoglottis|[解]舌下部, 舌下囊肿
halogenated|卤化( halogenate的过去式和过去分词 )
headings|标题；上端；平巷；[计]页眉（heading的复数）
hyperphagic|食欲过盛的,贪食的
hollaing|大声叫；喂喂地叫
hemathermous|[医] 温血的
horatio|霍雷肖（男子名）
heliport|直升机机场
haubergeon|中世纪的无袖衣
hagiocracy|神权政治, 神权政治的政府
hostesses|女主人( hostess的复数形式 ); （夜总会的）女招待; （电视或广播节目的）女主持人; （餐馆的）迎宾女招待
hydrogenous|氢的, 含氢的
haematin|[生化]羟高铁, 血红素,[化]氧化苏木景
holists|(holist 的复数) 整体论者
horsey|马的；似马的（等于sorsy）
hypodermic|皮下的, 真皮的
homoeosis|同源异形
homebody|重视家庭生活的人, 喜欢在家消遣的男人
hevea|三叶胶树(大戟科树木)
homoousian|[宗]n.本体相类论者(认为圣子耶稣基督与圣父上帝分具互相类似的两个本体,既反对圣子与圣父本体同一,也反对圣子与圣父本体互异) , [宗] n.本体同一论者
headmistress|(中小学)女校长
headmost|最先的
halieutics|捕鱼(术)
hobber|在靴上钉平头钉的工人
huggers|劈理；极端派；拥抱者
hexine|(=hexyne)己炔
hyperbarism|(=hyperbaropathy)高压病
hellhound|恶魔
hirable|能租用的, 能雇用的
horsewhips|（用马鞭）鞭打（某人）( horsewhip的名词复数 )
hydnoid|猴头菌的
hollered|喊出（某事物）, 叫喊( holler的过去式和过去分词 )
homebred|家养的, 国产的, 土产的, 不懂世故的
hemase|血过氧化氢酶
hyalomere|[解](血小板)明区
hyoplastron|舌腹甲
hydatoid|水状液(眼)
hypokinemia|心输出量过少, 心排血量过少
holier|更神圣的（holy的比较级）
helianthus|向日葵, 向日葵属植物
handouts|救济品( handout的复数形式 ); 施舍物; 印刷品; 讲义
herbaged|herbage的变形
heteroploidy|[医] 异倍性
hypnone|[化]苯乙酮
herniated|脱肠, 患疝气( herniate的过去式和过去分词 )
honkie|白种人[含有轻蔑之意]
hernani|[地名] [菲律宾、西班牙] 埃尔纳尼
hemophilus|[医] 嗜血杆菌
hopoff|起非
hankerer|hanker的变形
hederin|常春藤素
hermeneutics|诠释学, 解释学
helion|氦核, α粒子, α质点
hereupon|于是, 关于这个
homogenizing|[机] 均质化
hydrometric|液体比重计的,液体比重测定的
hypural|尾下的
homochromous|单色的
herbless|无草的,缺乏草本植物的
heteroplasia|[异]发育异常
holophote|全光反射系统
hatchability|孵化能力
horseweed|[植]加拿大乍蓬,加拿大莴苣
heckler|激烈质问者
harlot|妓女
hellebore|[医] 嚏根草
handcar|手泵式四轮车
heize|升起, 举起
homolytic|homolysis的变形
hoolock|[医]白眉猿
histoplasma|[医] 组织胞浆菌属
hansel|新年礼物, 贺礼
hypostasize|假设(某些观念等)的实在性
hemipenis|半阴茎
habendum|[法] 契据的物权条款, 物权契约中的转让条款
hypophysitis|[医]下垂体炎
hyphomycosis|丝孢菌病
homesteaders|农场所有人；分得土地之定居者；自耕农
harming|（使）受到损害, 伤害( harm的现在分词 )
hurtles|猛冲, 疾飞( hurtle的名词复数 )
humbling|令人羞辱的
hyalobasalt|[地质]玄武玻璃, 玻质玄武岩
heartiness|诚实, 热心
homophylic|类似性的
hibiscuses|木槿；芙蓉花
homostyly|[植]花柱同长, 花柱等长
homestall|农家庭院, 宅地
habited|穿着衣服的, 穿着法衣的
horrendously|骇人听闻地；可怕地
hypergamy|与相同阶层的人结亲,与上层阶层或地位高贵的人联姻
hideousness|可怕
hypophonesis|[医] 音响过弱
hyphae|[医]（单hypha）菌丝
hominidae|[医] 人科
heteroclitic|不规则名词
hyacinthus|[希神]雅辛托斯(Apollo 所钟爱的美少年, 被Apollo误杀后为纪念他使其血泊中长出风信子花)
hading|倾斜, 偏垂
hydroxide|氢氧化物
hippotragus|[医]马羚
hydrolyse|<主英> = hydrolyze
hominivorous|吃人的
hirudinea|[医] 蛭纲
hierogrammat|画圣符者
halls|霍尔斯（姓氏）；荷氏（公司名）
hovel|简陋小屋, 杂物间, 家畜小屋
heptarchy|七头统治, 七国连盟, 七王国
harquebusier|火绳枪兵
hagridden|受(女巫)折磨的, 受恶梦惊扰的, 困于恶梦的
hypnos|[希神]许普诺斯(睡眠之神,与罗马神话中的Somnus为同一神)
hiccups|嗝( hiccup的名词复数 ); 连续地打嗝; 暂时性的小问题; 短暂的停顿
heals|霍尼韦尔错误分析与记录系统（Honeywell Error Analysis and Logging System）
hemibranch|半鳃
hedonics|[医] 快感学
hypallage|[修辞]换置法
hybridist|[生]杂种繁殖者,杂交工作者
halachist|哈拉卡(Halachah)的作者, 哈拉卡权威
habitant|居住者, 居民
headlamp|(汽车的)前灯, (矿工头上的)照明灯, 桅灯
hooflike|hoof的变形
holstein|荷兰的一种乳牛；黑白花牛
halfling|半成年人, 半便士的银币
headnote|前言, 眉注, (写在判决书或报告前面的)提要
haycocks|[人名] 海科克斯
harpy|哈比(希腊神话中残酷贪婪者)
honeycombed|蜂窝结构的
homovanillin|高香草醛, 3-甲氧基-4-羟基苯乙醛
hagging|女巫；丑老太婆
hermaic|赫尔密斯方形石柱的
hushed|（地方）异常安静的, 寂静的; （声音、谈话）小声的, 低声的
handbound|用手装订的
hogan|泥盖木屋
histographer|组织论
holiest|神圣的
hoer|锄地者
hgt|height 高; 高度; hogget 一岁以上的羊; 二岁的公猪
haplessly|倒霉地；不幸地
hounds|猎狗, 猎犬( hound的名词复数 )
hetaerae|hetaera的复数形
hassled|不断烦扰( hassle的过去式和过去分词 )
hypogenetic|[医]发育不良的
homochromic|同色异构体
haustral|吸器的
hematometra|[医] 子宫积血
hollowly|凹陷地, 空心地, 不诚实地
hyalin|透明素, 透明蛋白
horry|[人名] 霍里
hartal|<印>联合休业罢工
hangman|绞刑吏, 刽子手
heptagynous|[医]具七雌蕊的
hazelwood|黑泽尔伍德（地名）
hierographic|hierograph的变形
holoku|荷璐扣(夏威夷妇女在正式场合穿的一种带有拖裙的长袍)
hermaean|赫尔密斯方形石柱的
hodoscope|[物]描迹仪,宇宙射线描迹仪
horrendous|可怕的, 骇人的, 不得了的
hogties|四脚一齐捆绑, 绑得使动弹不得（hogtie的第三人称单数形式）
hypercomplex|[数]超复数的
hiatuses|pl. 裂缝, 中断, 空隙, 间隙, 裂孔, (稿件)脱字, 漏句
hyperbolism|用夸张法
helicopt|直升(飞)机, 直升机
hays|海斯（姓氏）
hadrosaurus|鸭嘴龙（一种嘴像鸭嘴的恐龙）
howes|(Howes)人名；(英)豪斯
heterakis|异刺属
hushful|寂静的
hyla|雨蛙
humidors|(humidor 的复数) n. 保湿器
housebroke|housebreak的过去式
hurtled|猛冲, 疾飞( hurtle的过去式和过去分词 )
holocephalan|全头类; 全头鱼
hydrophobe|狂犬病患者,[化]疏水物,憎水物
homarine|[化] 龙虾肌碱
hennes|[人名] 亨尼斯
heroess|hero的变形
headwinds|顶头风, 逆风( headwind的复数形式 )
haemoptysis|(=hemoptysis)[医]咳血, 咯血
haemophiliac|(=hemophiliac)[医]血友病患者
helipterum|[网络] 玫红永生菊；麦秆菊属
habenular|[医] 缰的, 系带的, 松果体缰的
hairbrush|发刷
hegemonist|鼓吹霸权者,霸权主义者
heptene|[化] 庚烯
herbicides|灭草剂( herbicide的复数形式 )
hunchback|驼背
halver|[计] 等分器
hennin|（15世纪流行的）心形尖顶女帽; 锥状饰物
hussy|粗野女子, 轻佻女子
hydronaut|<美>(海军中从事水下搜索、救生或科研工作的)深水潜航器工作人员,深水潜航器驾驶员
hydromys|水鼠属
hymeneals|结婚之歌；婚礼
hyphenless|hyphen的变形
holidayed|度假, 休假（holiday的过去式与过去分词形式）
horsetail|马尾, 马尾旗, 马尾式发型
hektometer|(=hectometer)百米(长度单位)
huckstery|小本经营，叫卖；做小商贩；小商贩的货摊
hardheads|精明而讲究实际的人；傻瓜；头上多刺和多骨头的鱼
hygieist|[医] 卫生学家
haulage|拖曳, 运费, 牵引量
hyperemesis|[医]剧吐
heritor|继承人
hortensial|园艺的
hookworms|(hookworm 的复数) n. 钩虫
hierophants|(hierophant 的复数) n. 圣师, 倡导者, 圣职者
hamiltonian|[化] 哈密顿(量)(化学); 哈密顿(算符)
harmaline|[药]二氢骆驼蓬碱 , 哈马灵
hirudine|[医]水蛭素
hobnail|鞋钉, 乡下佬
hemiparetic|[医]轻偏瘫的, 偏身轻瘫的
heman|希曼（人名）
hepatology|肝脏病学, 肝脏学
halfpace|半层休息板; 梯台
hoedown|方形舞, 方形舞舞会
harped|弹竖琴（harp的过去式与过去分词形式）
hexicology|[医]生态学
homoeopathic|顺势疗法的
hematogenic|造血的, 生血的
heterism|殊异性
heteropolar|[机] 异极的
haemogram|血像
hierodeacon|身兼执事之僧侣
hypocenter|(地震的)震源
heartworm|[医] 犬恶丝虫
hyphened|以连字号连接
hoey|(Hoey)人名；(英)霍伊；(德)赫伊
hugeness|巨大, 庞大, 广大
healthfully|有益健康地
havel|哈弗尔河（位于德国东北部）
heathbird|<英方>[鸟]黑琴鸡
homodont|[动]同型齿的
hydraulicity|水凝性; 水硬性
hamule|翅钩
hymenoptera|[动]膜翅目
hemicyclic|[医] 膀胱部分切除术
hepatocyte|肝细胞
housemate|住在同一所房子里的人
hornet|大黄蜂
hortatively|hortative的变形
hektare|(=hectare)公顷(=100公亩)
hypophoria|[医]下隐斜视
hematine|[化] 苏木精; 苏木紫
hydrophore|采水样器, 测不同海深的温度计
hagiolith|圣迹石碑
hides|躲藏处；兽皮（hide的复数）
honora|霍诺拉(女子名, 爱称Nora(h))
hexode|[计] 六极管
hadromerina|强韧亚目
hyaenarctos|鬣熊
hefter|赫夫特
haberdash|<美>做(衣服),设计(衣服)
heterogamy|[生]配子异型,异配生殖,世代交替
heftier|健壮的( hefty的比较级 ); 高大有力的; 大量的; 数额巨大的
hardboiled|煮得老的, 挺直的, 不动感情的, 强硬的, 无情的
hylozoic|hylozoism的变形
hynd|[人名] [英格兰人姓氏] 海因德 Hind的变体
hypoergic|[医] 活动力减弱的, 变应性减弱的, 反应性减弱的
hareems|(hareem 的复数) n.（伊斯兰教教徒之）闺房, 闺房里的妻妾群, 为一个雄性动物所控制的许多雌性动物
hexenbesen|[植]丛枝病,扫帚病
hypnotise|对...施行催眠, 使着迷, 使进入催眠状态
hematoxylic|[化]苏木精的
highballs|(highball 的复数) n. 掺了姜汁啤酒的威士忌, 掺了苏打水的威士忌
honorer|honor的变形
hemorrhagic|出血
heteromyidae|异鼠科
halloos|狩猎时招呼猎犬的喊声( halloo的名词复数 )
hola|[西]你好
humdingers|<俚>非同寻常的人[事物]( humdinger的复数形式 )
hillman|住在山区的人
hebdomadary|每七天的, 七日的
histogenesis|[生]组织发生
hexyne|己炔
headlock|(摔跤中的)夹头
husbandman|农夫, 百姓, 饲养专家
hubbub|吵闹声, 叫嚷声, 混乱
hypercorrect|[语]纠正过头的,矫枉过正的
handbells|(handbell 的复数) n. 手摇铃
hyperpnoea|[医]呼吸过度, 呼吸深快, 气喘
hellgrammite|翅虫的幼虫
hypoconid|[医] 下次尖(下磨牙的远中颊尖)
hamsters|<动>仓鼠( hamster的复数形式 )
hookedness|hooked的变形
headwear|头饰, 吊索
hemianoptic|[医] 偏盲的
honorific|尊敬的, 表示敬意的, 敬称的
honker|发出雁号声的人或物
huckstress|huckster的变形
hysteretic|滞后的
hyothyroid|[医] 舌骨甲状软骨的
horologist|钟表制造者, 钟表商
hurtlessness|无害
harassing|侵扰, 骚扰( harass的现在分词 ); 不断攻击（敌人）
handsomer|(体形、体态)漂亮的, 好看的, 眉清目秀的；(男子)英俊的, 美丽的；(女子)端庄健美的
husbandlike|善于管理农活的
hematuresis|血尿
hasped|把铁扣扣上( hasp的过去式和过去分词 )
hatchelling|麻梳, 麻栉( hatchel的现在分词 )
haematuria|[医]血尿症, 血尿
harderian|[医]哈德（氏）的：指副泪腺的, 副泪腺窝的
hammocks|吊床( hammock的复数形式 )
hoody|年轻小混混
hemautograph|[医] 动脉喷血描记图
hydropathy|水疗法
heterecious|[医] 异栖, 异种[宿主]寄生
headrest|头靠, 弹性头垫
handoff|[美橄]手递手传球
homochrome|单色的, 只有单色的
hematonic|补血药
hopcalite|一氧化碳消灭剂
horned|有角的, 角状的
harlock|[人名] 哈洛克
hud|住房和城市发展部（Housing and Urban Development）
humoring|迎合, 牵就, 顺应( humor的现在分词 )
hant|鬼；常到之处
hydrazine|肼
hammerless|无锤的
hibernicize|使爱尔兰化
hankered|渴望( hanker的过去式和过去分词 ); 渴望得到, 渴求
hydrogel|[化] 水凝胶
headchair|有头靠的椅子
homeotypic|同型的
heptangular|七角的
hexobiose|[生化]己二糖
hipbone|臀骨, 无名骨, 髋骨
hydroski|水橇
hematoxylin|[化] 苏木精; 苏木紫
hyponasty|偏下性的
hypophyllous|[植]生长在叶下面的,生长在叶背面的
hungerly|面有饥色的
hemogastric|[医] 胃血的
hyperidrosis|(=hyperhidrosis)多汗(症)
heirship|继承权
helistop|直升飞机场
hefts|举…以掂重量( heft的第三人称单数 ); 举起
histology|组织学
hairstyling|(hairstyle 的现在分词) n. 发型
hyphenations|(hyphenation 的复数) [计] 断字
halting|跛的, 蹒跚的, 犹豫的
hexabiose|[生化]己二糖
hooka|水烟筒
hypotensive|低血压的, 降低血压的, 血压过低的
heterization|异化
hormogonium|[植]连锁体
hoeing|锄( hoe的现在分词 ); 扒装; 锄地
happenchance|偶然事件
hooey|胡言乱语, 傻事
heteromys|异鼠属
hepaticology|苔类学
hants|谐波分析法（harmonic analysis method）
hafiz|能背诵全部可兰经的伊斯兰教徒
hypersonic|极超音速的, 以高超声速行进的
hummeler|去芒器, 除芒器
hockshop|<美俚>当铺
hyperextend|【生理学】使(骨关节)过渡伸展
haemorrhage|出血(尤指大出血), 溢血
heeled|有后跟的, 带着钱的, 带手枪的
hutchie|<澳>临时帐篷(把铺地防潮布盖在竖起的木棒上搭成的帐篷,用以临时挡风雨或阳光等)
havened|港口, 安全地方( haven的过去式和过去分词 )
hanaper|文件筐
heteroneura|异脉亚目
hierurgy|礼拜, 礼拜式
hatikvah|<希伯来>n.希望之歌(今以色列国歌)
hypomnesia|[医]记忆力减低
holaspidean|跗后缘有单列盾形鳞的
histogenetic|[生]组织发生的
hain|围起用作牧场
habsburg|(=Hapsburg)哈普斯堡皇室
hooly|谨慎的, 温和的
hundredths|第100个( hundredth的名词复数 ); 百分之一
hydrae|水螅( hydra的名词复数 ); 难于根除的祸患; 九头蛇; 难以根除的祸害, 水螅
hoodmold|披水（饰）
homological|相应的, 类似的, 一致的, [生物]同源的
hunching|隆起（hunch的现在分词形式）
hexachord|六音音阶
havana|哈瓦那, 哈瓦那雪茄烟
hapteron|[植]附著器
heliozoa|[医] 太阳虫亚纲
hanks|把数（hank的复数形式）；纵帆前缘帆环
hyperotretan|穿腭动物
huly|& adv.<苏格兰> = hooly
heartstring|心弦, 内心深外的感情
homozygotes|(homozygote 的复数) n. 同型接合体, 纯合体
hyperostotic|[医]骨肥大的, 骨肥厚的
hustling|& vi. 催促（hustle的现在分词形式）
heaves|<美>马慢性肺气肿
hypostome|口下板
hackberry|朴树, 朴树果, 朴树材
hooding|兜帽( hood的现在分词 ); 头巾; （汽车、童车等的）折合式车篷; 汽车发动机罩
hegiras|（公元前 622 年）穆罕默德从麦加流亡到麦地那( Hegira的名词复数 )
hydroxyls|(hydroxyl 的复数) n. 氢氧根
handsets|电话听筒( handset的复数形式 ); 手机; 手持机; （电视等的）遥控器
haliplidae|沼梭科
helve|柄
hutia|硬毛鼠
histone|[化] 组蛋白
heaters|加热器, 炉子( heater的复数形式 )
hierograph|神符, 圣符
horah|传统式圆舞, 霍拉舞
hisser|[网络] 他的
herakles|大力英雄, 力士, 武仙座
huxter|[地名] [英国] 哈克斯特
hent|抓；捕获
herve|[人名] [英格兰人、苏格兰人姓氏] 赫夫 Harvey的变体; [地名] [比利时] 埃沃
hgwy|highway [亦作 hgy]
hepatomegaly|肝肿大
herewith|同此, 用此方法
heliolater|heliolatry的变形
hemitropy|半体双晶
hili|hilus 的复数
hoodlike|hood的变形
heightened|（使）变高, （使）增大( heighten的过去式和过去分词 ); （使）提高; （使）加强[重]
herringer|[人名] 赫林杰
hotpot|罐焖土豆牛肉, 罐焖土豆羊肉
hoariness|灰白, 老年
holographs|(holograph 的复数) n. 亲笔文件
hypnogenesis|催眠
heckling|责问演说者, 对…起哄( heckle的现在分词 )
heifer|小母牛
hogsheads|(hogshead 的复数) n. 大桶
hypodynamic|体力不够的, 衰弱的
helmsmanship|操舵技术
herding|集中畜群；畜牧
hens|母鸡( hen的名词复数 ); 雌禽
hecht|[姓氏]赫奇特; [人名] 赫克特
haematolysis|[医]红血球融解, 血球溶解
homelike|在自己家似的, 舒适的, 自在的
hypoglycemic|[医] 低血糖的
halogeton|[植]盐生草(有毒)
hylocereus|[网络] 量天尺属；三角柱属；仙人掌科三角柱属
homophony|同音, 齐唱, 齐奏
hagseed|女巫的子女们
hawkers|沿街叫卖者( hawker的复数形式 )
hapchance|偶然事件(或情况)
haptene|[医] 半抗原, 不全抗原
heathenize|使做异教徒
hefty|重的, 肌肉发达的
homomorphous|同形的, 同态的
homers|(homer 的复数) n. 本垒打, 传信鸽
heteroecism|[生]转主寄生现象
hove|heave的过去式和过去分词
