read|读
relentlessly|不仁慈, 严酷, 无情, 坚韧, 不懈, 不屈不挠
reticulated|网状的, 小方格子状的
resettlement|[法] 重新定居, 重予安置
readaptation|重适应
roundish|略圆的
rushers|(rusher 的复数)  [体]猛攻运动员
rotisserie|烤肉店, 烤肉铺, 轮转烤肉器
rabin|拉宾（希伯来姓氏）
rhamnite|[化] 鼠李糖醇
ricker|脚手架立柱
refinish|整修表面
rosalind|罗莎琳德（女子名）
radiophonic|radiophone的变形
rebeck|(中世纪时弹奏的)三弦琴
remissive|宽恕的, 减轻的
resecting|切除, 割除( resect的现在分词 )
resistible|可抵抗的, 抵抗得住的
rok|大韩民国, 南朝鲜（Republic of Korea）
reread|重读, 再读
rhubarb|大黄, 大黄根
redden|变红, 脸红
rubberize|涂橡胶, 用橡胶处理
reforest|重新造林
restating|重述或以另一种方式重申（某事物）( restate的现在分词 )
rodders|(rodder 的复数) n.开快车的人
rotatable|可旋转的, 可转动的, 可循环的, 可轮流的
rect|矩形（rectangular）；收据（receipt）
revote|再拨款；重新投票
reembark|（使）重新上船[机、车], 重新搭载
retrogradely|后退地, 向后地, 颠倒地
rhizosphere|[植]根围( 指围绕植物根系在土壤中的一个区域)
relearn|再学习
radiotron|真空管, 三极电子管
reticulately|reticulate的变形
redivide|再划分
ratiocinated|（尤指用三段论法）推理( ratiocinate的过去式和过去分词 )
rejuvenating|使变得年轻, 使恢复活力( rejuvenate的现在分词 )
realizations|(realization 的复数) n. 实现, 领悟, 实得
radioisotope|放射性同位素
reglaze|再上釉, 重装玻璃
replaying|重播, 重放( replay的现在分词 )
reeding|小凸嵌线(装饰), (硬币周缘的)刻槽
rheidae|[网络] 美洲鸵科；美洲鸵鸟科；鶆奥鸟科
recuperated|恢复（健康、体力等）, 复原( recuperate的过去式和过去分词 )
ricercare|寻觅曲(16-17世纪一种练习曲的意大利文标题)
relievo|浮雕
rudesby|, <古>粗人
rubefacient|使发红的
ratten|毁坏
reproached|责备( reproach的过去式和过去分词 ); 内疚
rigol|普源精电（电子仪器公司）
refresher|使清新的事物, 使恢复记忆的事物, 饮料, 酒, 复习, 最新动态介绍, 补习材料
rheumatism|风湿病
retrofit|式样翻新
renin|肾素, 高血压蛋白原酶, 高血压蛋白的酶原
raunchy|不整洁的, 不修边幅的, 肮脏的, 淫秽的
rheophile|[生态]急流生物(生活在流水中的动物或植物)
richen|使富
ringtail|[动] 浣熊
redolently|redolent的变形
raided|对…进行突然袭击（raid的过去式与过去分词形式）
raffing|= riffraff；[英国方言]废料；垃圾
reductively|有缩减趋势地; 减少地; 还原地
respirator|口罩, 防毒面具, 人工呼吸装置
romero|罗梅罗（人名）
rehanging|(rehang 的现在分词) vt. 重新悬挂, 改挂
riksmal|<挪威语>n.=Bokmal
reimposed|再强加, 重新征收( reimpose的过去式和过去分词 )
rotatively|rotative的变形
radicals|激进分子( radical的复数形式 ); 根基; 基本原理; [数学]根数
ratsbane|灭鼠药
razzed|冷笑, 嘲弄( razz的过去式和过去分词 )
reshuffling|对（某集体）作岗位或职责的调整, 改组（某集团）( reshuffle的现在分词 ); 重新洗（牌）
realms|领域（realm的复数）
robotistic|像机械人的, 机械式的
resized|(resize 的过去分词) [计] 调整大小
rebaptism|再洗礼, 新命名
retan|[化] 复鞣
rhymester|作打油诗的人, 蹩脚的诗人
regale|款待, 使快乐
ragabash|<英方> = riffraff
roundtable|圆桌的, 圆台
ramtil|[植] 盏金花
recommences|（使）重新开始( recommence的第三人称单数 )
remount|再骑上, 回溯
reinsured|分保投保人
ridotto|化装舞会, 舞蹈会
revivalist|信仰复兴运动者, 领导宗教复兴运动者
reintroduces|再引入, 再提出( reintroduce的第三人称单数 )
raphael|拉斐尔（姓氏）；拉斐尔（意大利画家、建筑学家）
rachischisis|脊柱裂, 先天性椎弓不连
ribbonman|[英史]绿带会(Ribbon Society) 成员
rhinenchysis|[医] 嗅觉
rewarming|复温
raggedy|有些破的, 有些参差不齐的, 有些刺耳的
rattrap|捕鼠机, 绝境
raffling|以抽彩方式售（物）( raffle的现在分词 )
riziform|[医] 米粒形的
rhizina|假根
registrable|可登记的, 可挂号的, 可表示的
rejiggering|<美俚>重新安排，重新装备，更改( rejigger的现在分词 )
remissibly|remissible的变形
regained|复得( regain的过去式和过去分词 ); 赢回; 重回; 复至某地
rother|(Rother)人名；(德、西、瑞典)罗特尔；(英)罗瑟
ratifies|批准, 签认（合约等）( ratify的第三人称单数 )
ratbite|fever[医]鼠咬热(亦作ratbite disease)
resumptive|取回的, 恢复的, 再开始的
raddle|代赭石, 编篱笆用的细枝条
remedial|治疗的, 补救的, 矫正的
regelation|再胶凝
retinued|在随员[待从]簇拥下的
rainfalls|(rainfall 的复数) n. 降雨, 降雨量
repellance|<主英>=repellence
rimed|结霜的
reprises|重新开始( reprise的名词复数 )
risser|[人名] 里泽
retuse|浅凹形的
recopies|再抄写, 再复制（recopy的第三人称单数形式）
rhexia|[网络] 鹿草
ringneck|环颈动物
roily|搅乱的, 搅浑的, 被激怒的
reeks|恶臭( reek的名词复数 )
reliableness|可靠,信赖
receipts|进款, 收入
raspings|锉屑
reincarnate|使转世化身, 使重新体现
roughscuff|下层人民, 大众
rubbishes|垃圾( rubbish的名词复数 ); 无意义的东西; 废话; 劣质的东西
rompish|乱跳的, 顽皮的
reigned|当政, 统治（reign的过去式形式）
recoction|再次烹煮
revolves|（使）旋转( revolve的第三人称单数 ); 细想
rackwork|齿条, 齿条加工, 齿条机构
refilling|[化] 再充填
refinishes|整修表面（refinish的第三人称单数形式）
revisitation|revisit的变形
rubescence|[医] 变红, 发红
reiterative|反复的
ringdove|斑尾林鸽, 斑鸠
ricercar|寻觅曲(16-17世纪一种练习曲的意大利文标题)
relearned|再学习( relearn的过去式和过去分词 )
readopt|重新采取,再采纳
refitment|修理, 改装
ronggeng|<马来语>n.龙根舞(马来西亚的一种有伴唱的传统舞蹈)
revetement|[网络] 覆叠空间
roundheel|<美俚>容易被说服的人, <俚> 易上钩的女人, 性行为随便的女人
rosalyn|[人名] 罗莎琳
reoccur|重新发生, 重新出现
redressing|改正( redress的现在分词 ); 重加权衡; 恢复平衡
remould|重新塑造, 改造, 改铸
rainstorms|暴风雨, 大暴雨( rainstorm的复数形式 )
reefy|多暗礁的, 多暗滩的
riskily|冒险地, 危险万分地
rhinoscopic|[医] 鼻镜检查的
reoccupy|再占领, 收复, 使再从事
resected|切除, 割除( resect的过去式和过去分词 )
relapsed|再度恶化, 故态复萌( relapse的过去式和过去分词 )
redunca|小苇羚属
retroaction|反动, 反作用, 溯及既往
refastening|再次固定，再次稳固( refasten的现在分词 )
regurgitates|使反胃( regurgitate的第三人称单数 ); 使反哺; 使反刍; 依样复述
rightmost|[计] 最右边的
remortgages|(remortgage 的复数) v.再抵押
reit|Real Estate Investment Trust 不动产投资信托公司, 房地产投资信托公司
reconfirm|再证实, 再确认
rootlets|(rootlet 的复数) n. 小根
rhizoidal|[医]根样的
rhinal|鼻的, 鼻腔的
radiodontist|[医] 牙放射学家
resonators|(resonator 的复数) n. 共鸣器, 共鸣体, 共振器
runelike|像北欧古文字的
repelling|击退( repel的现在分词 ); 使厌恶; 排斥; 推开
reduzate|[地质]还原沉积物
rarest|最稀罕的；最珍贵的（rare的最高级）
reshuffled|对（某集体）作岗位或职责的调整, 改组（某集团）( reshuffle的过去式和过去分词 ); 重新洗（牌）
ragi|鸭脚粟
recharged|充电( recharge的过去式和过去分词 ); 给（枪）再装弹药; 养精蓄锐; 休整
radiolytic|辐射分解的
reshipment|重装, 转载, 重装货物
rotterdam|[经] 鹿特丹
ratine|平纹结子花呢, 珠皮大衣呢
rejoicing|欣喜, 高兴, 欢欣之事
rhizoplane|[植]根面(指土粒岩屑等紧附的植物根部外表面)
reallocation|[计] 再分配
rigamarole|冗长的废话, 胡言乱语
raceme|总状花序
ravines|既深又狭、坡度很大的山谷( ravine的复数形式 )
ranales|毛茛目
rozzers|(rozzer 的复数) n.警察
relitigation|[网络] 另行起诉
roble|白栎树
religiose|笃信宗教的, 过分虔诚的
reassignment|[计] 重赋值, 再赋值
routeman|按指定路线售货的推销员, 按指定路线发货的推销员
rookery|海豹群, 群栖处, 企鹅群, 贫民窟, 同类人的集中处, 同类物的集中处
rhymes|尾韵；押韵（rhyme的复数）
repugner|ind.或v.i. (＋à) (使)厌恶, (使)反感；和…不一致
ravages|劫掠后的残迹, 破坏的结果, 毁坏后的残迹
retelling|（以不同的方式或语言）复述, 重述( retell的现在分词 )
ramark|[电] 里标
redline|对某社团进行经济歧视, 按安全飞行速度驾驶飞机
rax|Remote Access Computing System 遥控存取计算系统
resigned|服从的, 听任的, 已辞职的
romanticise|使浪漫化, 夸张, 使幻想化
recoupling|机械闭合与开断
retroposed|[医] 后移的
replicated|复制( replicate的过去式和过去分词 ); 重复; 再造; 再生
reflower|再开花, 使再开花
resting|静止的；休眠的
reveres|崇敬, 尊崇, 敬畏( revere的第三人称单数 )
rootstock|根茎, 根源, 起源
redundantly|多余地, 冗余地
reink|重新涂墨水于
resurges|复活（resurge的第三人称单数形式）
rusts|[植物学]锈菌类（rust的复数）
riprapping|抛石
remunerates|酬劳( remunerate的第三人称单数 )
racemose|总状花序的, 总状排列的, 葡萄状的
refashion|再做, 重制
revelational|展现的, 揭露的, 启示的, 天启的
ridgeboard|栋梁
roques|[人名] 罗克斯
refragable|可证明为妄想的
ranted|夸夸其谈( rant的过去式和过去分词 ); 大叫大嚷地以…说教; 气愤地)大叫大嚷; 不停地大声抱怨
rabbinates|(rabbinate 的复数) n.犹太法学博士的身份[职位], 犹太法学博士们
retrad|向后地
ruman|罗马尼亚人, 罗马尼亚文
rillette|浓味罐装猪肉
rwy|railway 铁路, 铁路系统; runway （飞机场的）跑道
religieux|修道士, 和尚
radiocast|用无线电广播
roystonea|[网络] 王棕属；大王椰子属；大王椰属
reinspected|重新视察，再考察( reinspect的过去式和过去分词 )
reenergize|重供能; 重新激励
regimentally|regimental的变形
redrive|赶回, 再赶
retentively|有记性地; 记性强地; 保持地; 记性好地
rainily|下着雨, 多雨地
riesling|雷司令（一种干白葡萄酒）（商标名称）
reexpansion|再膨胀, 重复膨胀
restes|（resris的复数）[解]索状体, 绳状体
redoubtable|可怕的, 厉害的, 可敬的
reaving|剥夺, 抢走( reave的现在分词 )
recipiency|容纳
renn|[人名] 雷恩
radiode|盛镭器
resolver|[计] 裁决器; 分解器
reattempt|再尝试, 重新尝试
richweed|[网络] 富饶
reseating|使（自己或别人）再次就座( reseat的现在分词 ); 为…设新座位; （通过重新调整或修理）使（水龙头、钉子等）复位
rhyolites|(rhyolite 的复数) n. 流纹岩
reentrant|再进去的, 凹角的
regin|雷金（男子名、女子名、姓氏）
ruddy|红的, 红润的
ruminantia|[医] 反刍亚目, 反刍类
ricket|<俚>(黑社会用语)失风,大错
renovator|革新者, 刷新者, 修理者
reticulates|网状的
retying|retie的现在分词
rasped|易怒的；刺耳的（等于raspy）
revenants|(revenant 的复数) n. 亡魂, 鬼
rosedrop|玫瑰糖锭, 酒糟鼻
relaxant|弛缓的
redrawing|[化] 重拉伸
rimless|无边的
ruining|破坏( ruin的现在分词 ); 毁掉; 使破产; 使沦落
rosinol|松香油
ranella|蛙螺属
rottweiler|（德国种）罗特韦尔犬
ripplet|小涟漪, 小波纹
rooters|啦啦队
repulsive|排斥的, 可恶的, 击退的
repost|vt .<主英>重新投寄
rateen|=ratiné[变体]
riancy|快乐, 兴高采烈
rasophore|穿黑色宽袖长袍的教士
reglowing|再炽热; 再辉
romanticized|使浪漫化( romanticize的过去式和过去分词 ); 使传奇化; 夸张; 以浪漫手法处理
rubbery|橡胶似的, 有弹力的
refrains|抑制, 克制, 戒除( refrain的第三人称单数 )
rampancy|猖獗, 蔓生
recurved|内弯的, 后弯的
ranidae|[医] 蛙科
ruralized|使农村化, 在农村居住( ruralize的过去式和过去分词 )
rowans|(rowan 的复数) n. 花楸树
rollo|(=Rolf)罗洛(男子名)
rickardite|碲铜矿
reweave|重织
recoloring|重新着色( recolor的现在分词 )
rumpless|（家禽）无尾的, 无尾椎的
redoing|再做, 改装( redo的现在分词 )
rains|雨季
relisted|(relist 的过去分词) vt. 重新刊登
reproachful|申斥的, 非难的, 应责备的
refunding|借新债还旧债, 再融资, 债务延展, 发行新债券取代旧债券
reducibly|可简化的（reducible的变体）; 可还原的（reducible的变体）; 可缩小的（reducible的变体）
rustler|活跃分子, 偷家畜贼
rasbora|[动] 波鱼属
recurvation|反屈, 反弯, 反向弯曲; 下弯
rainwash|雨水的冲刷, 被雨冲走的东西
romanizing|古罗马化, 用罗马字书写( Romanize的现在分词 )
reneging|违约, 食言( renege的现在分词 )
reargument|再争论, 重新辩论
renardine|肾形(千里光)碱
rainmakers|[电影]造雨者
redshanks|(redshank 的复数) n. 红脚鹬
reversals|反向( reversal的复数形式 ); 反转; 倒转; 运气不好
rejecting|拒绝( reject的现在分词 ); （因质量差）不用; 排斥; 拒收
regranting|[法] 以便再出售获利, 零售, 转售
restudied|(restudy 的过去分词) n. 再行检讨, 重新研究
repressor|抑制者, 镇压者
rutilant|发红色火光的,闪光的,发亮的
romeo|一种男式室内便鞋
recluses|隐居者, 遁世者, 隐士( recluse的复数形式 )
rumblingly|rumbling的变形
reinserted|(reinsert 的过去分词) vt. 再插入, 重新插入
ramifying|使分枝, 使分叉( ramify的现在分词 ); 成枝杈状
reassembles|重新组装( reassemble的第三人称单数 )
reinspect|重新视察, 再考察
reveilles|起床号( reveille的名词复数 )
representor|[律] 陈述者
regarder|林务区长
reposeful|平稳的, 恬适的
reproachless|无可非难的, 无可非议的
redias|[无脊椎] 雷蚴；[无脊椎] 雷迪幼虫
resignedness|resigned的变形
rhapsodize|狂热地说, 写狂想文, 作狂想曲
racemism|[化] 外消旋性
rememberer|记得者, 记住者, 记起者
rissole|炸肉丸子, 炸鱼卷, 炸鱼丸子, 炸肉卷
retracted|可伸缩的
robustiously|robustious的变形
refreezing|(refreeze 的现在分词) v.再冰冻, 再结冰
reexplain|再讲解,再解释,重新说明
romanite|杂色琥珀
retrained|重新教育, 再教育( retrain的过去式和过去分词 )
ragman|收买破烂的人
redware|[化] 紫砂
reminisced|追忆, 回想( reminisce的过去式和过去分词 )
rancescent|酸败的
rookeries|白嘴鸦的群居地( rookery的名词复数 ); 海豹等的穴; 破旧而拥挤的住房群; 贫民窟
rebelliously|造反地, 难以控制地
rought|[人名] 劳特
rhomboids|(rhomboid 的复数) n. 长菱形
revers|翻领
reffo|<澳俚>（尤指第二次世界大战前逃离德国纳粹统治的）欧洲难民, 欧洲避难者
runcinate|倒齿状的
reformat|重定格式
ramiparous|[医]生枝的
reorienting|使适应, 再教育( reorient的现在分词 )
rollicking|欢乐的；喧闹的
rapped|突然说出( rap的过去式和过去分词 ); （公开地）严厉批评; 突然大声说出; 连续敲叩
rinsable|可洗涤的
recitalist|独唱者；独奏者；单独演出者
restituted|复原, 归还( restitute的过去式和过去分词 )
racemic|外消旋的
rearmost|最后的
redispose|重新布署, 再处置
renneting|凝乳
riata|(=lariat)绳索, 套索(牧童用)
renaturation|复活, 复原
ringbark|(为使之枯萎或使之多结果实而)环割(树) 的一圈树皮
rhombi|（rhombus的复数）斜方形, 菱面体
rescreening|(rescreen 的现在分词)  再筛分
rupiah|卢比(印尼货币单位)
rainier|赤阳苹果；雷尼尔山
rubellite|[矿] 红电气石
runnel|小河, 细流
remeasuring|(remeasure 的现在分词) vt. 重新测量
rumoring|<美>传闻( rumor的现在分词 ); [古]名誉; 咕哝; [古]喧嚷
rhinelander|[人名] 莱因兰德; [地名] [美国] 莱茵兰德
ringleader|魁首, 头目
reinvade|再侵犯,轮番侵犯
redwoods|（美国加州产的高大的）红杉( redwood的复数形式 )
regresses|退化, 退步, 倒退( regress的第三人称单数 )
religieuse|修女, 尼姑
revs|revolutions （复数）旋转, 回转, 转数
reflectible|可反射的, 可映出的
rhaetic|& n.[地]雷蒂亚阶(的),瑞提阶(的)
reopening|重新开始( reopen的现在分词 ); 再开; 揭旧疮疤; 重提伤心事
romanium|罗曼铝合金
reunifying|使重新统一；再统一, 再联合
regrew|再生, 继续生长( regrow的过去式 )
radiosonde|无线电高空测候器, 无线电探空仪
repopulated|(repopulate 的过去分词) vt. 使人重新住入
ripener|催熟剂
roustabout|码头工人, 甲板水手
renownless|renown的变形
recrossed|(recross 的过去时) v.再越过, 再穿过
rambunctious|粗暴的, 难控制的, 喧闹的
repudiative|批驳性的; 遗弃性的
restorator|[医]恢复器（下肢屈伸运动练习器）[商]
ruffles|褶裥花边( ruffle的名词复数 )
rhythmless|无旋律的, 不合拍子的, 无韵律的
ratepaying|纳税
rawhider|生牛皮；[美国英语]生牛皮做的鞭子
ruralness|rural的变形
rototill|用旋耕机耕(地),用旋转碎土器碎(土)
relaxations|消遣( relaxation的复数形式 ); 松懈; 松弛; 放松
revilers|谩骂者( reviler的名词复数 )；辱骂者, 谩骂者
retrofitted|给机器设备装配（新部件）, 翻新, 改型( retrofit的过去式和过去分词 )
reconquers|再征服, 夺回( reconquer的第三人称单数 )
reprimands|申斥, 惩戒, 谴责( reprimand的第三人称单数 )
relumine|重新点燃, 使重新照亮, 使重新明亮
rationed|限量供应, 配给供应( ration的过去式和过去分词 )
ravishers|(ravisher 的复数) n. 强夺者, 强奸者
rotundities|(rotundity 的复数) n. 圆形, 圆形物, 圆润
rectifying|[化] 精馏; 精馏过程
roundheaded|圆头颅的, 圆顶的
riebeckite|[矿]钠闪石
retally|重理货
rambler|漫步者, 蔓生植物
riposting|还刺, 尖锐回答( riposte的现在分词 )
renouncing|声明放弃( renounce的现在分词 ); 宣布放弃; 宣布与…决裂; 宣布摒弃
revoltingly|背叛地, 叛乱地
rarified|纯净的, 稀薄的
remitment|remit的变形
rudenture|卷绳饰; 卷绳状雕饰
rober|穿长袍的人
radiferous|[医] 含镭的
retrocardiac|[解][医]在心脏后的
rouleau|卷轴, 卷封的硬币
repositories|存放处( repository的复数形式 ); 仓库; 宝库; 学识渊博的人
relented|怜悯, 变温和, 变宽厚( relent的过去式和过去分词 ); 再借( relend的过去式和过去分词 )
renege|违例出牌, 食言, 毁约
reascend|再上升
rodential|啮齿目的
recollapse|再坍缩
rosabel|罗莎贝尔(f.)
rapturously|兴高采烈地, 狂喜地
revivified|（使）再生, （使）复活, （使）振奋精神( revivify的过去式和过去分词 )
rhinorrhea|[医] 鼻[液]溢
rearmament|重整军备, 改良装备
repudiating|（正式地）否认( repudiate的现在分词 ); 拒绝接受; 拒绝与…往来; 拒不履行（法律义务）
rummily|奇异地;古怪地
repositions|重新配置( reposition的第三人称单数 )
roisterer|喧闹者, 闹饮者
roguing|选株; 淘汰; 除劣
renoir|雷诺阿（人名）
rhetoricians|修辞学者, 雄辩家( rhetorician的复数形式 )
rotifer|轮虫
repetitional|重复的
replicant|[电影]复制杀人魔
rejoneo|<西> n.马背斗牛术
rachilla|[植] 小穗轴, 小花轴
reawakened|再度觉醒( reawaken的过去式和过去分词 )
reverences|尊敬, 崇敬( reverence的名词复数 ); 敬礼
rhamnaceae|[医] 鼠李科
rudbeckia|金光菊属植物
reeve|地方长官
retrievement|retrieve的变形
rheas|(rhea 的复数) n. [动]美洲鸵；[植]苎麻
roans|黑白杂色的马, 棕白相间的马( roan的复数形式 )
rechecking|(recheck 的现在分词) [计] 复查
recitations|复习/实习课程; 朗诵( recitation的复数形式 ); 背诵; 习题课
rumenotomy|[医] 瘤胃切开术
robustness|[计] 健壮性
rosales|[地名] [菲律宾、墨西哥] 罗萨莱斯
resides|居住( reside的第三人称单数 ); 定居; 驻扎; 属于
reflexly|反射地, 反省地, 折回地
regeneracy|新生, 更生, 更新, 再生
rantipole|顽童,粗野的人,泼妇
rathole|被鼠咬成的洞, 鼠穴
reverb|混响；余响
rubblework|毛石工, 乱石工程, 乱石工, 毛石工程
requestors|(requestor 的复数) n. 请求者
rouncy|<古>马,骑用马
radixes|[医]n.（拉）根
respirometry|[医] 呼吸运动计量法
resurrect|复活
resummoned|(resummon 的过去分词) vt. 再召唤
redargution|[罕用语](对某种说法或论点的)反驳, 驳斥
reaved|reave的过去式和过去分词
rarefication|变稀薄, 稀薄
radion|[物](放)射(微)粒
reissued|再版, 再印( reissue的过去式和过去分词 )
razored|剃, 用剃刀刮
ramular|小枝的
rowley|罗利（姓氏）
rotundas|圆形建筑, 圆形大厅( rotunda的复数形式 )
recommit|把...再委托, 再犯
resurrected|使复活( resurrect的过去式和过去分词 ); 使复苏; 使再活跃; 使再流行
resorb|再吸收
rissoles|炸鱼肉丸( rissole的复数形式 )
republished|再版, 重新发表, 重订遗嘱( republish的过去式和过去分词 )
ruminal|[医]瘤胃的, 反刍
romane|[人名] 罗马尼
reducible|可缩小的, 可降低的
racists|种族歧视者( racist的复数形式 )
rentier|靠股息生活的人,靠收租生活的人,<贬>食利者
rearer|养育栽培者, 用后脚站立的马; 中耕机
rhein|[化] 大黄酸
redressment|赔偿, 救济, 矫正
reprobating|非难；拒绝；斥责
reeder|[人名] [英格兰人姓氏] 里德 Reader的变体; [地名] [美国] 里德
reoxidize|再氧化
revocability|可撤回; 可撤销; 可解除
retrobuccal|[医] 颊后的, 口后的
reoperate|重新运转
remitted|免除（债务）, 宽恕( remit的过去式和过去分词 ); 使某事缓和; 寄回, 传送
recidivistic|复发
resurrecting|使复活；复兴；挖出
rejections|拒绝( rejection的复数形式 ); 摒弃; 剔除物; <医>排斥
rhotacize|[语]使r音化
rowan|花楸树
rhinorrhagia|[医] 鼻出血
rumors|<美>传闻( rumor的名词复数 ); [古]名誉; 咕哝; [古]喧嚷
rosarian|玫瑰花栽培者
reflexology|[医] 反射学
repudiatory|拒绝履行法律义务的
refinished|整修表面( refinish的过去式和过去分词 )
rimming|(沸腾钢)结壳沸腾作用
rumex|[化] 黄酸模
replenished|补充( replenish的过去式和过去分词 ); 重新装满
roomage|空间
rowdies|rowdy的变形
remoras|障碍，障碍物( remora的名词复数 )
rustier|生锈的( rusty的比较级 ); 荒疏的
recolonized|(recolonize 的过去时) v.开拓殖民地, 再度移民到...
repeating|重复的；循环的；反复的
resid|残油
rem|眼的迅速跳动
rebuked|责难或指责( rebuke的过去式和过去分词 )
roderick|罗德里克(亦作Roderic)(m.)
ramee|苎麻
rogue|恶棍, 流氓, 小淘气
remediably|可治疗地, 可补救地
resizer|复装物, 复装整形模, 成形模
resistence|抵抗力
reborn|再生的, 更新的
redear|[鱼](产于美国南部和东部的)红耳鳞鳃太阳鱼
reduplicated|重复的；加倍的；反复的
rased|消除（记忆等）, 破坏( rase的过去式和过去分词 )
rummy|朗姆酒的, 奇妙的, 古怪的
refrigerated|冷藏( refrigerate的过去式和过去分词 ); 冷冻
ralline|[鸟]秧鸡的,秧鸡科的,似秧鸡的
reacquire|[医]再获得, 再得到
ratha|(印度的)轻便四轮马车,四轮牛车
raying|暴露在辐射中; 照射
rooker|(Rooker)人名；(英)鲁克
riverly|河的, 河流的, 河边的
remittor|汇款人, 出票人
rebuttals|举反例, 反驳, 抗辩( rebuttal的复数形式 )
reglazing|二次挂糖衣
rhubarbs|大黄( rhubarb的名词复数 ); <口>（后台演员造的）人声喧哗效果，乱嚷嚷
reformatted|(reformat 的过去分词) vt. 重定格式
ruddock|知更鸟
regimental|团的, 附属于团的
rearhorse|[昆]螳螂
rewardless|无报酬的, 徒劳的
repleader|第二次答辩
rheologic|[物]流变学的
repulverize|再次粉碎; 重新粉碎
refundable|可偿还的, 可归还的
revolvable|能旋转的, 能被旋转的
ropeable|可用绳绑的, 野生的, 狂暴的
rakee|葡萄酒, 梅酒
rectocolonic|[医] 直肠结肠的
reformation|改革, 改正, 重新形成, 重新组成
retranslate|重译
redisplay|重新显示
roadbook|道路指南
representee|[律] 受陈述者
recpt|receipt 收据; 收条; reception 接待; receptionist 接待员
roughrider|驯马师, 非正式骑兵
reiving|(reive 的现在分词) vt. 掠夺
riga|里加（拉脱维亚共和国首都）
retrack|再跟踪
rocaille|花园石贝装饰物, 状似贝壳的装饰
retaliates|报复, 反击( retaliate的第三人称单数 )
recommencing|（使）重新开始( recommence的现在分词 )
refurbishing|刷新( refurbish的现在分词 ); 擦亮; 使清洁; 整修
rhinestones|莱茵石, 人造钻石( rhinestone的复数形式 )
russula|[网络] 红菇属；中麝鼩
rainworm|蚯蚓
repeopled|(repeople 的过去时) vt. 使人重新住入
rumshop|<美口>酒店, 酒吧间
recolonize|开拓殖民地, 再度移民到...
restaurateur|餐馆老板
retouching|[化] 手修
reverend|教士, 大人(对教士的尊称)
reconditions|修理, 修复, 修补翻新( recondition的第三人称单数 )
resue|再使用；再利用；削壁回采法
recombining|[计] 重新组合
reticulating|网状的
ricardo|里卡多(姓氏)
reovirus|[微]呼肠孤病毒, 呼吸道肠道病毒
repackage|重新包装
remedying|改正, 纠正, 改进( remedy的现在分词 )
reintroduced|再引入, 再提出( reintroduce的过去式和过去分词 )
retrogresses|倒退, 逆行, 退化（retrogress的第三人称单数形式）
rheumatics|<口>风湿病; 风湿病患者( rheumatic的复数形式 ); <口>风湿病
resummon|再召唤
residually|残余地, 剩下地
reels|卷轴( reel的名词复数 ); 卷盘; 卷筒; 绕在卷轴上的线（或金属丝、胶卷等）
rasorial|抓地觅食的, 鸡类的
regur|黑棉土
rethresher|二次脱粒装置
reconvention|[经] 反诉
ripsnorter|非同寻常的人, 了不起的人
reanimates|鼓舞（reanimate的第三人称单数形式）
repertories|(repertory 的复数) n. 仓库, 库存, 储备, 保留剧目轮演
residuals|剩余误差
ratch|（防倒转的）棘齿
reseats|使（自己或别人）再次就座（reseat的第三人称单数形式）
rubberstone|磨石
refract|使折射, 测定...的屈光度
resurged|复活( resurge的过去式和过去分词 )
rebuker|rebuke的变形
resequencing|[计] 重新排序
recipiomotor|[医] 运动感受的
rescuers|救援者（rescuer的复数）
rutin|[化] 芸香苷
riddling|谜一样的, 解谜的
refining|[计] 精炼, 提纯
reluct|反抗, 反对
rollback|回降, 卷回, 推回去
refulgency|[网络] 压力
reintegrated|再重新完整, 复兴( reintegrate的过去式和过去分词 )
rehearser|rehearse的变形
remunerator|酬劳者
refracts|<物>（使）折射( refract的第三人称单数 )
rewires|再接电线, 再打电报( rewire的第三人称单数 )
rhabdomancer|棍卜术（用探矿杖占测矿物的迷信活动） (rhabdomancy的变形)
replicable|[化] 能重现的
regionalism|行政区的划分, 地方主义, 地方色彩, 地区性, 地区特征
remotely|极小地, 极细微地
revved|<口>（使）加速( rev的过去式和过去分词 ); （数量、活动等）激增; （使发动机）快速旋转; （使）活跃起来
reassemble|重新召集, 重新装配
rambutan|[植] 红毛丹树(产于马来西亚), 红毛丹果
rhythmist|作曲者, 有节奏感的人
roached|梳（发）使成拱状（roach的过去式与过去分词形式）
roosterfish|[医]丝帆鱼
ratiocinate|推理, 推论, 采用三段论法
reworded|重述, 改说( reword的过去式和过去分词 )
radiography|射线照相术
rubes|<美俚>乡巴佬, 土包子( rube的名词复数 )
rosaline|罗莎琳（女子名）
resene|树脂素, 氧化树脂, 碱不溶树脂
reservoirs|水库( reservoir的复数形式 ); 储藏; 大量的储备; 储液槽
rallied|恢复( rally的过去式和过去分词 ); 价格回升; 集合起来; 嘲笑
resole|换(鞋)底
rutting|[医] 动物动情, 动物交尾欲
resalute|再敬礼, 答礼
rabbets|（木板等的）槽口, 榫头, 槽口接缝处( rabbet的名词复数 )
razz|砸舌声
reeducate|再教育, 重新教育
restrictedly|限制地
rafts|木筏( raft的名词复数 ); 橡皮艇; 充气船; 大量
roanoke|罗诺克（美国弗吉尼亚州城镇名）
radiologist|放射学者
rattans|(rattan 的复数) n. 藤, 白藤茎, 藤杖
rostrated|有嘴状突起的, 有喙状装饰的
ric|英国皇家化学学会（Royal Institute of Chemistry）
