computer|电脑
couscous|蒸粗麦粉
crimping|[化] 卷边
curtal|切短物, 被剪短之物
confreres|(confrere 的复数) n. 同事, 同志, 同仁, 同一团体的成员, 同行
conflagrant|燃烧着的
catchier|（曲调、歌曲）容易记住的( catchy的比较级 )
concreter|混凝土工
chuckawalla|大型蜥蜴
crotchets|小钩( crotchet的复数形式 ); 怪想; 奇想; 反复无常
cyclanthales|环花目
cockscomb|鸡冠, 鸡冠花, 鸡冠帽
cracking|裂解, 分解
catamaran|双体船, 筏
collywobbles|肚子疼
caracara|[动](产于中南美洲吃腐肉的)长腿兀鹰
crooners|低声唱歌的人或歌手( crooner的复数形式 )
checkwriter|支票的打字机
cuvierian|(法国动物学家)居维叶的, 居维叶分类法的
charmed|喜悦的；着迷的
capelet|[医] 马踝(肘)肿
captivities|(captivity 的复数) n. 囚禁, 被关
cistic|cist的变形
counterglow|对日照
composited|(composit 的过去分词) adj. 合成的；复合的
camphanone|莰烷酮
coaxal|共轴的, 同轴的
coliseum|大体育馆, 大剧场,大公共娱乐场
churchy|教堂的, 教会的, 忠于教会的, 恪守教会仪式的
cravening|畏缩的；怯懦的
compensator|赔偿者, 自耦变压器, 补偿物
collaterally|collateral的变形
cru|酒的度数；（法国的）葡萄园
culler|检尺员
cryptanalyze|用密码分析法破译
cager|篮球选手
cenobitic|cenobite的变形
charades|用动作等表演的字谜游戏（charade的复数）
calcutta|加尔各答
chabot|[人名] 沙博
cinnamomum|樟属
caprioling|跳跃, 跃起( capriole的现在分词 )
churchlike|像教堂的
cinnamomic|[建] 肉桂的, 桂皮的
chromoplast|有色体
confervae|conferva的变形
colognes|(Cologne 的复数) n. 科隆, 科隆香水
chirayta|[医] 印度当药
codesign|[化] 合作设计
cyprinidae|[医] 鲤科
comedies|喜剧；喜剧性；有趣的事情（comedy的复数形式）
catchpole|(=catchpoll) n.法警, 执法员
culms|(culm 的第三人称 -s形式) n. (空心)秆, 茎, 灰煤
chinampa|墨西哥式人造草坪
cyclamine|环胺
companioning|朋友, 陪伴, 指南, 升降口围罩
cypresses|柏属植物, 柏树( cypress的名词复数 )
chylopoiesis|[医] 乳糜形成, 乳糜生成
chordoid|[医] 脊索状的
castratory|castrate的变形
copulatively|copulative的变形
cabotage|沿海贸易, 沿海航行, 国内空运
checkmating|（国际象棋）将死( checkmate的现在分词 ); 输棋; 败局; 败北
cistaceous|[植]半日花科的
creational|创造性的
cee|英语字母C, c字形的
cornstalk|谷类的秆, 玉米秆
carval|(爱尔兰曼岛的宗教主题的)民谣,赞美诗
coagulate|(使)凝结
cenogamy|共夫共妻制(如原始社会)
collaring|[建] 加轭, 作凸缘
custodians|看守人, 保管人( custodian的复数形式 )
castellan|城堡总管, 要塞司令
combretaceae|[医] 使君子科
cementum|牙骨质, 水门汀
coheirs|(coheir 的复数) n. 共同继承人
curlily|拳曲地, 蜷缩地
confirmedly|坚定地, 根深蒂固地
caesarism|专制独裁, 君主专制主义
culturing|培植, 培养（culture的现在分词形式）
chiasmal|[医] 交叉的
curvity|曲率
cabined|拘束的；狭窄的
chidden|chide的过去分词
comate|伙伴
cookstove|烹调用炉
cageyness|cagey的变形
carlisle|卡莱尔（英国英格兰西北部城市）
copycatting|山寨，剽窃仿造的产品
ciminite|[地]橄辉粗面岩
crabstick|酸苹果树制的手杖, 酸苹果树制的棍子, 脾气乖戾的人
camelback|骑在骆驼背上的
chocolaty|加巧克力的, 如巧克力般的
crannied|有裂缝的, 裂缝多的, 有裂痕的
christless|违反基督精神的, 不信奉基督的
cavia|[医] 豚鼠属
calinago|(小安的列斯群岛及美洲中部使用的)阿拉瓦克语
clr|[计] 清除
complaisance|谦恭, 殷勤, 顺从
crossway|横路, 交叉路, 十字路, 十字路口, 交叉路口, 紧要关头
clabber|酸牛奶
comatose|昏睡的, 昏睡状态的
chilarium|唇状瓣
chloroamine|氯胺
clitoris|阴核, 阴蒂
cruelties|残忍( cruelty的名词复数 ); 残忍的行为; 残酷行为; 虐待
coatis|（中南美洲所产的）长鼻浣熊( coati的名词复数 )
columbines|鸽的；似鸽的；鸽色的
culter|(小齿)日本银鱼
cystopteris|[网络] 冷蕨属；膀胱蕨
crumpet|烤面饼, 头
cyclamate|[机] 环磺酸盐
chiccory|(chicory之变体)[植]菊苣, 菊苣根
cordonazo|[气]可尔多那左风
cornu|[解]角
crete|（希腊）克里特岛
caloyer|东正教之僧侣
conic|圆锥的, 圆锥形的
convivialist|爱饮宴作乐的人
cashless|无现款的,无现金的,无钱的
chaussure|<法>鞋类, (长统)靴
curvaceous|曲线美的, 肉体美的
clinopyramid|[建] 斜轴锥
cerebrating|用脑筋, 思考( cerebrate的现在分词 )
conspecifics|(conspecific 的复数) a. 同种的
curding|乳凝结, 凝块
clericalism|教权主义
curatorial|管理者的
callouses|硬皮, 老茧( callous的名词复数 )
cordyceps|冬虫夏草
corker|塞瓶塞的人
coveted|令人垂涎的; 垂涎的, 梦寐以求的
collages|拼贴画( collage的复数形式 ); 杂烩
confutable|confute的变形
catholics|天主教徒（Catholic的复数形式）
cymol|甲基异丙基苯
cogito|<拉>我思故我在
carriageful|整整一马车
choriamb|( 诗律中的 ) 扬抑抑扬格, 长短短长格
cabalist|犹太教神秘哲学家, 秘法家
cannibalizes|吃同类的肉( cannibalize的第三人称单数 ); 拆用…的配件; 调拨…的人员吃人肉; 拆用配件
caerphilly|卡尔菲利干酪(一种威尔士全脂白干酪)
contrail|凝(结尾)迹
confocal|[医] 同焦点的
cloze|完形的, 填充测验法的
carboxide|羰基
closers|(closer 的复数) n. 关闭者, 闭合器, 关闭器
carotinoid|[生化]类胡罗卜素
cytophysics|细胞物理学
chutist|跳伞者
conforming|[计] 一致性的
chartulary|房地产契据册
checker|制止者, 查对者, 阻止者
crassly|粗鲁地, 愚钝地
cacodaemonic|cacodemon的变形
cercomonas|[医] 单鞭滴虫属
circulatable|circulate的变形
coadapted|[生]相互适应的
colporter|贩卖, 挑卖, 兜售, 传播
cabinetry|（总称）内阁; [总称]细木工家具
currajong|[植](澳大利亚)异叶瓶树(其韧皮纤维可用以织网、织席)
cottons|棉( cotton的名词复数 ); 棉线; 棉织物; （其他植物所生的绒毛状的）棉状物
cryptal|[化] 桉油萜醛; 对异丙基环己烯甲醛
charier|谨慎的,吝啬的,害羞的,吹毛求疵的,chary的比较级
clones|（动植物的）克隆( clone的名词复数 ); 无性繁殖系; 复制人（或动植物。）; 好像一模一样的人
clabbers|（使）凝结, 变酸( clabber的第三人称单数 )
coexisted|同时共存, 和平共处( coexist的过去式和过去分词 )
callous|麻木的, 无情的, 坚硬的, 硬皮的, 起老茧的
cyperus|油沙豆
coccygodynia|尾骨痛
ceterach|鳞蕨
cokes|焦炭；焦煤；炭焦；薄锡层镀锡薄钢板
cavin|[人名] 卡温
cartoning|纸盒[箱]成形
coms|感光元件（Complementary Metal Oxide Semiconductor）；寻优模型系统（Compliance Optimization Modeling System）
comas|<医>昏迷( coma的复数形式 )
consents|准许( consent的名词复数 ); 正式批准文件; 批文; （意见等的）一致
crampit|[体](运动员站在上面投掷冰壶用的)立脚铁板
cancerously|cancerous的变形
caravelle|卡拉维拉牌汽车
circ|[计] 广义圈
conjunctions|连接词；连词；合取（conjunction的复数形式）
cremator|焚尸人, 焚尸炉
combatively|杀气腾腾地
cloacitis|[医] 泄殖腔炎, 一穴肛炎
conciliators|(conciliator 的复数) n. 抚慰者, 调和人
chockstone|山中裂缝中的岩石
cresylic|甲酚的, 杂酚油的, 甲苯酚的
carotol|[化] 胡萝卜醇
craping|拉屎( crap的过去式 )( craped的过去分词 )
cybernation|自动控制
consulted|商议, 商量( consult的过去式和过去分词 ); 请教; 翻阅; 求教于
catastate|分解代谢产物
cupel|灰皿
crepuscle|黄昏, 黎明, 朦胧
chicaneries|耍花招哄骗别人（尤指于法律事务中）( chicanery的复数形式 ); 不诚实的行为; 欺骗
coquilla|nut 巴西棕坚果
collets|(collet 的复数) n. 宝石座, 筒夹, 套爪
circumjovial|绕着木星运转的, 环绕木星的
cupcakes|纸杯蛋糕( cupcake的复数形式 ); （经常用于称呼语中）指有魅力的女人; 指软弱和女性化的男人或男孩
carpodacus|[网络] 朱雀属；金翅属；拉丁属名
cycadaceae|[植] 苏铁科
chromaturia|色尿素, 色尿症
contemplated|预期的
ccw|[计] 通道命令字
ctenidium|栉鳃
crossbelt|斜挂在肩上的皮带, 两条交叉的皮带
clawhammer|抓奏的(指弹奏班卓琴的一种手法)
carstone|[建] 砂铁岩
coralroot|[植]珊瑚兰属植物
catabolized|（使）异化, （使）发生分解代谢( catabolize的过去式和过去分词 )
cornish|康沃尔人的；康沃尔郡的
crippler|跛子; 残缺事物; 不完美的事物
canons|（某作家的）真作( canon的复数形式 ); 真经; （在大教堂任职的）教士; 总的规则
contradictor|反驳者, 抵触因素, 相矛盾的人
camus|加缪(Albert, 1913-1960, 法国小说家、剧作家, 曾获1957年诺贝尔文学奖)
carnet|<法>官方证明信件,车票簿
charmeuse|查米尤斯绸缎
corybantiasm|[医]狂乱
capriciously|任性地, 善变地
cumulating|累积；堆积
cruelness|残忍, 残暴, 残酷, 残酷的行为, 刻毒伤人的语言
collared|有领圈的, 上了轭/颈圈的, (肉)成卷的
chora|[地名] [希腊] 霍拉
chicly|帅地, 潇洒地, 时髦地
calcific|钙化的
canali|(Canali)人名；(法、意)卡纳利
cellulate|使有细胞状组织
cuticular|表皮的
crier|喊叫者, 哭泣者, 传呼员
chazy|[地名] [美国] 谢齐
candymaker|[网络] 糖果制作者；糖果制造机；糖果泡泡龙
clayed|[土壤] 粘土；泥土；肉体；似黏土的东西
cathetometer|高差计
coenosite|[医] 半自由寄生物
cupressaceae|柏科
comstockery|对有伤风化的文艺作品的强烈反对
choirmasters|唱诗班指挥( choirmaster的复数形式 )
causewayed|堤道；铺道
cirrostratus|卷层云
concordances|和谐, 一致性( concordance的复数形式 )
crois|[人名] 克罗伊斯
campout|野营, 露营生活
corallita|珊瑚藤
caesuras|（希腊和拉丁诗文中格律音步内单词之间的）停顿( caesura的名词复数 ); （现代诗靠近诗行中间的）停顿
craniograph|颅形描记器
celanese|一种人造丝
chainstitch|链形缝
criollo|生长于拉丁美洲各国的人, 拉丁美洲繁殖的家畜
colcannon|卷心菜土豆糊
cyprinid|鲤科之鱼
cheirognomy|[医] 相手术
cony|兔子
calendared|日历；[天] 历法；日程表
crotalus|[医] 响尾蛇属
corrosivity|腐蚀性
cusped|尖的, 有尖端的
crickey|int. 唉呀!
crossbow|石弓, 弩
cometary|彗星的, 彗星似的
clockwork|钟表装置, 发条装置
cachaza|[西]滤泥, 滤饼
cleidocostal|[医] 锁骨肋骨的
chiefs|族长( chief的复数形式 ); 酋长; 首领; （公司或机构的）首领
cocooning|茧, 蚕茧( cocoon的现在分词 ); 营茧; 结茧
cokernut|椰子
cursiveness|草书；草书原稿 (cursive的变形)
camptosorus|[网络] 食人鱼
cleruchy|古希腊将征服土地配给公民的制度
cinematheque|专映先锋派电影的小电影院, 电影馆
channeled|有沟的；有缝的；槽形的
cosies|温暖舒适的( cosy的复数形式 ); 亲切友好的
complanation|平面化
contadino|农夫
contracture|挛缩
crescive|成长的, 增加的
concretive|凝结性的, 有凝固力的
callipering|卡钳, 测径器, 两脚规, 金属撑架
complexioned|有...肤色的
catkinate|catkin的变形
cinders|焦渣跑道；煤渣；灰烬（cinder的复数）
collude|共谋, 串通, 勾结
campfire|营火, 营火会
catiline|男子名
carpocerite|触腕节
carbonylic|[化]碳酰基的, 羰基的
catapasm|扑粉
cisternae|[医] 池
churred|颤鸣( churr的过去式和过去分词 )
cerebritis|大脑炎
constructors|构造器；构造函数；建构式；施工人员（constructor的复数形式）
cabaret|卡巴莱(有歌舞表演的餐馆或夜总会), 卡巴莱歌舞表演
crosswind|侧风
cynomolgus|[动]猕猴, 食蟹猴
chestful|一满箱之东西
congridae|康吉鳗科
calumniously|诽谤地; 中伤地
clemence|克莱曼斯
condolement|吊唁;吊慰;慰问
calvinistic|(法国宗教改革者)加尔文主义的, 加尔文教派的
cockatiel|澳洲鹦鹉
chloroquine|氯奎, 氯喹
canners|(canner 的复数) n. 罐头装制商
clapperclaw|抓殴, 痛骂
canasta|凯钠斯特纸牌游戏
condignly|应当地, 应受地
colluvium|[地质]崩积层
coazervate|[化] 聚析液
calciphilia|[医] 嗜钙性
catholicos|[常作C-](亚美尼亚、叙利亚等东正教会或聂斯脱利派教会的)大主教
cylindricity|圆柱度, 柱面性; 柱形
cognizably|cognizable的变形
colloblast|粘细胞
coronis|科洛尼斯
carboxyl|羧(基)
chit|小孩, 少女, 芽
clearage|清除, 出清, 清理
cataphoria|[医] 下隐斜视
cardinalis|[医]蝶铰部（软体动物）
coagulations|(coagulation 的复数) n. 凝结, 凝结物
crenothrix|[医] 铁细菌属
citadels|城堡, 堡垒( citadel的复数形式 )
cur|恶狗, 杂狗
crayoned|用彩色蜡笔[粉笔]画( crayon的过去式 )
congruously|一致地, 适合地
couvade|拟娩
campanular|[网络] 钟楼
cardiectomy|心部分切除术, 贲门切除
coacervate|凝聚层
collyria|洗眼剂, 坐药, 栓剂
cowbane|毒芹
crotaphion|[医] 蝶骨大翼尖点
clamour|喧闹
chatwood|[地名] [美国] 查特伍德
carrots|胡萝卜；红萝卜（carrot的复数形式）
coiling|[医] 螺旋
choragic|合唱团指挥的
commenting|& vi. 评论, 谈论（comment的现在分词形式）
clinicians|临床医生, 临床教师( clinician的复数形式 )
careenage|倾船, 修船处
cursoriness|粗率, 疏忽
crippled|跛腿的, 残废的
cavers|(caver 的复数) n. 探察洞穴的人, 研究穴窟的人
collegians|(collegian 的复数) n. 学院的一员, 学院的学生
coneflower|金光菊属植物, 金光菊
coriamyrtin|[化] 马桑内酯; 马桑毒内酯
chacma|大狒狒
cryptomnesia|潜在记忆, 潜忆
cyclitol|[建] 环醇
canescence|灰白色,灰白绒毛
centipedes|蜈蚣( centipede的复数形式 )
cunts|<忌>阴道( cunt的复数形式 ); 女性的阴部; （用于辱骂）讨厌鬼; 龟孙子
clarifier|澄清剂, 净化剂
culex|库蚊
chagoma|[医]恰加斯氏皮肤瘤
caseful|[网络] 个性化
counterplot|反计, 对抗策略
concubines|妾, 妃子( concubine的复数形式 )
conks|突然失灵( conk的第三人称单数 ); 发生故障; 极度疲劳; 昏迷
chronaxy|[医] 时值
choreographs|设计舞蹈动作( choreograph的第三人称单数 )
chimopelagic|冬季表层的
carli|[人名] 卡利，卡莉（女名）
cacidrosis|[医] 臭汗
colonelship|上校的身份或地位
cowperitis|尿道球腺炎
caricaturing|用漫画表现或夸张描述、模仿…( caricature的现在分词 )
cowhides|牛皮( cowhide的名词复数 )
coquettish|卖弄风情的
conjuration|祈祷, 祈求, 戏法, 咒文, 魔术, 妖术
crestline|[地名] [美国] 克雷斯特莱思
camas|(cama 的复数) abbr. 集中式自动化通话记帐制（Centralized Automatic Message Accounting）；民用航空医学协会（Civil Aviation Medical Association）
commanding|指挥的, 威风凛凛的, 居高临下的
costliness|高价, 昂贵, 奢侈
caracolite|氯铅芒硝
cte|[医][=calf thymus extract]小牛胸腺抽提物
cigarillo|(pl. cigarillos)小雪茄, 香烟
cutinized|角（质）化的
caespitose|(cespitose之变体)丛生的, 簇生的
cutworm|切根虫
caver|探察洞穴的人, 研究穴窟的人
choses|choose 的过去式, 选择
cockshut|<英方>黄昏,暮色
curators|管理者( curator的复数形式 ); 管理人; 图书馆馆长; 管理者的职位（或身份）
chalazogamy|合点受精
cormophytic|茎叶植物的
caballero|西班牙绅士, 骑士, 骑手
conflated|合并；异文合并
cystoma|[医]囊瘤
courgette|一种密生西葫芦
chemosmotic|化学渗透作用的, 化学渗透现象的
cadastrally|cadastral的变形
cleading|衬板, 覆板
chirality|[医] 偏光力
callusing|皮肤的硬皮, 胼胝, (植物伤口的)愈合组织, 老茧
cultrate|小刀状的, 锐利的
carbyl|[化]二价碳基
convertibly|可改变地, 可交换地
cooing|喔啊声；轻柔低语；鸽子咕咕叫
creaks|（门）嘎吱作响( creak的第三人称单数 )
coincided|两件或更多的事情同时发生( coincide的过去式和过去分词 ); 想法、意见等相同; 相符; 极为类似
clavicembalo|大键琴
cyclopic|独眼巨人的, 巨大的, 巨石堆积的
cockiest|狂妄自信的( cocky的最高级 )
castelli|(Castelli)人名；(英、意)卡斯泰利
communed|与…感觉一致( commune的过去式和过去分词 ); 感觉与…很亲近; 与…亲密地交谈; 与…相沟通
comparted|分隔( compart的过去式和过去分词 )
caplan|卡普兰（人名）
cantata|康塔塔, 大合唱
cyclopedic|百科全书的, 广泛的, 渊博的
coloreds|colored persons (South Africans of mixed blood) 有色人种（混血南非人）
commissarial|代表人的, 委员的, 代理主教的
cumbers|阻碍, 妨害；使受苦
componendo|合比定理
corrente|[地名] [巴西] 科伦蒂
carnelian|红玉髓, 光玉髓
cynanthropy|变犬妄想
calycinal|花萼的, 像花萼的
centrosomic|centrosome的变形
chasseurs|(chasseur 的复数) n. 追击兵, 猎人, 侍者
chymist|化学
chenille|绳绒线, 绳绒线织物, 假绳绒线, 假绳绒线织物
cabining|把…关在小屋里（cabin的现在分词形式）
churning|搅乳, 一次搅制的奶油(量)
conformities|符合（conformity的复数形式）
calamanco|[纺]比利时毛呢
catatonia|紧张症
cyclists|骑自行车的人( cyclist的复数形式 )
crowfoots|(crowfoot 的复数) n. 毛茛, 玉柏
colonopathy|[医] 结肠病
clutter|杂乱
clerihews|(clerihew 的复数) n.克莱里休4行打油诗(一种刻画人物特征的幽默讽刺诗,为英国作家所创)
cultured|有教养的, 有修养的, 有知识的
cowardly|怯懦的, 懦弱的；胆小的
catawbas|卡托巴葡萄（产于美国东部）；卡托巴红葡萄酒
conceived|想出( conceive的过去式和过去分词 ); 构想; 设想; 怀孕
conamarin|[化] 毒芹根苷
canonised|（英）封为圣徒（等于canonize）
citramide|[化] 柠檬酰胺
crashingly|非凡的
centilitre|厘升
castelet|小城堡
chafed|擦热（尤指皮肤）( chafe的过去式 ); 擦痛; 发怒; 惹怒
consultor|顾问, 顾问神父
carbethoxyl|[建] 乙酯基
cracky|裂缝多的, 易裂的, 疯狂的
curtness|简略, 草率
canvassing|（在政治方面）游说( canvass的现在分词 ); 调查（如选举前选民的）意见; 为讨论而提出（意见等）; 详细检查
catchiest|（曲调、歌曲）容易记住的( catchy的最高级 )
cryoscopic|冰点测定法的
cybernating|使电脑化
cytitis|[医] 皮炎
cardiagra|[医] 心痛风
carny|哄骗
contemnor|谴责者, 宣判者
cobweb|蜘蛛网, 蛛丝, 混乱
culverts|管路( culvert的复数形式 )
clamps|夹子；钳夹（clamp的复数）
cession|割让, 转让
cockles|鸟蛤[海扇]壳( cockle的名词复数 ); <文>轻舟, 小船; 波纹; 皱皮
countering|反击, 还击（counter的现在分词形式）
carolean|英国查理一世或二世的
coati|南美浣熊
cobleskill|[地名] [美国] 科布尔斯基尔
craniospinal|[医] 颅脊柱的
cymarin|磁麻苷
collagenase|[生化]胶原酶
craniognomy|颅形学,相颅术( 根据头颅形状之类的特点判断人的智力和性格)
cockered|娇养, 溺爱, 放纵( cocker的过去式和过去分词 )
carunculate|[医]具种阜的
cyanohydrin|氰醇
catapult|弹射器, 弹弓, 弩炮
convolves|卷, 盘旋, 缠绕( convolve的第三人称单数 )
conservable|可保存的；conserve的变形
colonials|生活在殖民地的宗主国居民( colonial的复数形式 )
cicatrizing|生成瘢痕；愈合
capulet|[医] 马踝(肘)肿
chromitite|铬铁岩
comsat|通讯卫星
cropless|无庄稼的, 无农作物的
constable|治安官, 警官, 总管
cutaneously|cutaneous的变形
cytolysis|细胞溶解
citifies|使都市化( citify的第三人称单数 )
colophony|松香
constancy|坚定不移, 持久不变
curable|可医治的, 医得好的
caribi|[医] 流行性坏疽性直肠炎
connivance|默许, 纵容
ciphers|密码( cipher的名词复数 ); 零; 不重要的人; 无价值的东西
coexistence|共存, 和平共处, 并立
clownish|滑稽的
caproin|[化] 甘油己酸酯; 己酸甘油酯; 己酸精
campaigning|作战；参加竞选；参加活动
cysted|有胞囊的, 有囊肿的
concoctor|调制者, 策划者
crenulate|细圆齿状的, 小圆齿状的
cheeses|干酪, 奶酪( cheese的复数形式 ); “茄子”（要求照相的人说的口形词）
coccidiosis|球虫病
cenosite|钙钇铒矿
cadets|候补军官( cadet的复数形式 ); （常作名词修饰语）次子; （常作名词修饰语）培训生; 陆军或海军学校学员
cowskin|牛皮, 牛皮鞭
craunching|咬碎；咬碎声；扎扎地踏
cachectical|cachexia的变形
cdg|巴黎机场（Paris Charles de Gaulle Airport）；危险品运输（Carriage of Dangerous Goods）；图示激光唱片
chewier|（食物）耐嚼的, 不易嚼碎的( chewy的比较级 )
cowpea|豇豆
caresses|爱抚, 抚摸( caress的名词复数 )
clotheshorse|晾衣架
cutpurse|小偷, 扒手
clabbered|（使）凝结, 变酸( clabber的过去式和过去分词 )
choanocyte|环细胞
crawdad|(=crawfish)喇蛄(一种淡水小龙虾),<美>退缩者
celeste|天蓝色, 风琴的音栓
copesmate|<废>=copemate
cutcherry|(印度)行政机关, 种植园事务所, 法院
cocci|分果爿(指果实), 球菌
cemental|白垩质的
calends|（罗马古历的）每月第一日；朔日
catapulting|用弩炮发射( catapult的现在分词 )
choppin|[人名] 肖邦
crickets|蟋蟀( cricket的复数形式 ); 板球
candelabrum|枝状大烛台
countertype|相等型, 相等物
coinages|货币制度( coinage的复数形式 )
constituter|constitute的变形
calver|孕牛
comestibles|食物, 食品; 食物( comestible的名词复数 )
cartons|尤指装食品或液体的)硬纸盒( carton的复数形式 ); 塑料盒; 硬纸盒（或塑料盒）所装物品; 纸板盒
catwalk|狭小通道
captives|战俘, 俘虏( captive的复数形式 )
caterwaul|猫叫春声, 象猫叫春的声音
cloacal|阴沟, 厕所, 下水道, 泄殖腔
chandlers|(chandler 的复数) n. 蜡烛制造者
consummately|完成地, 至上地
clonk|叮当声
clarions|号角
cindery|灰烬的, 煤渣的
colp|[医]阴道
choriambi|扬抑抑扬格
cephas|[人名] 西法斯
carpogonium|果胞
consignatory|[法] 共同署名者
clarifying|[医] 澄清的
codefendants|同案
cablecast|用电缆(或有线)电视播送
correlates|有相关性( correlate的名词复数 )
copperas|绿矾
capriole|跳跃, 跃起
clarified|使清楚, 澄清( clarify的过去式和过去分词 ); （尤指通过加热使黄油）纯净; 说明; 使（头脑、神智等）清醒
coiffe|[网络] 根冠
christmasy|有圣诞节气氛的
chilostome|唇口苔虫
clausthalite|[化] 硒铅矿
chorioid|脉络膜的
chalcosine|辉铜矿
covey|(一)群, 一队
costeen|井探, 水力冲刷勘探, 掘井勘探
camions|<法>卡车( camion的名词复数 ); 运货车; 载重汽车; 军用卡车
clunking|发出沉闷声( clunk的现在分词 )
chiastoneury|扭神经
collinear|共线的
clopping|马蹄声
cramping|图象压缩
coastlines|海岸线, 海岸地形 （或轮廓）, 沿海地带( coastline的复数形式 )
chondrotomy|[医] 软骨切开术
cresamine|[医] 克里萨明(乙二酸和甲酚的混合物,消毒杀菌剂)
centrepiece|中心装饰品
cocoonery|养蚕室
carpincho|水猪皮, 水猪皮手套革
consociated|（使）结合, （使）联盟( consociate的过去式和过去分词 )
conclave|秘密会议, 教皇选举会议, 红衣主教团
cambium|形成层
cichlidae|[鱼] 丽鱼科；慈鲷科
cantharidal|[医] 含斑蝥的, 斑蝥制的, 含芫青的
cormorant|鸬鹚, 贪婪的人
coit|<澳俚>屁股,臀部
coeliotomy|剖腹术
cottering|销联接; 楔联接
cyclopaedias|(cyclopaedia 的复数) n. 百科词典, 百科全书
croaks|呱呱地叫( croak的第三人称单数 ); 用粗的声音说
coviello|[人名] 科维略
campi|(Campi)人名；(西、意)坎皮
chastise|责骂, 惩罚
cadavers|尸体( cadaver的复数形式 )
concessively|让步地
confetti|糖果, 五彩纸屑
contaminated|受污染的；弄脏的
contracted|收缩了的, 已定约的, 契约的
citator|[法] 传讯者; 引证索引
crotalinae|[医] 响尾蛇亚科(蝮蛇亚科)
clearest|清楚的
coccidia|coccidium的复数
cerebrotomy|[医] 脑切开术
cloot|(猪,羊等的)偶蹄, 偶蹄的一边
colloidal|胶态的, 胶质的
cowy|似牛的
comingle|混合；vi
criminating|定罪；使负罪；责备
curability|治愈可能性, 有痊愈希望
crenelled|[医]具圆齿的
chum|密友, 室友
crusaded|加入十字军, 从事改革运动( crusade的过去式和过去分词 )
complaintive|[网络] 投诉
concreting|凝固, 凝结
cellobiose|[化]纤维二糖
colitis|结肠炎
confutative|confutation的变形
chimeric|妄想的, 荒诞不经的
cours|(cour 的复数) abbr. courant (French=current) （法语）当前的; 通用的; 流通的; 电流
cutwater|船头破浪处, 桥脚的分水角
compressor|压缩物, 压缩机, 压肌
commuted|通勤( commute的过去式和过去分词 ); 减（刑）; 代偿
clunker|年久失修的旧机器
calesa|二轮敞篷小马车
confidante|知己的女友
clamoured|喧哗, 吵闹( clamour的过去式和过去分词 ); 大声地要求或抗议
cylinders|圆筒( cylinder的复数形式 ); 圆柱; 汽缸; （尤指用作容器的）圆筒状物
cosmesis|[医] 美容术
carpeting|地毯料, 地毯
carom|连着双球的一击, 碰击而反跳
cameleon|(Cameleon)人名；(法)卡默莱昂
corrals|把…赶入畜栏( corral的第三人称单数 )
cyrano|西拉诺（人名）
catbird|北美猫鸟
coopery|制桶业, 制桶工厂
calcinate|[机] 焙烧
catclaw|【植物】；猫爪施兰克亚木 (Sch- rankia nutallii)
clype|<苏格兰>n.告密者, 搬弄是非的人
crystalize|明确
collogen|[医] 胶原
cynodontia|犬齿龙附目；犬齿兽次亚目
chamberlains|（国王的）侍从, （贵族的）管家, 收款人( chamberlain的复数形式 )
causatively|使役的
conglobing|使成球状；堆成圆珠（等于conglobate）
concanavalin|[生化]伴刀豆球蛋白
cressy|长满水芹的
charioteers|战车的御者；御夫座
chagul|羊皮做的水壶
crowing|公鸡啼鸣( crow的现在分词 ); （婴儿）欢叫; （尤指在其他人不成功时）扬扬自得地夸口; 自鸣得意
chromas|[医] 铬酸盐
convolute|回旋, 卷绕, 盘旋
ceres|刻瑞斯(谷类和耕作女神)
chainwale|桅侧支索牵条
cedrine|[建] 雪松的
chirred|唧唧叫( chirr的过去式和过去分词 )
coercive|强制的, 强压的, 强迫的
cantando|（音乐术语）如歌的
conchy|拒绝服兵役者
cinchotine|[医] 辛可丁, 辛可尼芬, 氢化辛可宁
cashable|可兑现的
cobwebs|蜘蛛网( cobweb的复数形式 )
congests|充满, 拥挤( congest的第三人称单数 )
caline|促成素
centillion|百万的一百次幂, 千的一百零一次幂
countermove|相反行动, 对抗行动, 报复行动
circumboreal|环北方的
cytokinin|细胞激动素
casebook|个案病例记录簿
cavefish|[鱼]洞穴鱼(穴居水窟中的盲鱼)
collectivise|<主英>= collectivize
chilomastix|[医] 唇鞭毛虫属
caloricity|食物的热量
campanero|钟鸟
chukkas|(chukka 的复数) n. 高帮皮马靴
callowness|callow的名词形式; 意为：不成熟; 幼稚; 长不大
coastwards|朝着海岸
craterlike|[医]火山口状的, 杯状的
craggily|craggy（多癴崖的, 多峭壁的）的变形
cutlers|(cutler 的复数) n. 刀匠, 刀剪商
curtseys|(curtsey 的复数) n. 屈膝礼
cassareep|木薯浓汁
cento|抄袭拼凑而成的文艺作品(或乐曲), 拼凑物, 杂烩
contusions|挫伤, 擦伤, 撞伤( contusion的复数形式 )
catskin|猫皮
chairlady|女主席（等于chairwoman）
chayote|[植]佛手瓜, 佛手瓜之果
cockerel|小公鸡
cataplasia|[生]细胞或组织的萎缩
cecropia|[网络] 无精子症
cavitation|成穴, 空化(作用)
centrist|中间党派的成员, 温和主义者
countably|[计] 可数地
clavieristic|clavier的变形
cometography|彗星志
circumvents|设法克服或避免（某事物）, 回避( circumvent的名词复数 ); 绕过, 绕行, 绕道旅行
