good|好的
georgics|(georgic 的复数) a. 农业的
gopher|[计] 信息检索工具
gospeler|<美>传福音的人, 诵读福音书的人
gali|[地名] [格鲁吉亚、坦桑尼亚] 加利
gibbous|凸圆的, 凸状的, 驼背的
glinting|（使）闪烁, 闪光( glint的现在分词 )
gauche|缺乏社经验的, 笨拙的, 粗鲁的, 无礼的, 偏转的
glochis|倒刺尖
godlike|似神的, 庄严的
glossophytia|[医] 黑舌[病]
germanized|成德国式, 德国化, 译成德文( Germanize的过去式和过去分词 )
gadaba|[网络] 加达巴
gauntlet|铁手套, 长手套, 夹击
guayabera|瓜亚贝拉衬衣(宽松、舒适、胸前打褶的四兜衬衣, 在拉美和加勒比地区随处可见)[亦作 guayabera shirt]
guib|薮羚
gaucho|加骄牧人
gurdwara|谒师所(印度锡克教徒的礼拜场所)
gio|[地]海门口,陡壁峡口,长狭潮道
gangetic|恒河的,沿恒河的
grenadilla|百香果类之植物, 其果实
gametophore|[植]配子托
glareola|[网络] 林鹬；燕鸻属；燕鴴属
grantsman|精于(为研究工作等从基金会或赞助人处)获得捐款者
gottfried|(Gottfried)人名；(英、法、德、波、捷、匈、瑞典)戈特弗里德
gatherings|聚集( gathering的复数形式 ); 收集; 采集; 搜集
gonad|性腺, 生殖腺
glitzy|<美><加> 闪光的, 耀眼的, 眩目的
ganged|成组的, 联动
guldens|基尔德（荷兰货币单位）( gulden的名词复数 )
gravitometer|重差计(测定比重用)
gumming|树胶分泌
gynobasic|[医]着生子房基部的（指花柱）
gyrates|旋转, 回旋( gyrate的第三人称单数 )
greycoat|穿灰色衣服的人
globulin|球蛋白
gourdes|(gourde 的复数) n. 古德(海地货币单位)
gatherers|收集器, 收集者( gatherer的复数形式 )
glistered|<古>灿烂, 光辉( glister的过去式和过去分词 )
gemmaceous|像芽体的
gladded|高兴的( glad的过去式和过去分词 ); 感激; 乐意的; 使人高兴的
gillenia|美吐根
gemsbok|好望角大羚羊
genuineness|真诚, 真挚；真实, 真正
gravedigger|挖墓者, 埋葬虫
gaskets|束帆索, 垫圈, 衬垫( gasket的复数形式 )
gestalt|[心]完全形态, 完形
gud|全局用户数据（Global User Data）；生殖器溃疡疾病（Genital Ulcer Disease）
gemma|芽, 无性芽, 芽体
germane|关系密切的, 有关的, 同样的, 恰当的, 贴切的
glistering|<古>灿烂, 光辉( glister的现在分词 )
gifblaar|毒叶木
goofball|催眠药片, 兴奋剂, 镇静剂, 神经失常的人, 怪人
gnosis|[医] 感悟
gabling|(gable 的现在分词) n. 山形墙, 人字板
gridiron|烤架, 格状物
gnotobiote|不受已知微小动植物污染或与之有关联的(实验)动物
gingerbread|姜饼, 俗艳的装饰
gummata|梅毒瘤, 树胶肿（梅毒性）( gumma的名词复数 )
gymnasts|体操家, 体操运动员( gymnast的复数形式 )
gekko|蛤蚧
grivet|[动]黑长尾猴(产于非洲)
geotectology|大地构造学
gladfulness|高兴；喜悦；欢喜
gulling|欺骗某人( gull的现在分词 )
gambogic|gamboge的变形
gandhi|甘地
grimacer|作怪相的人
glassblowing|玻璃吹制法, (玻璃)灯工吹制
gauchely|gauche的变形
garibaldian|(意大利民族解放领袖)加里波第的, 拥护加里波第的
gelidly|gelid的变形
garret|层顶层, 阁楼, 顶楼, 头
gagger|塞住别人的口, 笑料的作者, (善于插科打浑的)喜剧演员
granitiform|花岗石状的
groyne|丁坝, 防波堤
gastrocolic|[解]连接胃与结肠的,胃与结肠的
gofers|(gofer 的复数) vt. 使起皱褶/皱纹
graphophobia|[医] 书写恐怖
genuflector|曲膝者, 屈服者
granulosis|颗粒层增殖
gyrencephala|多脑回动物类
gitalin|[化] 吉他林; 洋地黄全苷
grueling|折磨人的, 使人精疲力尽的
griever|[人名] 格里弗
gymslip|一种无袖连衫裙
guardo|[人名] 瓜尔多; [地名] [西班牙] 瓜尔多
gamin|讨人喜欢的娇小的顽皮姑娘；流浪儿
glaucodote|钴硫砷铁矿
gegenion|抗衡离子, 平衡离子
gogga|虫子；昆虫
grasses|稻科植物类；禾本种；草地（grass的复数）
garbling|[经] 精选费
guacamole|鳄梨酱； 鳄梨色拉
groaner|[网络] 呻吟声
glebes|(glebe 的第三人称 -s形式) n. 土, 土地
grillwork|格子形图案, 花格形装置
gala|节日, 祝贺
gregorian|格列高利教皇的
guffawed|大笑, 狂笑( guffaw的过去式和过去分词 )
gaolers|<英>狱卒( gaoler的复数形式 )
grunting|呼噜的, 咕哝的
glos|格罗斯（德国经济部长）
genearch|家长, 族长
gallimaufry|大杂烩, 搀杂
goma|general officer money allowance 将级军官货币津贴
goriest|沾满血污的, 充满暴力和血腥的( gory的最高级 )
gommier|橄胶树
guilelessly|guileless的变形
gowd|[苏格兰英语] =gold
gibblegabble|快速而不清说的言语, 乱语
garnishee|第三债务人
galegine|[化] 山羊豆碱
gid|[医] 蹒跚病(家畜晕倒病), 眩晕
gustable|,n. gust的变形
gloriana|丝经棉纬伞绸
geoid|[地]大地水准面
gnathitis|[医]颔炎
graspless|理解力差的；未被领会的；不可理解的
greenbackism|Greenback party的变形
glutaric|戊二酸
grecized|使…希腊化；把…译成希腊语
galbulus|[植]毯果之变形
gryphon|[希神]半狮半鹫的怪兽
galloon|细绳, 纱带
ginny|意大利人
glutinously|glutinous的变形
goodie|身份低微之老妇；正面人物；好人
gerontocrat|gerontocracy的变形
geodetics|测地学
godchildren|教子, 名义上的儿子( godchild的复数形式 )
grouchy|不高兴的, 不平的
gallet|石片, 碎片
gingili|芝麻, 芝麻油
geodynamic|地球动力学的
geegaw|(=gewgaw)虚华而无价值的
grappled|抓住( grapple的过去式和过去分词 ); 搏斗; 与…格斗; 努力应付困境（或解决难题）
gowk|杜鹃鸟, 呆子
grabby|贪婪的
griddles|煎饼用浅锅, 矿筛( griddle的名词复数 )
gaga|老朽的, 狂热的
grandsire|祖父, 祖先
glady|林间空地很多的；多草沼泽地的
grittiness|有砂砾, 坚韧不拔
glug|<口>vi.发汩汩声
gobby|脂肪层不均匀的胴体
greco|[计] 希腊
glaring|闪耀的, 炫目的, 瞪视的
ghostwriters|代笔人（ghostwriter的复数）
godparent|教父或教母
gonidiophore|微生子体
gasconade|吹牛, 夸口
gagaku|雅乐(日本的一种宫廷音乐)
granger|农夫, 农民
gunneraceae|古奴科
groundmass|[地]基质(一种连续分布的细粒物质,其中镶嵌着沉积物或沉积岩的大颗粒)
galabieh|(尤指阿拉伯国家农民穿的)无领对襟束带长袍
galactorrhea|[医] 乳溢
gil|吉尔（人名）
glyconic|格莱坎诗体,格莱坎诗体的诗
gymnotus|(pl. -ti)裸背鳗属
gazabo|人
gears|齿轮, 传动装置（gear的复数形式）
gamekeepers|（私人土地上防止偷猎的）猎场看守人( gamekeeper的复数形式 ); 偷猎者成了猎物保护人; 角色易位的人; 当年造反今天掌权的人
grindelia|[化] 胶草; 格兰第菊
gambits|开局让棋法( gambit的复数形式 ); 策略, 诡计
garboard|[船] 龙骨翼板
giantlike|巨人般的
grudges|不满, 怨恨, 妒忌( grudge的名词复数 )
gaus|[人名] 高斯
glissaded|下滑( glissade的过去式和过去分词 )
gardeners|园丁, 园艺爱好者( gardener的名词复数 )
ginnings|轧棉机的棉产量
gizmos|(gizmo 的复数) n. 小发明, 小玩意儿
gallops|（马等）奔驰, 骑马奔驰( gallop的名词复数 )
guilefulness|guileful的变形
gastight|不漏气的, 气密的
geepound|斯勒格(一种质量单位)
goddard|[计] 戈达德
glauconite|[矿]海绿石, 海绿沙
gearboxes|变速箱, 变速器( gearbox的复数形式 )
gleet|慢性淋病性尿道炎
gemmate|有芽的, 发芽生殖的
galactagogue|催奶剂
gundy|[人名] 冈迪
gwine|<方> go 的现在分词
gingerade|<英>=ginger beer
goebbels|(Goebbel 的复数) n. (Goebbel)人名；(德)格贝尔
growers|雏
gazebo|眺望台, 阳台
glycyrrhiza|甘草
galantine|冻肉卷
gurnard|[鱼]鲂鱼
glaucodot|钴硫砷铁矿
grandnephew|侄孙, 甥外孙, 甥孙, 侄外孙
grungy|<美俚>蹩脚的,低劣的,丑的,脏的,邋遢的
gastrostaxis|[医] 胃渗血
gunfights|(gunfight 的复数) n. 枪战
ginned|杜松子酒, 荷兰酒( gin的过去式和过去分词 )
gruel|稀粥
goodwill|友好, 好意, 善意, 亲善, (企业享有的)信誉, 声誉
gaffkya|[医] 加夫基氏球菌属
gadus|[医] 鳕属
gillian|吉莉安(Juliana的异体)(f.)
gunnera|[植]根乃拉草
gibed|嘲笑, 嘲弄( gibe的过去式和过去分词 )
gourmandism|美食主义, 贪吃, 暴食
gyrational|gyration的变形
gager|计量者[物], 检量官
gufa|圆形篮状船
gamasid|[医] oо
groans|呻吟, 叹息( groan的名词复数 ); 呻吟般的声音
gulfy|多深坑的, 多旋涡的
germanize|成德国式, 德国化, 译成德语
gimcrack|华而不实的
ganoin|(鱼鳞的)硬鳞质,闪光质
gazella|瞪羚属
gobstopper|（英）大块硬糖
greaseproof|不透油的, 耐脂的
gnathal|颚的, 颌的
gonococci|[医] 淋[病双]球菌
grafter|嫁接的人, 收贿者, 贪污者
galling|擦伤人的, 擦痛人的, 使烦恼的, 使焦躁的, 难堪的
grumped|(grump 的过去时) n. 一阵坏脾气, 发火, 脾气坏的人
gnarl|木节, 木瘤
gump|[方]笨蛋, 傻儿
guilloche|扭索状装饰, 连结环
girned|(girn 的过去时) v.& n.<苏格兰>咆哮,吼叫
gromwell|紫草属植物(尤指药用紫草)
ganglionic|神经节, 力量/活动/兴趣的中心, 腱鞘囊肿
gamesman|以诈术取胜的人
guaiol|[化] 愈创醇; 黄兰醇
gaudeamus|尽情狂欢
gelatinizing|使…成明胶；涂胶于…
giglot|轻俘的女孩
glt|gilt 镀金的; 烫金的; greeting letter telegram 书信贺电; 问候电报
gravest|重大的；严肃的；黯淡的 (grave的变形)
grandniece|侄孙女, 侄外孙女
gazpacho|gazpachos 西班牙凉菜汤
gaggle|鹅群, 一群, 嘎嘎叫声
gunboat|炮舰, 炮艇
guardsman|卫兵, (英)近卫兵, (美)国民警卫队士兵
gadgetry|小配件, 小玩意
grifter|赌棍, 小偷, 骗子
gettings|[人名] [威尔士人姓氏] 格廷斯取自父名，来源于Gitting,含义是“吉廷之子”(son of Gitting)
goony|=gooney bird [亦作 gooney]
grungier|(grungy 的比较级) adj.<美俚>蹩脚的,低劣的,丑的,脏的,邋遢的
gnars|（狗等）吠, 吼, 咆哮（gnar的第三人称单数形式）
gussying|装饰, 粉饰( gussy的现在分词 )
garrisoned|卫戍部队守备( garrison的过去式和过去分词 ); 派部队驻防
grandiosity|宏伟, 夸张
grifters|(grifter 的复数) n. 赌棍, 小偷, 骗子
germanic|德国的, 日耳曼语的, 日耳曼人的
globins|(globin 的复数) n. 珠朊, 珠蛋白
grassier|被草覆盖的, 长满草的( grassy的比较级 )
grahamite|[矿]脆沥青
groundage|停泊费, 进港费
gratiola|水八角属
gaud|俗丽装饰, 俗丽仪式
gnomically|gnomical的变形
grex|高密度聚乙烯
gonococcus|淋病球菌
golly|神
gingivalgia|[医] 龈痛
gershom|[人名] 格肖姆
gneissoid|[地质](指结构等)像片麻岩的
gratifying|悦人的, 令人满足的
grapheme|书写单位, 字素
glummest|闷闷不乐的, 忧郁的( glum的最高级 )
gleed|<方>烧红的煤
gurgoyle|[建]怪兽状滴水嘴,(突出的)怪兽饰
golder|[人名] [英格兰人姓氏] 戈尔德来源于古英语人名, 含义是“金+军队”(gold+army); [人名] [英格兰人姓氏] 戈尔德住所名称, 来源于古英语, 含义是“金盏花+坡”(marigold+slope)
galacturia|[医] 乳糜尿
grissel|格里塞尔(Griselda的异体)(f.)
gunrunner|军火走私者
gynandroid|男化女人
gaywings|[复]n.[用作单或复][植]少叶远志
grippotoxin|[医] 流感毒素
garnitures|(garniture 的复数) n. 附属品, 添加物, 服装
gandhian|甘地的, 甘地主义的
gainful|有利益的, 唯利是图的
gallovidian|(苏格兰)加罗韦人
gramashes|粗厚长袜
gurgled|作汩汩声, 作咯咯声( gurgle的过去式和过去分词 )
gyroscope|陀螺仪, 回转仪
gemshorn|风管类音栓
gorry|int. [用于发誓或惊叹]上帝作证!天呀! 啊呀!
gammas|希腊字母表的第三个字母( gamma的复数形式 )
glaucous|绿灰色的, 蓝绿色的, (葡萄等)表面起白霜的
gery|[人名] 格里
gormandizing|大吃大喝( gormandize的现在分词 )
gluconate|[机] 葡萄糖酸盐
gentrice|[苏格兰英语、古语]；贵族出身, 高贵的出身
glottises|pl. 声门
gaspereau|<加拿大>[鱼] 鯷状锯腹鲱
gamogony|孢子发生, [动]有性生殖
goblinize|变成恶鬼或小妖怪
guestchamber|来宾室
gustation|尝味, 味觉
grunted|（猪等）作呼噜声( grunt的过去式和过去分词 ); （指人）发出类似的哼声; 咕哝着说
galvo|<口>=galvanometer
gandhism|甘地主义, 不使用暴力的抵抗主义
galingale|良姜
graminaceous|草的, 禾本科的, 像草的
germinated|（使）发芽( germinate的过去式和过去分词 )
glides|滑行( glide的名词复数 ); 滑音; 音渡; 过渡音
gazetting|销售或发行限制
gant|甘特图
gladiola|[植]剑兰
ghetto|犹太人区
grandpas|<非正>爷爷, 外公, 老太爷( grandpa的复数形式 )
gallomaniac|& n.醉心于法国事物的(人),法国迷(的)
gunplay|（美）枪战；射击技巧
goosed|拧或掐屁股（goose的过去式与过去分词形式）
gonium|(pl. -nidia )性原细胞
geobiology|地理生物学
gammons|[人名] 甘蒙斯
gynoecium|雌蕊, 雌蕊群
geat|耶阿特人(瑞典南方的斯堪的纳维亚人,6世纪时为瑞典人所征服)
guacin|[医] 瓜柯脂
gotch|大鼓腹陶壶[罐]
gaur|[动]白肢野牛,印度野牛(产于印度,缅甸等国,是现存最大的野牛)
gumdrops|软糖, 橡皮糖（水果糖的一种）( gumdrop的复数形式 )
gilet|背心, 马甲
globulinuria|[医] 球蛋白尿
gooky|<美俚>粘的,滑腻的,肮脏的
gudgeon|诱饵, 易受骗的人
garrulously|啰嗦地；饶舌地
guaco|[植]马兜铃属植物(美洲热带地方产的一种可治蛇毒的树)
gilts|金边债券
guilefully|guileful的变形
graziery|畜牧业
gladstone|一种轻型旅行袋；格拉德斯通, 格莱斯顿（英国政治家）
grossular|钙铝榴石
gemstones|经雕琢的宝石( gemstone的复数形式 )
grammars|语法( grammar的复数形式 ); 语法书; 语法学; （人的）语言知识及运用能力
globate|球状的
gunmetal|炮铜, 青铜, 炮铜色
graeme|格雷姆（男子名）
gangway|通道, 通路, 跳板
gim|Glass Insulation Material 玻璃绝缘材料
garget|(猪等家畜的)咽喉肿胀, (奶牛,奶羊等的)乳房炎
glucuronide|[生化]葡(萄)糖苷酸( 亦作glycuronide)
giovanni|乔瓦尼（人名）
germanism|德国精神, 德国人性格, 亲德国
gems|宝石（gem的复数形式）
gynostegium|合蕊冠
galenoid|似方铅矿的
gainsaying|否认, 反驳( gainsay的现在分词 )
guiser|[英国方言](尤指对圣诞节、万圣节前夕的)化装游戏者
gordian|[希神神话]戈耳迪的；棘手的
goodwilled|商誉
guesser|推测者；猜测者
grapnel|多爪(小铁)锚, 抓钩
gildings|(gilding 的复数) n. 镀金, 镀金材料, 涂金, 虚饰的外观, 假象
glisters|(glister 的复数) n.<古>灿烂, 光辉
gracing|使优美（grace的现在分词形式）
globules|小球, 水珠( globule的复数形式 )
generousness|宽大;丰富;肥沃
geladas|(gelada 的复数) n.[动]狒狒
glower|瞪眼, 怒目而视, 凝视
gravers|(graver 的复数) n. 雕刻师, 雕刻刀
greenovite|红榍石
gunshots|枪炮射击, 枪炮声( gunshot的复数形式 ); 枪炮的射程
grav|格拉夫(加速度单位,等于自由落体加速度,即9.80665米/平方秒, 略作G)
giulio|(Giulio)人名；(法、意、葡、汤加)朱利奥
gasolier|煤气吊灯
gozzard|[人名] 戈扎德
grievances|垒块；抱怨, 不平（grievance的复数形式）
graining|漆纹理, 漆成纹理的方法
grindstones|磨石( grindstone的复数形式 ); 砂轮; 持续辛勤地工作; 努力不懈
goring|戈林（德国纳粹党的二号人物, 希特勒指定的接班人）
graphomaniac|书写狂者,书写迷者
globulite|[地质]球雏晶
gunpaper|经硝酸处理后能爆炸的纸
gedanken|（德）思想
gazi|(Gazi)人名；(意、土、孟)加齐
grutten|greet的过去分词
garbologist|垃圾清除工人
gollop|vt,vi.& n.<口>大口吞咽
gossoon|<爱尔兰>少年, 小伙子
genealogize|追溯...的系谱, 制定系谱
growthful|生长旺盛的, 长势良好的；生机勃勃的
gerent|统治者, 管理者
gastroplasty|[医] 胃形成术
gibbosity|凸圆, 凸状, 驼背
garages|车库（ garage的名词复数 ）; 汽车修理站; 加油站; （兼营汽车修理、销售的）加油站
gorged|（用食物把自己）塞饱, 填饱( gorge的过去式和过去分词 ); 作呕
glorying|得意, 自豪（glory的现在分词形式）
greffier|公证员, 登记员, 注册员
greenishness|greenish的变形
gainers|得利者, 胜利者, 获得者( gainer的复数形式 )
geopolitics|地缘政治学
glucinum|[化]铍(元素beryllium的别名)
groundnut|野豆, 落花生
groover|挖槽者, 挖槽机, 挖槽工具
goggling|睁大眼睛瞪视, （惊讶的）转动眼珠( goggle的现在分词 )
gunslingers|(gunslinger 的复数) n. 带枪的歹徒, 被收买来行凶的人
gillie|侍从, 仆役
grike|<英方>[地]岩(溶)沟
genesee|杰纳西河（美国河流名）
gliadin|[化] 麦醇溶蛋白
granulated|成颗粒的, 细粒的
geobiont|地栖生物, 土壤生物
gulls|气球假目标雷达反射器；鸥；笨人；易受骗之人（gull的复数形式）
gaudery|华丽的服饰
galvanizer|电镀工, 激励者
godparents|教父, 教母( godparent的复数形式 )
glossography|注释(或评注)写作(或汇编)
gutta|[医] 滴
glossoid|[医] 舌样的
grieving|感到悲痛, 伤心( grieve的现在分词 ); 使…伤心
gallup|盖洛普（姓氏）；盖洛普（George Horace, 1901-美国统计学家, 盖洛普民意测验的创始人）
grandioso|<意>adj.& adv.[音]雄伟的(地),壮丽的(地), 崇高的(地)
galbanum|白阿魏脂, 波斯树脂
gondolier|威尼斯平底艇的船夫
graveyards|墓地( graveyard的复数形式 ); 垃圾场; 废物堆积处; 收容所
grivation|栅格差
goitres|甲状腺肿, 肿物( goitre的复数形式 )
grated|有格栅的, 有炉格的
gook|污物, 粘性物质, 畸形人, 亚洲佬(对韩、日等国人的轻蔑称呼)
gynarchy|女人政治 , 女人当政
gunstock|枪托
germanomania|醉心德国的人
guayule|银胶菊
gallanilide|[化]棓酰苯胺,棓酚
gelatiniform|胶状的
goback|回去
gleans|一点点地收集（资料、事实）( glean的第三人称单数 ); （收割后）拾穗
greaseball|[美国俚语]外国佬(尤指意大利、西班牙、葡萄牙、希腊等国血统的人)；狡诈的家伙；滑头小伙子；[兽医学](马用)药物油脂球
graal|graph algorithmic language 图形算法语言
gentianales|龙胆目
galeas|两桅小船
grayness|灰色, 阴暗
groats|碾去壳的燕麦(小麦)
grat|greet的过去式
gentleness|温顺, 柔和, 亲切
graphotype|白垩电铸凸版
gamines|(gamine 的复数) [法]女流浪儿, 女顽童, 妖冶的女人
getup|式样, 打扮
galliards|(galliard 的复数) n.<古>轻快的三拍子舞蹈
girosol|[矿]青蛋白石
glioma|神经胶质瘤
geographics|[网络] 地理统计；地理性；地理上的
gruss|花岗岩碎砾; 碎砂砾堆积
guttural|喉咙的, 咽喉的, 喉音的
guanin|鸟嘌呤（核酸的基本成分）
gummed|涂胶的
gastrocoel|[医] 原肠
gyrocompass|旋转罗盘, 回转罗盘
groundedness|有根性
greegree|(非洲人的)护身符, 符咒
glasswort|欧洲海蓬子
globulet|极小的一滴
gubbins|(gubbin 的复数)  [人名] 格宾
globs|一滴, 一小滴水珠, （可塑性物质的）一团( glob的复数形式 )
givers|送礼者( giver的复数形式 )
ghettoizes|使成为少数民族居住区（ghettoize的第三人称单数形式）
gowans|[人名] 高恩斯
grizzling|（尤指儿童）哭着不停地抱怨（某事）( grizzle的现在分词 )
gutturonasal|软颚鼻(音)的
germinates|（使）发芽( germinate的名词复数 )
gauntree|栈桥
gutser|<澳新口>重跌(亦作gutzer)
gratin|[法]在食物上涂面包和干酪屑的烹调法, 表面有一层焦黄面包和干酪屑的食物, 焦黄面包和干酪屑涂层
genitives|(genitive 的复数) a. 所有格的
grouches|爱抱怨的人( grouch的名词复数 ); 脾气坏的人; 牢骚; 生气
gelidiaceae|[医] 石花菜科
glossator|(=glossarist)评注者, 注解者, 注释者
genitals|生殖器, 外阴部
gymnospore|[医] 裸孢子
grunts|（猪等）作呼噜声( grunt的第三人称单数 ); （指人）发出类似的哼声; 咕哝着说; 石鲈
gaspar|[材]加斯帕
gillyflower|紫罗兰花
galangin|高良姜精
gonotyl|生殖盘
glareolidae|[网络] 燕鸻科；燕鴴科；燕科
gallants|(gallant 的复数) a. 英勇的, 壮丽的, 华丽的
gaucher|高雪氏症
glueyness|黏性, 黏度, 胶黏性
granularity|间隔尺寸
gaeltacht|(爱尔兰境内的)爱尔兰语地区
ginhouse|弹棉花厂
gesneria|[植]苦苣苔科的
gadite|迦得的后裔,迦得族人
godwits|(godwit 的复数) n. 塍鹬
gus|格斯（男子名）
grift|诈骗
gasser|气井, 夸夸其谈的人, 出类拔萃的东西
goodliness|美丽, 美貌, 美好
gassy|气体的, 气状的, 含气的
gamont|[医] 配子体, 配子母细胞
galvanograph|[电] 电镀制版
gigging|(gig 的现在分词) n. 旋转物, 轻便双轮马车, 赛艇, 鱼叉, 记过, 爵士乐演奏会
granadillo|[地名] [古巴] 格拉纳迪约
gradable|可分级的, 可分类的, 可分等的
garrick|灰吕
greenrooms|演员休息室( greenroom的复数形式 )
geophagous|[医]食土的
geophyte|地下芽植物(指休眠芽深在土层中的多年生植物)
gaposis|因衣服太紧纽扣间出现的裂口
golem|机器人
gunport|炮眼, 炮门
gobbed|(gob 的过去分词) n. 凝块, 水兵
gyves|(gyve 的复数) n. 脚镣, 手铐
grudgers|(grudger 的复数) n. grudge的变形
greenling|[动]六线鱼
groomers|(groomer 的复数) 美容师
genuflect|曲膝, 跪, 屈服
gullibly|易受骗地
germule|[动]初胚,小胚芽(胎)
gumption|通情达理, 精明能干, 进取精神, 勇气, 主动性, 常识
galen|伽林（古希腊名医及有关医术的作家）
guyer|[人名] 盖耶
gravels|沙砾( gravel的名词复数 ); 砾石; 石子; 结石
gooselike|傻的; 愚笨的
greeted|欢迎( greet的过去式和过去分词 ); 迎接; 致意; （以某种方式）对…作出反应
grapelet|小葡萄
germling|(萌发)幼体, 幼殖体
granitite|黑云花岗岩
gavage|[医]强饲法,[农]填喂法
grunion|(加利福尼亚)银汉鱼(一种上岸产卵的鲱形海鱼)
gunned|带枪的
guignol|“潘趣和朱迪”木偶戏；[有时作 g-]恐怖戏
gwen|格温（女子名, Gwendolyn或Guenevere 的昵称）
grebes|(grebe 的复数) n.一种鸟
gimmer|小母羊
guidons|(guidon 的复数) n. 三角旗, 小旗, 三角旗的旗手
gabionade|土笼的构筑物
griller|[人名] 格里勒
glissade|制动滑降, 滑步
goujon|扁头鲶鱼（等于flathead catfish）
griped|感到或引起腹或肠绞痛( gripe的过去式和过去分词 ); 抱怨（某人[某事物]）, 发牢骚
gret|北京洲际资源环保科技有限公司（Global Resource Envi-Tech Co.ltd.）
gou|gourde (Haitian currency) 古德（海地货币和硬币名）
gibbeting|绞死；吊死；使当众出丑
gastrotricha|腹毛动物
goggly|goggle的变形
gastrelcosis|[医] 胃溃疡
gerocomy|(pl. -mia)老年摄生法, 老年保健
goffer|皱褶, 皱纹
gesticulates|做手势, 做示意动作, 手势( gesticulate的名词复数 )
gaiters|绑腿; 长统橡胶靴; 鞋罩; 雪套
geld|税, 贡赋, 支付款
gauzy|纱似的, 薄的
gonadal|性腺生成障碍
goblins|小妖精, 丑妖精( goblin的复数形式 )
gigots|(gigot 的复数) n.(多指熟的)羊腿, 羊腿形袖子
gardy|[人名] 加迪
glaciarium|溜冰场(人造冰)
geochemists|(geochemist 的复数) n. 地球化学家
gamester|赌博者, 赌徒
grooming|修饰
gascons|(Gascon 的复数) n. 加斯科涅人, 吹牛者
gnarled|多节的, 扭曲的, 多瘤的, 粗糙的, 乖僻的, 乖戾的
grimes|格兰姆斯（广州电气公司名称）
goosefoot|藜属植物
godsons|教子, （天主教）代子( godson的复数形式 )
gastral|胃的, 消化道的
gloaming|夕幕, 黄昏, 薄明
gonidiospore|[医] 分生体孢子, 藻胞孢子
galant|<法> adj.& n.[音]潇洒风格(的)
gustless|gust的变形
gilded|镀金的, 有钱的, 装饰的
goldfield|采金区
