moon|月亮
malediction|咒, 坏话
maimedly|maim的变形
meliorative|改善的, 改良性的
manteltree|壁炉过梁
metalization|金属镀层;金属化
megalopyge|[医] 绒蠹属
myricyl|[化] 蜂花基; 三十烷基
mercuric|水银的, 含水银的, 汞的
multipass|多道的; 多程
miocardia|[医] 心收缩
machination|阴谋, 图谋, 策划
monogenist|人类同源论者
mulier|[法] 女子, 妇人, 妻子
matzah|无酵饼
misreads|读错, 念错, 对…判断错误( misread的第三人称单数 )
merging|[计] 合并, 归并
multiethnic|多种民族的；涉及不同种族的
methaqualone|[药]安眠酮(安眠和镇静药)
mesmerizer|催眠者
mutualize|使相互间发生关系, 使成为共有, 使(公司/企业)为雇主及雇员/客户所共有
moeritherium|始祖象属
mankin|[人名] 曼金
midfields|(midfield 的复数) n. 球场中央部分
monoski|[体]单型滑水板
metalloidal|非金属
manx|马恩岛的, 马恩岛人的
metalworking|金属加工术, 金属工
menostasis|[医] 经闭, 绝经
miacis|[古生]小古猫(一种史前的食肉动物,狗和猫的祖先)
marcos|马科斯（姓氏）
molecast|(由鼹鼠打洞扒出的泥土堆成的)鼹鼠丘, 无意义的事, 小困难(或障碍)
microptic|[医] 视物显小的
munting|[建]门中梃
mickles|adj. 很多的
miscounted|数错( miscount的过去式和过去分词 )
manzanita|熊果树
moderatism|温和主义, 中庸主义, 稳健主义
mortises|<术>榫眼, 卯眼, 接合( mortise的名词复数 )
multipotent|能产生多种效果(或结果)的
monopolising|(monopolise 的现在分词) vt. 垄断, 独占, 专营, 专利
megadont|[医]巨牙的 (亦作 megadontic)
maoridom|(新西兰的)毛利人社会,毛利人文化
magaziner|[人名] 马加齐纳
mellowing|[机] 柔和
mugwort|艾蒿
majestically|雄伟地; 庄重地; 威严地; 崇高地
mantes|mantis的复数
milt|脾脏, 鱼白, 精液
magnetist|磁学家, 催眠术家
manures|施肥于；耕种
mobilizing|动员起来, 调动, 鼓动起( mobilize的现在分词 )
mechanizable|可机械化的
mercurize|[化]给…加汞, 使汞化
menarche|初潮
mundificant|[医] 清除的; 清洗剂
malrotation|[医] 旋转不良
mountable|可登上的
mistaken|犯错的, 错误的
magnetise|使磁化, 使有磁力, 使生磁性, 使醉迷, 吸引
melismata|装饰音( melisma的名词复数 )
mesovarium|[解]卵巢系膜
mollifying|抚慰的；使软化的；使缓和的
muckworm|粪
magi|多阵γ线照射器（Multi-Array Gamma Irradiator）
modillion|飞檐托饰
manstealing|诱拐,绑架
moralists|道德家, 道德主义者, 说教者( moralist的复数形式 )
memorially|memorial的变形
meteorologic|气象的, 气象学的
marcor|[医] 消瘦, 消耗
monosomatous|[医] 单体的(畸形)
metaphrase|逐字翻译, 直译
marxian|马克思主义者
matchlocks|(matchlock 的复数) n. 火绳枪
microform|缩微成像
mathurin|(Mathurin)人名；(西)马图林；(法)马蒂兰
monopolise|垄断, 独占, 专营, 专利
mustiness|霉臭, 陈腐, 无力气
montane|山地森林的
murmuration|低声咕哝
millimicron|毫微米
metamers|不同光谱能量分布的同色光
moonpath|水波月影
microsporic|microspore的变形
monotypes|(monotype 的复数) n. 莫诺铸排机, 单型
mouche|[医] 斑点; 蝇
malingerers|装病逃差者
menominee|美浓米尼族[的]
monochloride|[化]一氯化物
monoplane|单翼机
microlite|微晶
mecopteran|[昆]长翅目昆虫,蝎蛉
mazy|迷阵似的, 错综的, 复杂的
monostrophic|单韵律(诗节构成)的
mibs|管理信息数据库（Management Information Bases）；莫斯科船艇展览会（Moscow international boat show）
miscellany|杂集, 杂录, 混杂
monorhinous|[动]单鼻孔的( 如圆口纲脊椎动物)
miseducative|[网络] 错误教育
mwa|美国现代林业人员协会（一种互助福利性组织, 成员包括林业工人、猎人等, Modern Woodmen of America）
masculation|男征发生
masscult|商业化的廉价大众文化
masquerader|参加化装舞会者, 伪装者
marasmius|小皮伞属
melicocca|[网络] 梅花子
melioristic|meliorism（社会向善论）的变形
methylated|甲基化的, 加入甲醇的
mentalities|心态( mentality的复数形式 ); 思想方法; 智力; 智能
mitering|斜接
metavanadate|[医] 偏钒酸盐
managements|管理（management的复数形式）
menhaden|[动] 鲱鱼
megaphones|扩音器( megaphone的复数形式 )
macerator|[医] 浸渍器
marshalled|整理, 排列, 集结（marshal的过去式与过去分词形式）
melanocomous|[医] 黑毛发的
myographical|[网络] 肌肉学
mestizos|麦斯蒂索人；混血儿
mirthfully|愉快地, 喜气洋洋地
moner|[医] 无核原生质团
microbic|[医] 微生物的
manul|(西藏、蒙古的)小野猫, [动]兔狲
malkin|邋遢女人
monoclinism|单斜态
monobromated|[医] 一溴化的
millijoule|毫焦耳(能量、热量、功的绝对实用单位)
maskable|[计] 可屏蔽的
mycoses|[医]霉菌病
meak|(Meak)人名；(柬)密
mariticide|杀夫(或妻)的人,杀夫,杀妻
mani|落花生；嘛呢堆（用石块垒成的方形或圆台形石堆）
muezzins|报告祷告时刻的人( muezzin的复数形式 )
monkeypod|un. 豆雨树
mundle|[英方]用于搅动的棍棒
markis|(Markis)人名；(匈)毛尔基什
muftis|便服( mufti的名词复数 )
millicurie|毫居里(千分之一居里)
mendi|[地名] [巴布亚新几内] 门迪
madames|夫人
militaries|军人，军队，武装力量( military的名词复数 )
monography|专论
muffetee|毛织围巾
mudcap|糊炮爆破(法),外部装药爆破(法)
melanotekite|硅铅铁矿
molas|(mola 的复数) [动]翻车鱼
morbidezza|柔美, 细腻
mediumship|灵媒(或巫师)的能力(或功能、职业)
multibus|[计] 多总线
malapropism|文字的错用
mende|光滑细里子哔叽
megachile|切叶蜂属
mao|[医] 单胺氧化酶, 一元胺氧化酶
morion|高顶头盔
mythomania|[心]渲染狂,说谎狂
moonlet|小卫星, 小人造卫星
mured|禁闭；幽禁（等于immure）
muser|沉思者
mangue|[地名] [安哥拉] 曼盖
moneys|钱币, 钞票( money的名词复数 ); 款项, 钱款
menologies|（希腊教）圣诞节日历；（记有大事的）月历
morchella|[医] 羊肚菌属
machineries|(machinery 的复数) n. 机器, 机械装置, 机构
monodon|[网络] 一角鲸属；独角鲸属；单角
magnetical|磁性的
misfired|（指枪、发动机等）不发火, 不启动( misfire的过去式和过去分词 ); （指计划等）失败
malachite|孔雀石
missiles|导弹( missile的复数形式 ); 投射物
metalanguage|元语言
macrogamete|[生]大配子,巨配子
methodizer|methodize的变形
minever|(=miniver)白鼬皮,[动]白鼬
merak|天璇, 北斗二(大熊座 β)
mullen|(=mullein)毛蕊花属的植物
monomer|单体
misallege|[法] 虚伪陈述, 错误举证
microelement|微量元素
motivelessly|motiveless的变形
mosaicist|马赛克设计者, 马赛克制作工
macrographic|低倍照相
mangler|乱切者, 乱砍者, 压延机, 榨甘蔗汁机, 绞肉机
mulishness|mulish的变形
monosomatic|[医] 单体的(畸形)
mycoplasmic|[网络] 支原体
milvus|[网络] 鸢属；鹰状无刺鲼；鹰形圆吻燕魟
megohmit|(换向器)云母片
mouflon|欧洲盘羊,摩弗伦羊(南欧产的一种野生羊)
micawber|米考伯（男子名）
meliorism|社会向善论
miscibility|可混合性
marouflage|贴画法(用胶粘剂将油画贴到墙上的方法)
manioca|麻风树
manubrial|[医] 柄的
minometer|微放射计
mantuan|(意大利北部城市)曼图亚的
mytilus|贻贝属
monophasic|[电]单相的
machan|<印英>(猎虎时搭在树上的)狩猎台
monogamist|一夫一妻制者
malaprop|用词错误可笑的
metronomic|节拍器的
milkiest|牛奶的, 像牛奶的, 掺奶的( milky的最高级 )
miler|一英里跑运动员
minasragrite|钒矾
miscalled|叫错…的名字, 误称( miscall的过去式和过去分词 )
metabolising|(metabolise 的现在分词) v.使物质替换, 使变形
manumitting|<史>解放（奴隶）( manumit的现在分词 )
mummed|沉默的
muddily|尽是泥, 浑身是泥, 污浊地
multipartite|分成多部分的, 多国参加的, 多方的
meatus|口, 道
multimeter|[化] 多用表; 多用电表; 万用表
melanesian|美拉尼西亚的
moldiness|霉臭
mondial|全世界范围的
matrons|（受人尊敬的）已婚老妇人( matron的复数形式 ); 夫人; 女看守; 女警卫
maturities|成熟（maturity的复数形式）
multilobe|多叶的
methodist|墨守成规者
myelography|脊髓照相术；[特医] 脊髓造影术；[特医] 脊髓X射线摄影术
mingrelian|(高加索库塔伊西地区的)明格里利亚人；明格里利亚语
morphosis|[生]形态形成
muscat|马斯喀特（阿曼首都）
mateship|同事之谊, 同伴之谊
misaligned|线向不正的,方向偏离的,不重合的,未对准的
matzo|(pl. matzot, matzoth, matzos)(=matsah)犹太逾越节薄饼(逾越节期间犹太人所吃的一种不发酵的硬面饼)
mammy|妈妈, 保姆
megabyte|[计]兆字节
melts|（使）融[溶, 熔]化( melt的第三人称单数 ); 溶解; （使）消散, 消失; （使）软化, 变得温柔
morass|沼泽, 困境, 乱糟糟的一堆
mountaineer|登山家, 山地人
meliphagidae|[网络] 吸蜜鸟科；食蜜鸟科；黄鹂科
moralless|(故事等)无寓意的
myxaemia|(=myxemia)粘蛋白血症
moghul|(Moghul)人名；(巴基)莫卧儿
mesitite|铁菱镁矿
microsurgery|[医] 显微外科, 显微手术
mala|[医] 颊, 颧骨
marabunta|[动]圭亚那黄蜂
megadontic|[医] 巨牙的
meatman|屠夫, 肉商
medallist|奖章获得者
mimir|米密尔(北欧神话中守卫智慧之泉的巨人)
microphyte|微小植物, 细菌
mishandles|处理不当[不力]( mishandle的名词复数 ); 粗暴地对待
mescal|麦斯卡尔酒, 龙舌兰, 威廉斯仙人球
mooring|系泊, 系留, 停泊处, 系船处
misbranded|贴错标签；贴假商标于
machetes|弯刀；大砍刀；马谢特琴
maggy|低质的
mammary|乳房的
menostaxis|[医]经期延长
moun|(Moun)人名；(老)门
myomelanosis|[医] 肌黑变
multiplicate|复合的, 多倍的, 多重的, 多样的
mahal|马哈尔（姓氏）；宫殿
minot|迈诺特(①姓氏 ②George Richards, 1885-1950, 美国内科学家, 曾获1934年诺贝尔生理学-医学奖)
motherkins|[网络] 母亲
mammalia|[医] 哺乳类
mortised|<术>榫眼, 卯眼, 接合( mortise的过去式和过去分词 )
myelorrhaphy|[医] 脊髓缝术
monilial|[医] 念珠菌的
moonlights|月光( moonlight的名词复数 ); （通常为躲债而）潜逃; 月光下的活动; 参与夜袭的人
macadamia|〈植〉澳大利亚坚果
marcobrunner|莱茵河流域产的白葡萄酒
moggy|家猫, 牛, 小牛
mellitum|[药]蜜剂
meddlers|干涉者；爱管闲事的人
moravian|摩拉维亚的, 莫拉维亚教徒的
mulcting|处以罚金, 抢夺( mulct的现在分词 )
mezzotinter|网线铜版；金属版印刷法 (mezzotint的变形)
mounding|[医] 肌耸起, 肌耸肿(肌受击时所产生)
misima|[地名] [日本] 三岛; [地名] [坦桑尼亚] 米西马
macromania|[医] 夸大狂, 夸大妄想, 显大妄想
mummify|做成木乃伊
misuser|误用者, 虐待者, 滥用者
mesozoan|中生动物
mailclad|穿盔甲的人
mimetically|拟态地
mulla|毛拉(伊斯兰教国家对老师,先生、学者的敬称)
metrostaxis|[医] 子宫渗血
midgets|侏儒, 小矮人( midget的复数形式 )
magniloquent|使用夸大文句的, 夸张的, 吹牛的
majordomo|男管家, 男总监
metathesize|[语](使)(音位或字位)变换,(使)换位
malagma|[医] 泥罨剂
marcher|边界地区居民, 行进者, 游行者, 行军者
mopy|没精打采的,闷闷不乐的,消沉的
mylohyoid|[解]Ⅰ adj.下颌舌骨的
musculature|肌肉系统
mises|[人名] 米泽斯
morphinize|用吗啡治疗,用吗啡麻醉
myomas|肌瘤
multithread|[计] 多流
medle|[地名] [瑞典] 梅德勒
multiaxial|有多个轴的,多轴的
megavitamin|(用)大剂量维生素的
mocker|嘲弄者, 模仿者
meuniere|做粉饼的
moults|换羽, 脱毛( moult的第三人称单数 ); <喻>去掉（旧习惯、观点等）
microgyria|[医] 小脑回, 多小脑回
medalist|奖章获得者, 奖章设计者, 奖章制作者, 勋章制作者, 奖章搜集者, 勋章搜集者
mandorla|圣像画中人体周围放射出来的柔和的光, (椭圆形)装饰板[图案]
multitubular|多管的
maltsters|(maltster 的复数) n. 麦芽制造(或出售)者
macedonian|马其顿的
mohawk|莫霍克族, 莫霍克语, 前刃变后刃溜冰半周跳
mutilator|切断者, 毁损者
meas|(mea 的复数) abbr. 维修工程分析（Maintenance Engineering Analysis）；β-巯基乙胺（β-Mercaptoethylamine）；沿航线最低高度（Minimum Enroute Altitude）
mashru|棉背丝绸
mort|通知猎物已死的号角声, 很多, 许多
mortgagee|承受抵押人
metabolon|蜕变中间物质
militarized|军事化( militarize的过去式和过去分词 )
mugwumpism|（美）（政治上的）超然派；骑墙派；中立者；共和党独立派（1884年美国大选中拒绝支持本党候选人者）；大人物；印第安酋长 (mugwump的变形)
manicate|(=manicatus)具毡状毛的
mislabeling|[医]错贴标签
mensa|[医] Ж面
meresman|[人名] 米尔斯曼
murry|[人名] [苏格兰人、爱尔兰人、英格兰人姓氏] 默里 Murray的变体
miohippus|中新马属
misdates|填错日期
monseigneur|阁下；有此荣衔的人
mammality|哺乳动物
massively|大而重, 厚实, 粗大, 强有力, 结实, 魁伟, 大块, 大量, 大规模, 实心, 块状
moorlands|高沼地, 广袤的荒野( moorland的复数形式 )
meekly|温顺地, 柔和地, 忠厚地
megacephalic|大头的, 巨额的
multiplexing|[计] 多路复用技术
midsection|中央部分, 上腹部
melanotic|以黑色素为特征的, 黑变病的
maister|(Maister)人名；(俄)迈斯特尔
matildite|硫银铋矿
myology|肌学
monorhymed|monorhyme的变形
maia|玛雅（希腊神话中女神）；玛雅（女子名）
monkeying|胡闹（monkey的现在分词形式）
minim|量滴(液量单位), 一滴, 微量
mangonel|投石机, 军用射石机
metalware|金属器皿
metanephron|[医] 后肾
mountaintop|山顶
melanuria|[医]黑素尿
myopachynsis|[医] 肌肥大
mesocaecum|[医]盲肠系膜
minifies|缩小( minify的第三人称单数 )
mesarch|[植]中始式的
mavericks|未烙印的牲畜( maverick的复数形式 ); 标新立异的人, 不合常规的人
malate|[化]苹果酸盐(或酯)
magdalen|(=Magdalene)从良的妓女, 妓女收容所
monomorphism|[计] 单一同态
masculinist|男权主义者, 大男子主义者
mutilated|严重残害…的身体, 使残缺不全, 肢解( mutilate的过去式和过去分词 )
moviegoer|常看电影的人
mazard|野樱
mage|博学者；魔术师
minimally|最低限度地；最低程度地
murderous|凶狠的, 杀人的, 致命的
mezzanines|（尤指介于一层与二层之间的）中层楼, （戏院中的）包厢( mezzanine的复数形式 )
modulating|[计] 调制的
molariform|[医] 磨牙形的
mesophilous|adj. （细菌）嗜温的
metrifies|, vi. (把…)译成诗；用诗体写
majagua|[植]牙买加黄槿
mammalogist|哺乳动物学家
modulates|调整( modulate的第三人称单数 ); （对波幅、频率的）调制; <音>转调; 调整或改变（嗓音）的音调
misjoinder|[律]不合法的共同诉讼
mirabilia|[复]<拉> n.不可思议的事物,奇迹
mollified|使变软, 使平静, 抚慰( mollify的过去式和过去分词 )
mules|骡( mule的复数形式 ); 拖鞋; <口>顽固的人; 越境运毒者
monist|一元论者
medleys|混杂物( medley的名词复数 ); 混合物; 混杂的人群; 混成曲（多首声乐曲或器乐曲串联在一起）
melas|(mela 的复数) n. 梅拉（女子名）
mulatta|穆拉托女人
microreader|缩影胶片阅读器
marse|主人(美国南部黑人用语, 亦作mars, massa)
mikasuki|[网络] 米卡苏基语
mordancy|辛辣, 尖酸, 刻薄
metapsychics|心灵研究
melanopathy|[医] │黑变病
manyplies|重瓣胃
martello|[亦作m-]= Martello tower
mesotrons|(mesotron 的复数) n.[核]介子
mundari|[网络] 南苏丹蒙达里；蒙达语；蒙达里语
malignly|有害地
macroscale|大规模, 宏观尺度
mysis|糠虾属
mincers|切碎机, 绞肉机( mincer的复数形式 )
marianna|[人名] 玛丽安娜; [地名] [美国] 玛丽安娜
menurae|琴鸟亚目
musketeers|火枪手（musketeer的复数）
monoketone|[医] 一元酮
mitres|斜接；主教法冠；僧帽
machinating|图谋, 策划( machinate的现在分词 )
monozoa|[医] 单细胞动物类
marconigram|马可尼式无线电报
militia|义勇军, 民兵组织, 国民军
myoinositol|[机] 肌醇
muridae|[医] 鼠科
multijet|(飞机)有多个喷气发动机的
miniaturizes|使小型化；使微型化（等于miniaturise）
mandatary|受托人,代理人
metamorphism|变态, 变形, 变质
melissyl|三十烷基
mustelus|星鲨属
misleader|错误引导者, 错误领导人
musks|(musk 的复数) n. 麝香, 麝香的气味
mollifies|使变软, 使平静, 抚慰( mollify的第三人称单数 )
monotheistic|一神论的
melograph|音谱自记器
malaxate|捏, 揉(混), 拌和
molla|(Molla)人名；(法、俄、意)莫拉；(西)莫利亚
maintainor|[律]( 英美刑法) 犯包揽诉讼罪者
melee|互殴, 激烈的论战, 混战
mercaptal|缩硫醛
meliorates|改善, 改良, 变好（meliorate的第三人称单数形式）
microfilms|（拍摄文件等用的）缩微胶卷( microfilm的名词复数 )
monoplegia|[医]单瘫
motioning|打手势（motion的现在分词形式）
motorization|动力化, 摩托化
mythmaking|编造神话
milometer|计程表
makeups|天性( makeup的名词复数 ); 性格; 气质; 组成成分
monads|(monad 的复数) n. 单孢体, 单轴
miasmatology|[医] 瘴气学
messianic|弥赛亚的
malleolar|踝的
motorised|[英国英语] ＝ motorize
martians|火星人（Martian的复数形式）
mahonia|十大功劳
mace|狼牙棒, 权标, 权杖, 执权标者
mydriatic|瞳孔放大
marsala|马沙拉葡萄酒
misanthropy|厌恶人类, 不愿与人来往
malposed|[医]错位的,异位的
mucedine|霉菌
muscularity|肌肉发达, 强壮, 力大
mattery|充满脓的, 有脓的
magnifico|贵族, 大官, 显要人物
mimbar|敏拜尔,敏拜楼(指清真寺殿内的宣教台,形如楼梯)
mousebird|[鸟]鼠鸟,齿鹑
morassy|沼泽的, 沼泽似的,湿软的
morbillous|麻疹的
mythomaniac|&adj. mythomania（说谎症, 谎语癖）的变形
minoring|[主美国英语]副修，选修，兼修( minor的现在分词 )
milsey|[主苏]滤乳器
malarkey|假情假意的话, 蠢话, 空话
marmosets|狨猴；小猿
mako|灰鲭鲨
moksha|[宗](佛教、印度教、耆那教中的)解脱,从轮回中得到解脱
mesotrophic|[地]( 水体) 中滋育的, 中营养的
masked|戴假面具的, 隐现的, 伪装的
mentalism|心灵主义
melpomene|墨尔波墨涅(悲剧女神)
morainic|冰碛的
moorwort|[植]马醉木
microhenry|[计] 微亨
multifil|[化] 复丝
micromelus|[医] 细肢者, 小肢者
mannerist|矫揉造作者
muharram|(伊斯兰教历)第一月
miri|mir的复数
meanings|含义；价值（meaning的复数）
mesial|中央的, 中间的
mossbacked|长满苔藓的; 迟钝的, 缓慢的;老朽过时的
mucking|清理坍方；清理岩石；清理
monadology|[哲]单子论( = monadism)
moratoria|moratorium 的复数
myogenetic|[医] 肌生成的, 肌发生的
madreporian|madrepore的变形
motormen|(motorman 的复数) n. 电车司机
megalopteran|[昆]广翅目昆虫
mesophyll|[植]叶肉
mesocranic|[医] 中型头的(头长幅指数在75-80之间)
manometer|压力计
muriate|[化]氯化物,盐酸盐, 氯化钾
mophead|拖把头, 乱糟糟的头
mtd|[计] 平均故障检测时间
mazur|[人名] 梅热
mannish|男子似的, 成人似的
mesion|[医] 正中面
makopa|加耶檬果
macacus|[医] 猕猴属
moldy|发霉的, 腐臭的
multifoil|多叶饰
meson|介子
miliarial|miliaria的变形
multiparty|多党的,包括多党的,包含多党党员的, 导致多党并存的选举(或政治)制度的
metaplasmic|adj. metaplasm的变形
microdot|微粒的
mosso|<意>adj.& adv.[音]活跃的( 地)
mouldier|发霉的；霉状的, 霉臭的
micros|微指令（micro复数形式）
medrick|梅里克
mythologic|神话的, 虚构的
matchmaking|火柴制造, 缔缘, 做媒
moping|<贬>忧郁地闲荡( mope的现在分词 )
mercery|布店, 绸布业, 布类
malcolm|马尔科姆（男子名）
manses|牧师住宅
monoecism|雌雄同体, 雌雄同株
microcephaly|小头畸型
muttonfish|[鱼]高鳍笛鲷
multicuspid|[医] 多尖的
militias|民兵组织, 民兵( militia的复数形式 )
meated|肉；食用肉类；(蛋、坚果、贝等的)可食部分；肉；仁
monetised|(monetise 的过去分词) vt. 使货币化；把…定位法定货币（等于monetize）
magian|魔术师, 古波斯之祭司
maitreya|[网络] 弥勒；弥勒菩萨；弥勒佛
macrothere|巨爪兽
manna|吗哪天赐食物, 精神食粮, 甘露
monodists|(monodist 的复数) n. 挽歌作家
mesognathy|中颌
memoried|充满往事的
mutillidae|蚁蜂科
merrythought|(鸟胸的)叉骨
marchese|<意> n.侯爵
molasse|[地]摩砾层(相)
marae|毛利会堂；毛利人集会地
monetarism|[经] 货币主义
madid|潮湿的,湿润的, 泪汪汪的
microzoon|微小动物
morningtide|早晨, 晨间
metis|混血儿
meandrous|迂回曲折的
milled|碾碎的, 碾磨过的, 粉碎的, 铣过的
mahmoud|穆罕默德（伊斯兰男名）
microns|微米( micron的复数形式 )
mellitate|苯六甲酸酯
mournings|(mourning 的复数) n. 哀痛, 居丧, 举哀, 哀悼, 丧服, 戴孝
marketplaces|市场, 集市（marketplace的复数形式）
multiflash|(照相机)使用多个闪光灯的, (照片) 使用多个闪光灯拍摄的
myriads|无数, 极大数量( myriad的复数形式 )
magistrality|magistral的变形
mangy|疥癣的, 污秽的
miterwort|<美>=mitrewort
morral|(装马饲料的)纤维袋
magnificat|(用于晚祷的)圣母玛利亚颂, 颂歌
miffed|稍有点恼火, 有点生气
metabolise|使物质替换, 使变形
maquis|灌木地带的, 反纳粹游击队员
medicative|有药效的, 有治疗作用的
mousetail|[植]鼠尾巴
moling|地下排水沟设置
maestri|大音乐家，名作曲家
microdontic|[医] 小牙的
misjudges|错误地判断, 冤枉( misjudge的第三人称单数 )
mancinism|善用左手, 左撇子
monacid|一(酸)价的, 一元的, 一酸的
macerative|[医] 浸渍的, 浸软的
modality|样式, 形式, 形态
metopion|[医] 额中点
minims|半音符( minim的复数形式 ); 半休止符; 量滴; 极小之物
mammoths|长毛象；猛犸象；庞然大物
mainframe|主机
maunder|唠叨地讲, 徘徊
mange|兽疥癣
mortgagors|(mortgagor 的复数) n. 抵押人, 出押人
moslemic|穆斯林的,伊斯兰教的,伊斯兰教义的,伊斯兰文化的
murderers|谋杀犯, 凶手( murderer的复数形式 )
marmarosis|大理岩化(作用)
mourningly|mourning的变形
mdse|message delivery service element 信息发布服务单元
monimolite|绿锑铅矿
medula|毛髓
morenosite|碧矾
ming|明朝
mongrelized|（种族主义者污蔑性用语）使血统混合, 使成杂种, 使成混合种( mongrelize的过去式和过去分词 )
myographic|[医] 肌动描记的
madeiras|(Madeira 的复数) n. 马德拉群岛, 马德拉白葡萄酒
meshes|网孔( mesh的复数形式 ); 网状物; 陷阱; 困境
macromelia|[医]巨肢
medicinable|<古>有疗效的
mollusca|[医] 软体动物门
mitu|[医][=mobile inflatable treatment unit]流动充气式治疗单元
mincio|(Mincio)人名；(意)明乔
macabre|以死亡为主题的, 可怕的
myriophyllum|[网络] 狐尾藻属；杂属；狐尾藓属
mixedly|混合的
majorcan|(西班牙东部的)马略卡岛的, 马略卡人的
masseuses|女按摩师( masseuse的复数形式 )
margarite|珍珠云母
mythicizer|编神话者
maximite|马克沁炸药(一种以苦味酸为主要成分的高爆力炸药)
millman|炼胶工
meathead|笨蛋
meroblastic|[生](卵)不全裂的
mallein|[生](马)鼻疽菌素
mongeese|mongoose的复数
miaskite|[化] 云霞正长岩
modularly|组合式地(modular的变形)
mitigating|减轻, 缓和( mitigate的现在分词 )
mockage|mock的变形
meatworks|[复]n.[用作单或复](澳大利亚的)屠宰场,肉类包装厂
matures|成熟, 长成( mature的第三人称单数 ); （票据等）到期; （情感和认识）成熟; 使（技能或素质）成熟
materialness|material的变形
macho|[医] 结节型皮肤利什曼病
memorability|值得记念
malices|(malice 的复数) n. 恶意, 蓄意害人, 怨恨
milor|阁下;英国绅士
matronlike|主妇似的, 主管的, 安祥的, 尊严的
millennian|[网络] 千年
metas|metastasis 转移; metastasize 转移
megarad|[核]兆拉德(吸收剂量的标准单位)
mineralizes|使矿物化, 使含无机化合物, 采集矿物( mineralize的第三人称单数 )
mixtion|调料, 媒介物, 用于在木上贴金的媒染剂
mariet|(Mariet)人名；(法)马里耶
mystifier|mystify的变形
marconi|马可尼式无线电报
muleteer|赶骡人
moonlighters|(moonlighter 的复数) n. 参与夜袭的人; 非法酿[卖]酒的人; 同时兼两个职业的人; <美>月光团员
myocolpitis|[医] 阴道肌层炎
materialman|材料供给人
musth|狂暴状态
maidish|少女的, 老处女的, 少女似的
meltable|可溶的
multangulum|多角骨
micrographic|显微的;  显微摄影业;  低倍照相的;  微文象状
myrcia|[医] 香叶, 玉桂叶
multipliers|[数] 乘数（multiplier的复数）；[计] 乘法器
mongering|买卖
masonwork|石工(工程),砖瓦工(工程), 砖石建筑物
miscasting|指配不适当的角色, 角色分配不适当( miscast的现在分词 )
mercurialis|[医] 山靛属
mystic|神秘的, 奥秘的
middlemost|正中的, 最当中的
minipill|迷你避孕丸
macrobian|长寿的
menses|月经
moonily|moony的变形
mesiodistal|[医] 近中远侧的
melanosome|[生]黑(色)素体
minnesinger|吟游诗人
margination|[医] 着边(炎症初期白细胞附集于血管壁)
malacoderm|软皮动物
macule|[医] 斑[点]
mixability|混合程度
moistening|润湿
mammillary|乳头的, 乳头状的
metus|[法] 恐惧, 忧虑, 担心
millennial|一千年的, 千福年的
manned|有人驾驶的, 有人操纵的
mosques|清真寺; 伊斯兰教寺院, 清真寺; 清真寺, 伊斯兰教寺院( mosque的复数形式 )
membranipora|膜孔苔虫属
matinees|（剧场、影院等的）午后的演出, 午场( matinee的复数形式 )
mothballed|封存( mothball的过去式和过去分词 )
mammotropin|[生化]催乳激素
mandamus|命令书
minnow|鲤科淡水小鱼
maison|（法）商店；房屋；家庭；公司
manidae|[网络] 穿山甲科；鲮鲤科；鳞鲤科
monotonal|[网络] 音调单一
mycostatic|[医] 制霉[菌]的
misused|使用…不当( misuse的过去式和过去分词 ); 把…派作不正当的用途; 虐待; 滥用
misuses|用错, 滥用( misuse的名词复数 ); 误用者
menostasia|[医] 经闭, 绝经
microgram|微观图
modoc|[医]反密码子
moistly|濡湿地, 有湿气地, 潮湿地
mikvah|正统犹太教的浸礼池
mammographic|乳房摄影的
medic|苜蓿属植物, 医师, 医科学生
majorities|多数( majority的名词复数 ); （获胜的）票数; 票数差距; 法定年龄
montauk|[地名] [美国] 蒙托克
mountained|山一样的, 多山的
milkstone|乳结石
mommas|<口>妈妈（尤儿语）( momma的复数形式 ); （雌性哺乳动物的）乳房; （雄性哺乳动物的）乳房残迹
morwong|[鱼]唇指鲈(澳洲产的一种主要食用鱼, 亦作sea carp)[土著语]
mastax|(动物的)咀嚼囊
mapmaker|地图制作者, 制图师
monotrichate|(细菌)单鞭毛的
moblike|mob的变形
mascouten|[网络] 马斯古顿
misruling|施暴政( misrule的现在分词 )
meagerness|贫乏；枯瘦
monopolist|垄断者, 专卖者, 垄断论者
malty|麦芽的, 有麦芽的, 喝醉的
macrorhinia|[医] 巨鼻
maltreating|虐待；滥用；粗暴对待
matrice|矩阵；真值表；母式
misbegot|(=misbegotten)私生的, 可鄙的
mogador|[地名] [摩洛哥] 摩加多尔（索维拉的旧称）
methyldopa|[药]甲基多巴(C&-{10}H&-{13}NO&-{4}, 降血压药)
manumit|解放, 释放
muchacha|[西]姑娘, 年轻女人
maximizes|使（某事物）增至最大限度( maximize的第三人称单数 ); 最大限度地利用（某事物）
manso|[地名] [加纳] 曼索
meehan|米汉（人名）
millier|公吨
mack|防水胶布, (英)雨衣
minos|[计] 米诺斯
meteorism|[医]腹中积气, 膨胀
molysite|铁盐(FeCl3)
mouthiness|说大话, 大声叫嚣, 多嘴
metrical|韵律的, 有韵律的, 测量的
motory|引起运动的, 运动神经的
midmonth|中旬
mendelian|孟德尔学说的
manhandled|[电影]狼溪
